"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36003556","Aylesham","Females","South East","E07000108","Dover","Age65",22.21114,8.30591,21,7.22984,5.47898
"E36003557","Buckland","Females","South East","E07000108","Dover","Age65",21.82052,8.92041,21,7.22984,5.47898
"E36003558","Capel-le-Ferne","Females","South East","E07000108","Dover","Age65",21.69917,10.18349,21,7.22984,5.47898
"E36003559","Castle","Females","South East","E07000108","Dover","Age65",20.06001,11.2535,21,7.22984,5.47898
"E36003560","Eastry","Females","South East","E07000108","Dover","Age65",22.54594,10.36849,21,7.22984,5.47898
"E36003561","Eythorne and Shepherdswell","Females","South East","E07000108","Dover","Age65",20.7527,10.86059,21,7.22984,5.47898
"E36003562","Little Stour and Ashstone","Females","South East","E07000108","Dover","Age65",20.72721,10.77942,21,7.22984,5.47898
"E36003563","Lydden and Temple Ewell","Females","South East","E07000108","Dover","Age65",17.29418,8.82903,21,7.22984,5.47898
"E36003564","Maxton| Elms Vale and Prior","Females","South East","E07000108","Dover","Age65",19.77173,8.78151,21,7.22984,5.47898
"E36003565","Middle Deal and Sholden","Females","South East","E07000108","Dover","Age65",19.89772,9.04333,21,7.22984,5.47898
"E36003566","Mill Hill","Females","South East","E07000108","Dover","Age65",23.53837,9.05504,21,7.22984,5.47898
"E36003567","North Deal","Females","South East","E07000108","Dover","Age65",22.22516,10.93232,21,7.22984,5.47898
"E36003568","Ringwould","Females","South East","E07000108","Dover","Age65",20.56446,11.75383,21,7.22984,5.47898
"E36003569","River","Females","South East","E07000108","Dover","Age65",21.70847,11.64148,21,7.22984,5.47898
"E36003570","Sandwich","Females","South East","E07000108","Dover","Age65",22.5363,11.27658,21,7.22984,5.47898
"E36003571","St Margaret's-at-Cliffe","Females","South East","E07000108","Dover","Age65",24.52402,11.98957,21,7.22984,5.47898
"E36003572","St Radigunds","Females","South East","E07000108","Dover","Age65",22.84066,9.64057,21,7.22984,5.47898
"E36003573","Tower Hamlets","Females","South East","E07000108","Dover","Age65",22.43067,8.65691,21,7.22984,5.47898
"E36003574","Town and Pier","Females","South East","E07000108","Dover","Age65",19.18529,6.51059,21,7.22984,5.47898
"E36003575","Walmer","Females","South East","E07000108","Dover","Age65",20.79399,10.22282,21,7.22984,5.47898
"E36003576","Whitfield","Females","South East","E07000108","Dover","Age65",19.06653,8.66822,21,7.22984,5.47898
