"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"W39000141","Bodelwyddan","Females","Wales","W06000004","Denbighshire","Age65",22.50889,10.14885,23,9.3071,7.50133
"W39000142","Corwen","Females","Wales","W06000004","Denbighshire","Age65",20.93719,10.15277,23,9.3071,7.50133
"W39000143","Denbigh Central","Females","Wales","W06000004","Denbighshire","Age65",20.03443,9.13546,23,9.3071,7.50133
"W39000144","Denbigh Lower","Females","Wales","W06000004","Denbighshire","Age65",20.85865,10.35563,23,9.3071,7.50133
"W39000145","Denbigh Upper/Henllan","Females","Wales","W06000004","Denbighshire","Age65",24.35901,11.69555,23,9.3071,7.50133
"W39000146","Dyserth","Females","Wales","W06000004","Denbighshire","Age65",23.86012,11.41176,23,9.3071,7.50133
"W39000148","Llanarmon-yn-Ial/Llandegla","Females","Wales","W06000004","Denbighshire","Age65",19.45639,12.42563,23,9.3071,7.50133
"W39000151","Llandyrnog","Females","Wales","W06000004","Denbighshire","Age65",21.09554,11.15942,23,9.3071,7.50133
"W39000152","Llanfair Dyffryn Clwyd/Gwyd","Females","Wales","W06000004","Denbighshire","Age65",24.75912,12.41313,23,9.3071,7.50133
"W39000153","Llangollen","Females","Wales","W06000004","Denbighshire","Age65",21.08856,11.63563,23,9.3071,7.50133
"W39000155","Prestatyn Central","Females","Wales","W06000004","Denbighshire","Age65",20.59571,10.07083,23,9.3071,7.50133
"W39000156","Prestatyn East","Females","Wales","W06000004","Denbighshire","Age65",17.89703,9.27951,23,9.3071,7.50133
"W39000157","Prestatyn Meliden","Females","Wales","W06000004","Denbighshire","Age65",20.41234,9.98395,23,9.3071,7.50133
"W39000158","Prestatyn North","Females","Wales","W06000004","Denbighshire","Age65",22.00071,7.93615,23,9.3071,7.50133
"W39000159","Prestatyn South West","Females","Wales","W06000004","Denbighshire","Age65",23.09183,9.5136,23,9.3071,7.50133
"W39000160","Rhuddlan","Females","Wales","W06000004","Denbighshire","Age65",22.05318,10.30756,23,9.3071,7.50133
"W39000161","Rhyl East","Females","Wales","W06000004","Denbighshire","Age65",15.45202,6.86581,23,9.3071,7.50133
"W39000162","Rhyl South","Females","Wales","W06000004","Denbighshire","Age65",21.18466,9.26147,23,9.3071,7.50133
"W39000163","Rhyl South East","Females","Wales","W06000004","Denbighshire","Age65",18.78699,7.29518,23,9.3071,7.50133
"W39000164","Rhyl South West","Females","Wales","W06000004","Denbighshire","Age65",22.59448,7.38769,23,9.3071,7.50133
"W39000165","Rhyl West","Females","Wales","W06000004","Denbighshire","Age65",17.55514,4.9243,23,9.3071,7.50133
"W39000166","Ruthin","Females","Wales","W06000004","Denbighshire","Age65",21.30767,11.11693,23,9.3071,7.50133
"W39000169","Trefnant","Females","Wales","W06000004","Denbighshire","Age65",19.22769,9.50139,23,9.3071,7.50133
