"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36003647","Dymchurch and St Mary's Bay","Females","South East","E07000112","Shepway","Age0",84.39923,62.77464,22,10.87678,14.78209
"E36003648","Elham and Stelling Minnis","Females","South East","E07000112","Shepway","Age0",88.31161,71.64331,22,10.87678,14.78209
"E36003649","Folkestone Cheriton","Females","South East","E07000112","Shepway","Age0",82.93953,62.63223,22,10.87678,14.78209
"E36003650","Folkestone East","Females","South East","E07000112","Shepway","Age0",82.20498,59.60898,22,10.87678,14.78209
"E36003651","Folkestone Foord","Females","South East","E07000112","Shepway","Age0",84.04517,60.62753,22,10.87678,14.78209
"E36003652","Folkestone Harbour","Females","South East","E07000112","Shepway","Age0",80.94526,59.22081,22,10.87678,14.78209
"E36003653","Folkestone Harvey Central","Females","South East","E07000112","Shepway","Age0",81.52248,60.29207,22,10.87678,14.78209
"E36003654","Folkestone Harvey West","Females","South East","E07000112","Shepway","Age0",81.63921,63.48934,22,10.87678,14.78209
"E36003655","Folkestone Morehall","Females","South East","E07000112","Shepway","Age0",87.79168,68.26664,22,10.87678,14.78209
"E36003656","Folkestone Park","Females","South East","E07000112","Shepway","Age0",83.34747,65.66535,22,10.87678,14.78209
"E36003657","Folkestone Sandgate","Females","South East","E07000112","Shepway","Age0",84.67707,68.29617,22,10.87678,14.78209
"E36003658","Hythe Central","Females","South East","E07000112","Shepway","Age0",85.26672,67.68541,22,10.87678,14.78209
"E36003659","Hythe East","Females","South East","E07000112","Shepway","Age0",83.01922,68.41554,22,10.87678,14.78209
"E36003660","Hythe West","Females","South East","E07000112","Shepway","Age0",87.20721,65.87851,22,10.87678,14.78209
"E36003661","Lydd","Females","South East","E07000112","Shepway","Age0",83.45885,64.11992,22,10.87678,14.78209
"E36003662","Lympne and Stanford","Females","South East","E07000112","Shepway","Age0",91.32247,74.0029,22,10.87678,14.78209
"E36003663","New Romney Coast","Females","South East","E07000112","Shepway","Age0",80.44569,65.8748,22,10.87678,14.78209
"E36003664","New Romney Town","Females","South East","E07000112","Shepway","Age0",88.44589,66.18745,22,10.87678,14.78209
"E36003665","North Downs East","Females","South East","E07000112","Shepway","Age0",83.78144,67.00548,22,10.87678,14.78209
"E36003666","North Downs West","Females","South East","E07000112","Shepway","Age0",85.06542,69.5307,22,10.87678,14.78209
"E36003667","Romney Marsh","Females","South East","E07000112","Shepway","Age0",85.63608,66.15957,22,10.87678,14.78209
"E36003668","Tolsford","Females","South East","E07000112","Shepway","Age0",82.05378,69.6416,22,10.87678,14.78209
