"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36002901","All Saints","Males","South West","E07000078","Cheltenham","Age65",19.35048,10.88532,20,8.64279,8.84813
"E36002902","Battledown","Males","South West","E07000078","Cheltenham","Age65",21.35944,12.59586,20,8.64279,8.84813
"E36002903","Benhall and The Reddings","Males","South West","E07000078","Cheltenham","Age65",21.11062,11.51989,20,8.64279,8.84813
"E36002904","Charlton Kings","Males","South West","E07000078","Cheltenham","Age65",19.43919,10.90728,20,8.64279,8.84813
"E36002905","Charlton Park","Males","South West","E07000078","Cheltenham","Age65",19.35304,13.50052,20,8.64279,8.84813
"E36002906","College","Males","South West","E07000078","Cheltenham","Age65",20.78804,13.23039,20,8.64279,8.84813
"E36002907","Hesters Way","Males","South West","E07000078","Cheltenham","Age65",17.54704,7.86803,20,8.64279,8.84813
"E36002908","Lansdown","Males","South West","E07000078","Cheltenham","Age65",17.90819,10.90077,20,8.64279,8.84813
"E36002909","Leckhampton","Males","South West","E07000078","Cheltenham","Age65",24.18337,14.64759,20,8.64279,8.84813
"E36002910","Oakley","Males","South West","E07000078","Cheltenham","Age65",19.5845,7.73445,20,8.64279,8.84813
"E36002911","Park","Males","South West","E07000078","Cheltenham","Age65",18.46304,11.35468,20,8.64279,8.84813
"E36002912","Pittville","Males","South West","E07000078","Cheltenham","Age65",20.50008,12.87732,20,8.64279,8.84813
"E36002913","Prestbury","Males","South West","E07000078","Cheltenham","Age65",20.29831,12.42687,20,8.64279,8.84813
"E36002914","Springbank","Males","South West","E07000078","Cheltenham","Age65",16.724,8.31918,20,8.64279,8.84813
"E36002915","St Mark's","Males","South West","E07000078","Cheltenham","Age65",17.44685,8.35553,20,8.64279,8.84813
"E36002916","St Paul's","Males","South West","E07000078","Cheltenham","Age65",15.54058,5.79946,20,8.64279,8.84813
"E36002917","St Peter's","Males","South West","E07000078","Cheltenham","Age65",17.44358,9.0705,20,8.64279,8.84813
"E36002918","Swindon Village","Males","South West","E07000078","Cheltenham","Age65",19.78803,11.30686,20,8.64279,8.84813
"E36002919","Up Hatherley","Males","South West","E07000078","Cheltenham","Age65",22.96622,13.69554,20,8.64279,8.84813
"E36002920","Warden Hill","Males","South West","E07000078","Cheltenham","Age65",19.42336,11.60492,20,8.64279,8.84813
