"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"W39000171","Argoed","Males","Wales","W06000005","Flintshire","Age65",18.39372,8.92816,37,12.5414,6.37186
"W39000172","Aston","Males","Wales","W06000005","Flintshire","Age65",18.09689,9.25635,37,12.5414,6.37186
"W39000174","Bagillt West","Males","Wales","W06000005","Flintshire","Age65",17.96589,8.91748,37,12.5414,6.37186
"W39000175","Broughton North East","Males","Wales","W06000005","Flintshire","Age65",19.58914,9.61574,37,12.5414,6.37186
"W39000176","Broughton South","Males","Wales","W06000005","Flintshire","Age65",17.67918,9.81786,37,12.5414,6.37186
"W39000177","Brynford","Males","Wales","W06000005","Flintshire","Age65",18.23182,8.95158,37,12.5414,6.37186
"W39000178","Buckley Bistre East","Males","Wales","W06000005","Flintshire","Age65",17.63628,7.74075,37,12.5414,6.37186
"W39000179","Buckley Bistre West","Males","Wales","W06000005","Flintshire","Age65",17.16859,7.19952,37,12.5414,6.37186
"W39000180","Buckley Mountain","Males","Wales","W06000005","Flintshire","Age65",18.01125,9.15657,37,12.5414,6.37186
"W39000181","Buckley Pentrobin","Males","Wales","W06000005","Flintshire","Age65",20.43448,10.22974,37,12.5414,6.37186
"W39000183","Caerwys","Males","Wales","W06000005","Flintshire","Age65",16.21928,8.81045,37,12.5414,6.37186
"W39000185","Connah's Quay Central","Males","Wales","W06000005","Flintshire","Age65",17.28225,8.3526,37,12.5414,6.37186
"W39000186","Connah's Quay Golftyn","Males","Wales","W06000005","Flintshire","Age65",20.54939,8.92467,37,12.5414,6.37186
"W39000187","Connah's Quay South","Males","Wales","W06000005","Flintshire","Age65",20.8997,9.48398,37,12.5414,6.37186
"W39000188","Connah's Quay Wepre","Males","Wales","W06000005","Flintshire","Age65",16.84685,9.34192,37,12.5414,6.37186
"W39000189","Ewloe","Males","Wales","W06000005","Flintshire","Age65",17.79705,10.20193,37,12.5414,6.37186
"W39000191","Flint Castle","Males","Wales","W06000005","Flintshire","Age65",17.64423,5.81605,37,12.5414,6.37186
"W39000192","Flint Coleshill","Males","Wales","W06000005","Flintshire","Age65",18.93927,8.55167,37,12.5414,6.37186
"W39000193","Flint Oakenholt","Males","Wales","W06000005","Flintshire","Age65",16.13889,7.06196,37,12.5414,6.37186
"W39000194","Flint Trelawny","Males","Wales","W06000005","Flintshire","Age65",15.9347,7.91992,37,12.5414,6.37186
"W39000195","Greenfield","Males","Wales","W06000005","Flintshire","Age65",14.54853,6.42377,37,12.5414,6.37186
"W39000204","Holywell West","Males","Wales","W06000005","Flintshire","Age65",17.58466,8.59348,37,12.5414,6.37186
"W39000205","Hope","Males","Wales","W06000005","Flintshire","Age65",17.9001,9.76527,37,12.5414,6.37186
"W39000206","Leeswood","Males","Wales","W06000005","Flintshire","Age65",15.1569,6.77893,37,12.5414,6.37186
"W39000208","Mancot","Males","Wales","W06000005","Flintshire","Age65",17.46582,8.3594,37,12.5414,6.37186
"W39000209","Mold Broncoed","Males","Wales","W06000005","Flintshire","Age65",19.64433,10.3084,37,12.5414,6.37186
"W39000211","Mold South","Males","Wales","W06000005","Flintshire","Age65",17.27193,10.98533,37,12.5414,6.37186
"W39000212","Mold West","Males","Wales","W06000005","Flintshire","Age65",27.08993,12.18791,37,12.5414,6.37186
"W39000214","New Brighton","Males","Wales","W06000005","Flintshire","Age65",20.00513,11.19449,37,12.5414,6.37186
"W39000215","Northop","Males","Wales","W06000005","Flintshire","Age65",18.76546,11.70326,37,12.5414,6.37186
"W39000217","Penyffordd","Males","Wales","W06000005","Flintshire","Age65",19.6923,9.83385,37,12.5414,6.37186
"W39000218","Queensferry","Males","Wales","W06000005","Flintshire","Age65",16.44563,6.40118,37,12.5414,6.37186
"W39000220","Saltney Stonebridge","Males","Wales","W06000005","Flintshire","Age65",16.47901,7.06703,37,12.5414,6.37186
"W39000221","Sealand","Males","Wales","W06000005","Flintshire","Age65",17.61358,6.31877,37,12.5414,6.37186
"W39000223","Shotton Higher","Males","Wales","W06000005","Flintshire","Age65",16.42176,6.85156,37,12.5414,6.37186
"W39000224","Shotton West","Males","Wales","W06000005","Flintshire","Age65",15.70038,8.19415,37,12.5414,6.37186
"W39000227","Whitford","Males","Wales","W06000005","Flintshire","Age65",19.10116,9.88291,37,12.5414,6.37186
