"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36004333","All Saints","Males","East of England","E07000143","Breckland","Age0",83.01747,66.57759,33,12.45207,9.78738
"E36004335","Burgh and Haverscroft","Males","East of England","E07000143","Breckland","Age0",77.91109,63.01759,33,12.45207,9.78738
"E36004336","Conifer","Males","East of England","E07000143","Breckland","Age0",81.05197,66.77043,33,12.45207,9.78738
"E36004337","Dereham-Central","Males","East of England","E07000143","Breckland","Age0",78.20855,61.06614,33,12.45207,9.78738
"E36004338","Dereham-Humbletoft","Males","East of England","E07000143","Breckland","Age0",78.83081,63.80924,33,12.45207,9.78738
"E36004339","Dereham-Neatherd","Males","East of England","E07000143","Breckland","Age0",80.0031,65.55802,33,12.45207,9.78738
"E36004340","Dereham-Toftwood","Males","East of England","E07000143","Breckland","Age0",81.72938,64.87168,33,12.45207,9.78738
"E36004341","East Guiltcross","Males","East of England","E07000143","Breckland","Age0",82.76391,68.71417,33,12.45207,9.78738
"E36004342","Eynsford","Males","East of England","E07000143","Breckland","Age0",85.15968,67.75764,33,12.45207,9.78738
"E36004343","Haggard de Toni","Males","East of England","E07000143","Breckland","Age0",78.40187,65.17049,33,12.45207,9.78738
"E36004344","Harling and Heathlands","Males","East of England","E07000143","Breckland","Age0",82.16368,66.92805,33,12.45207,9.78738
"E36004345","Hermitage","Males","East of England","E07000143","Breckland","Age0",77.74636,63.6736,33,12.45207,9.78738
"E36004346","Launditch","Males","East of England","E07000143","Breckland","Age0",79.12356,62.9908,33,12.45207,9.78738
"E36004347","Mid Forest","Males","East of England","E07000143","Breckland","Age0",84.18728,65.99026,33,12.45207,9.78738
"E36004348","Nar Valley","Males","East of England","E07000143","Breckland","Age0",80.04845,63.92368,33,12.45207,9.78738
"E36004350","Queen's","Males","East of England","E07000143","Breckland","Age0",78.87562,64.10033,33,12.45207,9.78738
"E36004352","Springvale and Scarning","Males","East of England","E07000143","Breckland","Age0",77.78849,63.41072,33,12.45207,9.78738
"E36004353","Swaffham","Males","East of England","E07000143","Breckland","Age0",79.40166,62.85765,33,12.45207,9.78738
"E36004354","Swanton Morley","Males","East of England","E07000143","Breckland","Age0",77.17981,65.20278,33,12.45207,9.78738
"E36004355","Taverner","Males","East of England","E07000143","Breckland","Age0",81.77083,66.97278,33,12.45207,9.78738
"E36004356","Templar","Males","East of England","E07000143","Breckland","Age0",80.92436,61.36865,33,12.45207,9.78738
"E36004357","Thetford-Abbey","Males","East of England","E07000143","Breckland","Age0",78.32765,59.84446,33,12.45207,9.78738
"E36004358","Thetford-Castle","Males","East of England","E07000143","Breckland","Age0",72.70761,58.92679,33,12.45207,9.78738
"E36004359","Thetford-Guildhall","Males","East of England","E07000143","Breckland","Age0",83.67922,68.54421,33,12.45207,9.78738
"E36004360","Thetford-Saxon","Males","East of England","E07000143","Breckland","Age0",81.26417,62.61737,33,12.45207,9.78738
"E36004361","Two Rivers","Males","East of England","E07000143","Breckland","Age0",80.7688,67.06243,33,12.45207,9.78738
"E36004362","Upper Wensum","Males","East of England","E07000143","Breckland","Age0",79.8191,64.33713,33,12.45207,9.78738
"E36004363","Upper Yare","Males","East of England","E07000143","Breckland","Age0",82.04994,67.74204,33,12.45207,9.78738
"E36004364","Watton","Males","East of England","E07000143","Breckland","Age0",80.34662,63.95343,33,12.45207,9.78738
"E36004365","Wayland","Males","East of England","E07000143","Breckland","Age0",81.31458,67.93822,33,12.45207,9.78738
"E36004366","Weeting","Males","East of England","E07000143","Breckland","Age0",79.21054,63.77433,33,12.45207,9.78738
"E36004367","West Guiltcross","Males","East of England","E07000143","Breckland","Age0",79.99715,66.23839,33,12.45207,9.78738
"E36004368","Wissey","Males","East of England","E07000143","Breckland","Age0",79.65164,64.84519,33,12.45207,9.78738
