"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"W39000701","Abersychan","Males","Wales","W06000020","Torfaen","Age0",76.12736,56.26122,17,10.58372,12.40917
"W39000702","Blaenavon","Males","Wales","W06000020","Torfaen","Age0",73.12288,56.5147,17,10.58372,12.40917
"W39000704","Coed Eva","Males","Wales","W06000020","Torfaen","Age0",82.64879,66.55092,17,10.58372,12.40917
"W39000705","Croesyceiliog North","Males","Wales","W06000020","Torfaen","Age0",80.50023,61.74383,17,10.58372,12.40917
"W39000708","Fairwater","Males","Wales","W06000020","Torfaen","Age0",78.12856,60.08468,17,10.58372,12.40917
"W39000709","Greenmeadow","Males","Wales","W06000020","Torfaen","Age0",78.39644,58.84008,17,10.58372,12.40917
"W39000710","Llantarnam","Males","Wales","W06000020","Torfaen","Age0",79.45698,60.1634,17,10.58372,12.40917
"W39000712","Llanyrafon South","Males","Wales","W06000020","Torfaen","Age0",81.38417,66.00738,17,10.58372,12.40917
"W39000713","New Inn","Males","Wales","W06000020","Torfaen","Age0",80.80515,64.55214,17,10.58372,12.40917
"W39000714","Panteg","Males","Wales","W06000020","Torfaen","Age0",79.10687,62.92381,17,10.58372,12.40917
"W39000715","Pontnewydd","Males","Wales","W06000020","Torfaen","Age0",75.416,56.53537,17,10.58372,12.40917
"W39000718","Snatchwood","Males","Wales","W06000020","Torfaen","Age0",72.06507,54.57196,17,10.58372,12.40917
"W39000720","St. Dials","Males","Wales","W06000020","Torfaen","Age0",76.19459,56.4383,17,10.58372,12.40917
"W39000721","Trevethin","Males","Wales","W06000020","Torfaen","Age0",76.86843,54.14175,17,10.58372,12.40917
"W39000722","Two Locks","Males","Wales","W06000020","Torfaen","Age0",78.78778,61.06183,17,10.58372,12.40917
"W39000723","Upper Cwmbran","Males","Wales","W06000020","Torfaen","Age0",76.65751,57.24749,17,10.58372,12.40917
"W39000724","Wainfelin","Males","Wales","W06000020","Torfaen","Age0",78.80887,59.02933,17,10.58372,12.40917
