Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Birmingham 044E,B82HL,B82H
England,Birmingham 048A,B82HA,B82H
England,Birmingham 044D,B82HR,B82H
England,Birmingham 048A,B82HE,B82H
England,Birmingham 044E,B82HQ,B82H
England,Birmingham 044D,B82HU,B82H
England,Birmingham 044D,B82HS,B82H
England,Birmingham 044E,B82HN,B82H
England,Birmingham 044E,B82HB,B82H
England,Birmingham 044E,B82HG,B82H
England,Birmingham 048A,B82HF,B82H
England,Birmingham 044E,B82HJ,B82H
England,Birmingham 044E,B82HP,B82H
England,Birmingham 044D,B82HX,B82H
England,Birmingham 044D,B82HT,B82H
