Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Birmingham 139H,B95AB,B95A
England,Birmingham 139E,B95AT,B95A
England,Birmingham 139E,B95AX,B95A
England,Birmingham 139E,B95AY,B95A
England,Birmingham 139E,B95AL,B95A
England,Birmingham 139H,B95AN,B95A
England,Birmingham 058D,B95AQ,B95A
England,Birmingham 139H,B95AJ,B95A
England,Birmingham 139H,B95AH,B95A
England,Birmingham 139H,B95AA,B95A
England,Birmingham 139H,B95AG,B95A
England,Birmingham 139E,B95AZ,B95A
England,Birmingham 139E,B95AU,B95A
England,Birmingham 139E,B95AS,B95A
England,Birmingham 139H,B95AR,B95A
England,Birmingham 139E,B95AP,B95A
England,Birmingham 139H,B95AD,B95A
