Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Birmingham 055B,B95PQ,B95P
England,Birmingham 063E,B95PT,B95P
England,Birmingham 139H,B95PL,B95P
England,Birmingham 058C,B95PD,B95P
England,Birmingham 063D,B95PX,B95P
England,Birmingham 055B,B95PH,B95P
England,Birmingham 055B,B95PJ,B95P
England,Birmingham 139D,B95PP,B95P
England,Birmingham 063E,B95PS,B95P
England,Birmingham 058C,B95PA,B95P
England,Birmingham 139C,B95PN,B95P
England,Birmingham 055B,B95PB,B95P
England,Birmingham 063D,B95PU,B95P
England,Birmingham 139C,B95PW,B95P
England,Birmingham 055B,B95PE,B95P
England,Birmingham 139B,B95PR,B95P
England,Birmingham 055B,B95PF,B95P
England,Birmingham 058C,B95PG,B95P
