Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Bath and North East Somerset 012A,BA26EE,BA26
England,Bath and North East Somerset 010B,BA26TL,BA26
England,Bath and North East Somerset 012B,BA26RE,BA26
England,Bath and North East Somerset 007B,BA26NG,BA26
England,Bath and North East Somerset 006C,BA26QP,BA26
England,Bath and North East Somerset 007A,BA26PR,BA26
England,Bath and North East Somerset 012D,BA26DF,BA26
England,Bath and North East Somerset 010E,BA26SP,BA26
England,Bath and North East Somerset 012B,BA26JP,BA26
England,Bath and North East Somerset 010E,BA26XJ,BA26
England,Bath and North East Somerset 012B,BA26HF,BA26
England,Bath and North East Somerset 012A,BA26LA,BA26
England,Bath and North East Somerset 012A,BA26BX,BA26
England,Bath and North East Somerset 012B,BA26JB,BA26
England,Bath and North East Somerset 012A,BA26NN,BA26
England,Bath and North East Somerset 010E,BA26XE,BA26
England,Bath and North East Somerset 007B,BA26NF,BA26
England,Bath and North East Somerset 012A,BA26SF,BA26
England,Bath and North East Somerset 012A,BA26EF,BA26
England,Bath and North East Somerset 012A,BA26EN,BA26
England,Bath and North East Somerset 010E,BA26TE,BA26
England,Bath and North East Somerset 012A,BA26DD,BA26
England,Bath and North East Somerset 007B,BA26LL,BA26
England,Bath and North East Somerset 012D,BA26AT,BA26
England,Bath and North East Somerset 007A,BA26PX,BA26
England,Bath and North East Somerset 010E,BA26XD,BA26
England,Bath and North East Somerset 012A,BA26EX,BA26
England,Bath and North East Somerset 007B,BA26LX,BA26
England,Bath and North East Somerset 010E,BA26RP,BA26
England,Bath and North East Somerset 006D,BA26QB,BA26
England,Bath and North East Somerset 010E,BA26RN,BA26
England,Bath and North East Somerset 006D,BA26NQ,BA26
England,Bath and North East Somerset 012B,BA26NS,BA26
England,Bath and North East Somerset 006D,BA26NX,BA26
England,Bath and North East Somerset 012A,BA26HH,BA26
England,Bath and North East Somerset 012A,BA26DU,BA26
England,Bath and North East Somerset 012B,BA26BT,BA26
England,Bath and North East Somerset 012A,BA26EH,BA26
England,Bath and North East Somerset 012D,BA26AR,BA26
England,Bath and North East Somerset 012B,BA26BS,BA26
England,Bath and North East Somerset 012A,BA26JA,BA26
England,Bath and North East Somerset 012D,BA26AE,BA26
England,Bath and North East Somerset 012A,BA26EB,BA26
England,Bath and North East Somerset 012A,BA26RL,BA26
England,Bath and North East Somerset 007A,BA26PD,BA26
England,Bath and North East Somerset 010E,BA26TP,BA26
England,Bath and North East Somerset 007A,BA26LT,BA26
England,Bath and North East Somerset 012B,BA26BW,BA26
England,Bath and North East Somerset 012B,BA26NU,BA26
England,Bath and North East Somerset 007B,BA26LY,BA26
England,Bath and North East Somerset 012D,BA26AS,BA26
England,Bath and North East Somerset 010B,BA26TN,BA26
England,Bath and North East Somerset 010E,BA26UE,BA26
England,Bath and North East Somerset 007A,BA26PS,BA26
