Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Bradford 047D,BD146NR,BD14
England,Bradford 047B,BD146PY,BD14
England,Bradford 039G,BD14YL,BD14
England,Bradford 047A,BD146DT,BD14
England,Bradford 047B,BD146AZ,BD14
England,Bradford 039J,BD14RF,BD14
England,Bradford 047C,BD146HR,BD14
England,Bradford 047A,BD146BY,BD14
England,Bradford 047B,BD146RZ,BD14
England,Bradford 047D,BD146QY,BD14
England,Bradford 047D,BD146ST,BD14
England,Bradford 047B,BD146SJ,BD14
England,Bradford 035C,BD14SP,BD14
England,Bradford 047B,BD146AX,BD14
England,Bradford 039J,BD14EL,BD14
England,Bradford 047D,BD146QL,BD14
England,Bradford 039G,BD14AL,BD14
England,Bradford 047B,BD146PT,BD14
England,Bradford 047B,BD146SN,BD14
England,Bradford 039G,BD14QU,BD14
England,Bradford 039G,BD14NN,BD14
England,Bradford 047C,BD146HF,BD14
England,Bradford 047D,BD146QQ,BD14
England,Bradford 047D,BD146PW,BD14
England,Bradford 039J,BD14YR,BD14
England,Bradford 047B,BD146AY,BD14
England,Bradford 047D,BD146SU,BD14
England,Bradford 047D,BD146PF,BD14
England,Bradford 047E,BD146LJ,BD14
England,Bradford 047B,BD146RN,BD14
England,Bradford 047D,BD146QX,BD14
England,Bradford 039G,BD14YD,BD14
England,Bradford 047B,BD146BH,BD14
England,Bradford 047A,BD146DE,BD14
England,Bradford 047E,BD146JL,BD14
England,Bradford 047E,BD146ER,BD14
England,Bradford 047A,BD146DJ,BD14
England,Bradford 047B,BD146RU,BD14
England,Bradford 047E,BD146LD,BD14
England,Bradford 039G,BD14QL,BD14
England,Bradford 039G,BD14YH,BD14
England,Bradford 047E,BD146LQ,BD14
England,Bradford 047E,BD146LS,BD14
England,Bradford 047D,BD146PR,BD14
England,Bradford 047A,BD146AR,BD14
England,Bradford 047A,BD146DN,BD14
England,Bradford 039G,BD14PS,BD14
England,Bradford 039G,BD14NS,BD14
England,Bradford 039G,BD14DR,BD14
England,Bradford 047D,BD146PL,BD14
England,Bradford 047B,BD146RS,BD14
England,Bradford 049D,BD146NJ,BD14
England,Bradford 047C,BD146EZ,BD14
England,Bradford 047B,BD146PX,BD14
England,Bradford 047A,BD146DB,BD14
England,Bradford 047D,BD146PB,BD14
England,Bradford 039J,BD14EH,BD14
England,Bradford 039J,BD14JB,BD14
England,Bradford 047B,BD146RP,BD14
England,Bradford 047A,BD146AN,BD14
England,Bradford 047D,BD146NX,BD14
England,Bradford 047C,BD146TG,BD14
England,Bradford 047D,BD146PA,BD14
England,Bradford 047E,BD146JF,BD14
England,Bradford 039G,BD14AF,BD14
England,Bradford 047A,BD146DW,BD14
England,Bradford 047C,BD146HA,BD14
England,Bradford 047E,BD146LG,BD14
England,Bradford 047B,BD146RG,BD14
England,Bradford 039G,BD14BA,BD14
England,Bradford 047D,BD146NS,BD14
England,Bradford 039J,BD14TY,BD14
England,Bradford 039J,BD14ES,BD14
England,Bradford 039G,BD14HT,BD14
England,Bradford 039J,BD14DQ,BD14
England,Bradford 047C,BD146JU,BD14
England,Bradford 047E,BD146JQ,BD14
England,Bradford 047B,BD146BU,BD14
England,Bradford 039J,BD14NA,BD14
England,Bradford 047A,BD146AE,BD14
England,Bradford 047B,BD146SE,BD14
England,Bradford 047B,BD146RJ,BD14
England,Bradford 047B,BD146BQ,BD14
England,Bradford 039J,BD14RB,BD14
England,Bradford 047D,BD146NT,BD14
England,Bradford 047D,BD146QH,BD14
England,Bradford 039J,BD14RP,BD14
England,Bradford 047A,BD146EQ,BD14
England,Bradford 047D,BD146HX,BD14
England,Bradford 049D,BD146HE,BD14
England,Bradford 047E,BD146JA,BD14
England,Bradford 039J,BD14SD,BD14
England,Bradford 047A,BD146AH,BD14
England,Bradford 039G,BD14QH,BD14
England,Bradford 047A,BD146EF,BD14
England,Bradford 039J,BD14RA,BD14
England,Bradford 035C,BD14SJ,BD14
England,Bradford 047E,BD146LH,BD14
England,Bradford 049D,BD146NH,BD14
England,Bradford 047E,BD146LE,BD14
England,Bradford 039J,BD14AJ,BD14
England,Bradford 047E,BD146JX,BD14
England,Bradford 047A,BD146EW,BD14
England,Bradford 047E,BD146LR,BD14
England,Bradford 047E,BD146LP,BD14
England,Bradford 047A,BD146DH,BD14
England,Bradford 047A,BD146DL,BD14
England,Bradford 047A,BD146BW,BD14
England,Bradford 047B,BD146SL,BD14
England,Bradford 039J,BD14AG,BD14
England,Bradford 039J,BD14XB,BD14
England,Bradford 047E,BD146AA,BD14
England,Bradford 047C,BD146HD,BD14
England,Bradford 039J,BD14RN,BD14
England,Bradford 047D,BD146RF,BD14
England,Bradford 047D,BD146QT,BD14
England,Bradford 047B,BD146SW,BD14
England,Bradford 047A,BD146BN,BD14
England,Bradford 047C,BD146JG,BD14
England,Bradford 039J,BD14HF,BD14
England,Bradford 047B,BD146SD,BD14
England,Bradford 047A,BD146QP,BD14
England,Bradford 028C,BD14SX,BD14
England,Bradford 039J,BD14EG,BD14
England,Bradford 039G,BD14PB,BD14
England,Bradford 039J,BD14WA,BD14
England,Bradford 047E,BD146LA,BD14
England,Bradford 047E,BD146JN,BD14
England,Bradford 039I,BD14EW,BD14
England,Bradford 047D,BD146PJ,BD14
England,Bradford 047A,BD146AD,BD14
England,Bradford 047D,BD146QD,BD14
England,Bradford 047A,BD146EE,BD14
England,Bradford 039G,BD14XX,BD14
England,Bradford 047A,BD146DS,BD14
England,Bradford 047A,BD146AQ,BD14
England,Bradford 047C,BD146TF,BD14
England,Bradford 039J,BD14DE,BD14
England,Bradford 047A,BD146DA,BD14
England,Bradford 047B,BD146PG,BD14
England,Bradford 047D,BD146HQ,BD14
England,Bradford 049D,BD146LZ,BD14
England,Bradford 047E,BD146JZ,BD14
England,Bradford 039J,BD14AH,BD14
England,Bradford 047D,BD146NG,BD14
England,Bradford 047A,BD146DY,BD14
England,Bradford 047C,BD146HJ,BD14
England,Bradford 049E,BD146LY,BD14
England,Bradford 039G,BD14HR,BD14
England,Bradford 047C,BD146HH,BD14
England,Bradford 047D,BD146PH,BD14
England,Bradford 047A,BD146AW,BD14
England,Bradford 047D,BD146RD,BD14
England,Bradford 047E,BD146JW,BD14
England,Bradford 047D,BD146NY,BD14
England,Bradford 039J,BD14AA,BD14
