Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,New Forest 020A,BH255WY,BH25
England,New Forest 021E,BH256LN,BH25
England,Bournemouth 024B,BH25LW,BH25
England,New Forest 022C,BH257SX,BH25
England,New Forest 021E,BH259AE,BH25
England,Bournemouth 024A,BH25NT,BH25
England,New Forest 020A,BH255HE,BH25
England,New Forest 018A,BH255QN,BH25
England,Bournemouth 017G,BH25LS,BH25
England,Bournemouth 024A,BH25HR,BH25
England,New Forest 018A,BH255UA,BH25
England,Bournemouth 024A,BH25HP,BH25
England,New Forest 022C,BH257QR,BH25
England,New Forest 020D,BH256SJ,BH25
England,New Forest 022A,BH257HR,BH25
England,Bournemouth 017F,BH25SS,BH25
England,New Forest 021B,BH255QG,BH25
England,New Forest 022D,BH257TD,BH25
England,Bournemouth 017A,BH25LY,BH25
England,New Forest 021C,BH256NG,BH25
England,New Forest 022B,BH257EB,BH25
England,Bournemouth 024A,BH25DU,BH25
England,New Forest 021C,BH256RW,BH25
England,New Forest 022A,BH257HP,BH25
England,New Forest 020C,BH255UR,BH25
England,Bournemouth 024A,BH25ED,BH25
England,New Forest 018A,BH255TH,BH25
England,New Forest 020B,BH255LE,BH25
England,New Forest 022D,BH257DF,BH25
England,New Forest 020B,BH255ST,BH25
England,New Forest 020C,BH255UW,BH25
England,New Forest 022D,BH255PY,BH25
England,New Forest 018A,BH255SH,BH25
England,New Forest 018C,BH255HU,BH25
England,New Forest 020D,BH256TJ,BH25
England,New Forest 020C,BH255XJ,BH25
England,New Forest 022A,BH257LQ,BH25
England,New Forest 022B,BH256PU,BH25
England,New Forest 021E,BH257XG,BH25
England,New Forest 021E,BH256HU,BH25
England,New Forest 022D,BH257AB,BH25
England,New Forest 021A,BH255BL,BH25
England,New Forest 021E,BH256AA,BH25
England,New Forest 022B,BH257EH,BH25
England,New Forest 021E,BH259ET,BH25
England,New Forest 021B,BH255XP,BH25
England,New Forest 021C,BH256PX,BH25
England,New Forest 020D,BH256TQ,BH25
England,New Forest 021A,BH255AW,BH25
England,New Forest 022D,BH257AL,BH25
England,New Forest 021E,BH256HR,BH25
England,Bournemouth 024B,BH25JT,BH25
England,New Forest 021E,BH255ZN,BH25
England,New Forest 020C,BH255XL,BH25
England,New Forest 018A,BH255SL,BH25
England,New Forest 021D,BH256LR,BH25
