Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Bolton 023B,BL33NL,BL33
England,Bolton 025D,BL33EP,BL33
England,Bolton 025A,BL33BT,BL33
England,Bolton 023B,BL33PJ,BL33
England,Bolton 026A,BL33TG,BL33
England,Bolton 025D,BL33AL,BL33
England,Bolton 023B,BL33PU,BL33
England,Bolton 025A,BL33DN,BL33
England,Bolton 025D,BL33AS,BL33
England,Bolton 023E,BL33EG,BL33
England,Bolton 023D,BL33GW,BL33
England,Bolton 023B,BL33PW,BL33
England,Bolton 023E,BL33LA,BL33
England,Bolton 026C,BL33QU,BL33
England,Bolton 026A,BL33PN,BL33
England,Bolton 025B,BL33DZ,BL33
England,Bolton 025A,BL33BR,BL33
England,Bolton 026A,BL33TB,BL33
England,Bolton 026A,BL33QR,BL33
England,Bolton 026B,BL33SG,BL33
England,Bolton 023E,BL33NE,BL33
England,Bolton 025D,BL33HN,BL33
England,Bolton 025D,BL33NF,BL33
England,Bolton 026A,BL33RB,BL33
England,Bolton 023B,BL33NP,BL33
England,Bolton 026A,BL33LP,BL33
England,Bolton 026C,BL33SA,BL33
England,Bolton 030C,BL33RG,BL33
England,Bolton 026A,BL33PG,BL33
England,Bolton 023B,BL33NH,BL33
England,Bolton 023E,BL33AY,BL33
England,Bolton 026C,BL33RX,BL33
England,Bolton 025E,BL33FD,BL33
England,Bolton 023E,BL33JZ,BL33
England,Bolton 023E,BL33HT,BL33
England,Bolton 026B,BL33QD,BL33
England,Bolton 026A,BL33RD,BL33
England,Bolton 025E,BL33EN,BL33
England,Bolton 025D,BL33HS,BL33
England,Bolton 026A,BL33PL,BL33
England,Bolton 025A,BL33EL,BL33
England,Bolton 026B,BL33TF,BL33
England,Bolton 023B,BL33NY,BL33
England,Bolton 023E,BL33EJ,BL33
England,Bolton 026C,BL33RH,BL33
England,Bolton 023E,BL33AJ,BL33
England,Bolton 025E,BL33EU,BL33
England,Bolton 023C,BL33LT,BL33
England,Bolton 025B,BL33ED,BL33
England,Bolton 026A,BL33PY,BL33
England,Bolton 026A,BL33LZ,BL33
England,Bolton 023B,BL33PH,BL33
England,Bolton 026C,BL33QJ,BL33
England,Bolton 025D,BL33TS,BL33
England,Bolton 025E,BL33DD,BL33
