Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Mid Sussex 016D,BN69BA,BN69
England,Mid Sussex 016A,BN69FF,BN69
England,Mid Sussex 017F,BN69XT,BN69
England,Mid Sussex 016E,BN69JR,BN69
England,Mid Sussex 016C,BN69TE,BN69
England,Mid Sussex 017F,BN69XA,BN69
England,Mid Sussex 016A,BN69DT,BN69
England,Mid Sussex 016E,BN69HN,BN69
England,Mid Sussex 016A,BN69JL,BN69
England,Mid Sussex 016C,BN69UH,BN69
England,Mid Sussex 016D,BN69EA,BN69
England,Mid Sussex 017C,BN69WR,BN69
England,Mid Sussex 016A,BN69EB,BN69
England,Mid Sussex 016B,BN69JY,BN69
England,Mid Sussex 016C,BN69UN,BN69
England,Mid Sussex 017F,BN69UR,BN69
England,Mid Sussex 017E,BN69PN,BN69
England,Mid Sussex 016E,BN69JB,BN69
England,Mid Sussex 016D,BN69QL,BN69
England,Mid Sussex 017F,BN69XS,BN69
England,Mid Sussex 016E,BN69HX,BN69
England,Mid Sussex 016D,BN69EG,BN69
England,Mid Sussex 016B,BN69SS,BN69
England,Mid Sussex 016D,BN69EW,BN69
England,Mid Sussex 017F,BN69AA,BN69
England,Mid Sussex 017E,BN69LX,BN69
England,Mid Sussex 016B,BN69XZ,BN69
England,Mid Sussex 017C,BN69NU,BN69
England,Mid Sussex 016A,BN69DL,BN69
England,Mid Sussex 017F,BN69QX,BN69
England,Mid Sussex 017F,BN69QR,BN69
England,Mid Sussex 016A,BN69FY,BN69
England,Mid Sussex 016B,BN69HF,BN69
England,Mid Sussex 016D,BN69BH,BN69
England,Mid Sussex 016C,BN69TD,BN69
England,Mid Sussex 016D,BN69BG,BN69
England,Mid Sussex 016E,BN69HS,BN69
England,Mid Sussex 017E,BN69LZ,BN69
England,Mid Sussex 017F,BN69AP,BN69
England,Mid Sussex 016B,BN69FS,BN69
England,Mid Sussex 016E,BN69LS,BN69
England,Mid Sussex 016B,BN69TA,BN69
England,Mid Sussex 017F,BN69NP,BN69
England,Mid Sussex 016C,BN69FD,BN69
England,Mid Sussex 016C,BN69SR,BN69
England,Mid Sussex 016D,BN69ER,BN69
England,Mid Sussex 016B,BN69FP,BN69
England,Mid Sussex 016B,BN69XD,BN69
England,Mid Sussex 016C,BN69TS,BN69
England,Mid Sussex 016D,BN69BT,BN69
England,Mid Sussex 017C,BN69WE,BN69
England,Mid Sussex 017F,BN69PW,BN69
England,Mid Sussex 017F,BN69AT,BN69
England,Mid Sussex 017F,BN69AF,BN69
England,Mid Sussex 017E,BN69PL,BN69
England,Mid Sussex 016E,BN69XN,BN69
England,Mid Sussex 016D,BN69BD,BN69
England,Mid Sussex 016E,BN69HD,BN69
England,Mid Sussex 017C,BN69DW,BN69
England,Mid Sussex 016A,BN69BY,BN69
England,Mid Sussex 017F,BN69QD,BN69
England,Mid Sussex 016C,BN69XW,BN69
England,Mid Sussex 017E,BN69PD,BN69
England,Mid Sussex 016C,BN69TX,BN69
England,Mid Sussex 016B,BN69HG,BN69
England,Mid Sussex 016E,BN69JQ,BN69
England,Mid Sussex 016B,BN69SE,BN69
England,Mid Sussex 016B,BN69LP,BN69
England,Mid Sussex 016E,BN69TF,BN69
England,Mid Sussex 016B,BN69FN,BN69
England,Mid Sussex 016D,BN69PZ,BN69
England,Mid Sussex 017F,BN69AY,BN69
England,Mid Sussex 017F,BN69NR,BN69
England,Horsham 014A,BN69JD,BN69
England,Mid Sussex 016D,BN69EF,BN69
England,Mid Sussex 017E,BN69BE,BN69
England,Mid Sussex 016C,BN69ES,BN69
England,Mid Sussex 016A,BN69DY,BN69
England,Mid Sussex 016A,BN69BL,BN69
England,Mid Sussex 016E,BN69TQ,BN69
England,Mid Sussex 016D,BN69QA,BN69
England,Mid Sussex 017E,BN69LY,BN69
England,Mid Sussex 017E,BN69NJ,BN69
England,Mid Sussex 017C,BN69GQ,BN69
England,Mid Sussex 017F,BN69XE,BN69
England,Mid Sussex 017C,BN69YQ,BN69
England,Mid Sussex 016A,BN69JE,BN69
England,Mid Sussex 017C,BN69GR,BN69
England,Mid Sussex 017A,BN69NZ,BN69
England,Mid Sussex 016A,BN69DG,BN69
England,Mid Sussex 016C,BN69RU,BN69
England,Mid Sussex 016B,BN69JX,BN69
England,Mid Sussex 016B,BN69LN,BN69
