Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Bromley 012D,BR36TG,BR36
England,Bromley 012E,BR36LX,BR36
England,Bromley 012E,BR36AX,BR36
England,Bromley 021A,BR36TD,BR36
England,Bromley 021A,BR36SD,BR36
England,Bromley 012E,BR36QY,BR36
England,Bromley 011C,BR36QD,BR36
England,Bromley 021A,BR36SN,BR36
England,Bromley 012E,BR36LS,BR36
England,Bromley 021C,BR36RJ,BR36
England,Bromley 012E,BR36LU,BR36
England,Bromley 012E,BR36TJ,BR36
England,Bromley 011C,BR36PU,BR36
England,Bromley 021A,BR36SE,BR36
England,Bromley 011C,BR36PQ,BR36
England,Bromley 021E,BR36ST,BR36
England,Bromley 012E,BR36LL,BR36
England,Bromley 021A,BR36RU,BR36
England,Bromley 012D,BR36TN,BR36
England,Bromley 012E,BR36TW,BR36
England,Bromley 012C,BR36NP,BR36
England,Bromley 012D,BR36TF,BR36
England,Bromley 012D,BR36QH,BR36
England,Bromley 012E,BR36RA,BR36
England,Bromley 021E,BR36YL,BR36
England,Bromley 011C,BR36PT,BR36
England,Bromley 041E,BR36YT,BR36
England,Bromley 012E,BR36AD,BR36
England,Bromley 021A,BR36SP,BR36
England,Bromley 012C,BR36NG,BR36
England,Bromley 012E,BR36QJ,BR36
England,Bromley 021C,BR36SG,BR36
England,Bromley 012D,BR36TQ,BR36
England,Bromley 011C,BR36PL,BR36
England,Bromley 012E,BR36QU,BR36
England,Bromley 021A,BR36RT,BR36
England,Bromley 021A,BR36RX,BR36
England,Bromley 012D,BR36LW,BR36
England,Bromley 012E,BR36NJ,BR36
England,Bromley 012E,BR36DG,BR36
England,Bromley 021A,BR36SH,BR36
England,Bromley 012C,BR36BL,BR36
England,Bromley 012C,BR36UL,BR36
England,Bromley 021A,BR36TA,BR36
England,Bromley 012E,BR36RE,BR36
England,Bromley 012E,BR36TS,BR36
England,Bromley 041E,BR36WE,BR36
England,Bromley 021E,BR36SY,BR36
England,Bromley 012E,BR36LT,BR36
England,Bromley 012E,BR36ND,BR36
England,Bromley 012D,BR36RH,BR36
England,Bromley 011C,BR36NW,BR36
England,Bromley 021C,BR36RL,BR36
England,Bromley 012C,BR36NE,BR36
England,Bromley 012E,BR36QL,BR36
England,Bromley 012D,BR36LJ,BR36
England,Bromley 012D,BR36NB,BR36
England,Bromley 012E,BR36XX,BR36
England,Bromley 012D,BR36LY,BR36
England,Bromley 012D,BR36LQ,BR36
England,Bromley 012E,BR36QX,BR36
England,Bromley 012E,BR36QP,BR36
England,Bromley 012C,BR36NS,BR36
England,Bromley 012E,BR36PZ,BR36
England,Bromley 021A,BR36SW,BR36
England,Bromley 012E,BR36TP,BR36
England,Bromley 011C,BR36PW,BR36
England,Bromley 021C,BR36RN,BR36
England,Bromley 021A,BR36SL,BR36
England,Bromley 012D,BR36RD,BR36
England,Bromley 012E,BR36PY,BR36
England,Bromley 012E,BR36RF,BR36
England,Bromley 012C,BR36NF,BR36
England,Bromley 011C,BR36PS,BR36
England,Bromley 011C,BR36PN,BR36
England,Bromley 021C,BR36RY,BR36
England,Bromley 021A,BR36SB,BR36
England,Bromley 041E,BR36ZB,BR36
England,Bromley 011C,BR36PX,BR36
England,Bromley 012E,BR36QN,BR36
England,Bromley 012E,BR36NA,BR36
England,Bromley 012C,BR36NR,BR36
England,Bromley 012E,BR36QT,BR36
England,Bromley 011C,BR36PR,BR36
England,Bromley 011C,BR36QE,BR36
England,Bromley 012E,BR36RQ,BR36
England,Bromley 012C,BR36NQ,BR36
England,Bromley 021A,BR36TB,BR36
England,Bromley 012E,BR36NH,BR36
England,Bromley 021A,BR36TH,BR36
England,Bromley 021C,BR36RP,BR36
England,Bromley 012D,BR36TT,BR36
England,Bromley 011C,BR36PP,BR36
England,Bromley 012E,BR36QR,BR36
England,Bromley 021C,BR36RW,BR36
England,Bromley 011C,BR36PG,BR36
England,Bromley 012D,BR36LH,BR36
England,Bromley 011C,BR36UA,BR36
England,Bromley 012E,BR36AE,BR36
England,Bromley 012D,BR36QW,BR36
England,Bromley 012D,BR36UN,BR36
England,Bromley 021C,BR36SA,BR36
England,Bromley 011C,BR36YE,BR36
England,Bromley 012E,BR36QZ,BR36
England,Bromley 021C,BR36RZ,BR36
England,Bromley 021E,BR36SX,BR36
England,Bromley 012D,BR36LN,BR36
England,Bromley 012E,BR36RB,BR36
England,Bromley 021E,BR36SS,BR36
England,Bromley 012D,BR36LP,BR36
England,Bromley 012E,BR36LZ,BR36
England,Bromley 012E,BR36NL,BR36
England,Bromley 021E,BR36SR,BR36
England,Bromley 012E,BR36QG,BR36
England,Bromley 021C,BR36RR,BR36
England,Bromley 012C,BR36AB,BR36
England,Bromley 012D,BR36QA,BR36
England,Bromley 012D,BR36LR,BR36
England,Bromley 012E,BR36QS,BR36
England,Bromley 021C,BR36RS,BR36
England,Bromley 021C,BR36SQ,BR36
England,Bromley 012D,BR36RG,BR36
England,Bromley 012E,BR36NN,BR36
England,Bromley 021E,BR36SZ,BR36
England,Bromley 021E,BR36SU,BR36
England,Bromley 011C,BR36PJ,BR36
England,Bromley 021A,BR36SJ,BR36
England,Bromley 021A,BR36SF,BR36
