Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,South Gloucestershire 023A,BS169BQ,BS16
England,Bristol 021A,BS163QY,BS16
England,South Gloucestershire 020A,BS166SH,BS16
England,South Gloucestershire 020D,BS166TE,BS16
England,Bristol 054E,BS16RJ,BS16
England,Bristol 054C,BS16QP,BS16
England,Bristol 021A,BS163LZ,BS16
England,Bristol 013E,BS165AA,BS16
England,South Gloucestershire 026E,BS164QL,BS16
England,South Gloucestershire 017F,BS161RN,BS16
England,South Gloucestershire 020A,BS166PH,BS16
England,Bristol 054E,BS16PF,BS16
England,South Gloucestershire 020A,BS166LA,BS16
England,Bristol 054C,BS16FL,BS16
England,Bristol 012A,BS162DW,BS16
England,Bristol 013C,BS163TU,BS16
England,South Gloucestershire 021G,BS167DX,BS16
England,Bristol 013B,BS165BN,BS16
England,Bristol 032G,BS16XS,BS16
England,South Gloucestershire 021B,BS167DL,BS16
England,South Gloucestershire 023D,BS169BH,BS16
England,Bristol 018E,BS164JD,BS16
England,Bristol 032B,BS16SW,BS16
England,Bristol 019C,BS161BJ,BS16
England,Bristol 013D,BS165AF,BS16
England,Bristol 054C,BS16FS,BS16
England,Bristol 012B,BS161FF,BS16
England,South Gloucestershire 021D,BS169AY,BS16
England,South Gloucestershire 019A,BS169SF,BS16
England,South Gloucestershire 017C,BS161RD,BS16
England,Bristol 013D,BS162RL,BS16
England,Bristol 019B,BS163YF,BS16
England,South Gloucestershire 020C,BS166DP,BS16
England,South Gloucestershire 025E,BS165HY,BS16
England,Bristol 019A,BS162AU,BS16
England,Bristol 013C,BS162HH,BS16
England,Bristol 013B,BS162NX,BS16
England,Bristol 013A,BS162HP,BS16
England,South Gloucestershire 019F,BS169LE,BS16
England,Bristol 019A,BS163HY,BS16
England,South Gloucestershire 020D,BS166PR,BS16
England,Bristol 013C,BS161UT,BS16
England,South Gloucestershire 026E,BS164BN,BS16
England,Bristol 013A,BS162DT,BS16
England,South Gloucestershire 021B,BS167GD,BS16
England,South Gloucestershire 019B,BS169RR,BS16
England,South Gloucestershire 025D,BS165PF,BS16
England,South Gloucestershire 021G,BS167JJ,BS16
England,Bristol 013D,BS162UE,BS16
England,South Gloucestershire 021F,BS167JB,BS16
England,Bristol 021B,BS163QH,BS16
England,South Gloucestershire 022A,BS166DX,BS16
England,Bristol 054C,BS16AD,BS16
England,Bristol 021C,BS163ET,BS16
England,South Gloucestershire 025E,BS165JJ,BS16
England,South Gloucestershire 020C,BS166NG,BS16
England,Bristol 054C,BS16NH,BS16
England,South Gloucestershire 020D,BS166SA,BS16
England,South Gloucestershire 023C,BS165PW,BS16
England,South Gloucestershire 009B,BS161FX,BS16
England,South Gloucestershire 026E,BS164TH,BS16
England,South Gloucestershire 017C,BS161LP,BS16
England,South Gloucestershire 025E,BS165LT,BS16
England,Bristol 012B,BS161DH,BS16
England,Bristol 018A,BS164DP,BS16
England,South Gloucestershire 022C,BS165SZ,BS16
England,Bristol 021A,BS163QR,BS16
England,Bristol 018A,BS164DH,BS16
England,South Gloucestershire 021A,BS166SS,BS16
England,South Gloucestershire 025D,BS165SR,BS16
England,South Gloucestershire 019B,BS169PT,BS16
England,South Gloucestershire 023D,BS166UE,BS16
England,South Gloucestershire 021G,BS167JG,BS16
England,South Gloucestershire 017C,BS161LX,BS16
England,Bristol 054C,BS16EU,BS16
England,Bristol 012C,BS161JU,BS16
England,South Gloucestershire 017E,BS161QY,BS16
England,South Gloucestershire 023C,BS166AS,BS16
England,Bristol 018A,BS164EX,BS16
England,Bristol 021C,BS163EJ,BS16
England,Bristol 012B,BS161AW,BS16
England,South Gloucestershire 021B,BS167GX,BS16
England,South Gloucestershire 025E,BS165EW,BS16
England,Bristol 054E,BS16RF,BS16
England,South Gloucestershire 023C,BS169HN,BS16
England,South Gloucestershire 025D,BS165HG,BS16
England,Bristol 012C,BS162JN,BS16
England,South Gloucestershire 019A,BS169PP,BS16
England,Bristol 013C,BS163TS,BS16
England,South Gloucestershire 017F,BS161RF,BS16
England,Bristol 013A,BS162HY,BS16
England,South Gloucestershire 022D,BS165DN,BS16
England,Bristol 032B,BS16TE,BS16
England,South Gloucestershire 021D,BS169BU,BS16
England,South Gloucestershire 022C,BS166ER,BS16
England,Bristol 013C,BS160EE,BS16
England,Bristol 013C,BS160DS,BS16
England,South Gloucestershire 017E,BS161GH,BS16
England,Bristol 018A,BS164DD,BS16
England,South Gloucestershire 019F,BS169QR,BS16
England,South Gloucestershire 026E,BS164TG,BS16
England,South Gloucestershire 021A,BS166RN,BS16
England,Bristol 054E,BS16RH,BS16
England,South Gloucestershire 022D,BS165DS,BS16
England,South Gloucestershire 017F,BS161ST,BS16
England,South Gloucestershire 026B,BS164RW,BS16
England,South Gloucestershire 025E,BS165NX,BS16
England,Bristol 032B,BS16TB,BS16
England,South Gloucestershire 022B,BS165TP,BS16
England,South Gloucestershire 017C,BS161UU,BS16
England,Bristol 054B,BS16EG,BS16
England,South Gloucestershire 017E,BS161FD,BS16
England,Bristol 032G,BS16XY,BS16
England,Bristol 013C,BS160DT,BS16
England,South Gloucestershire 026D,BS164SY,BS16
England,Bristol 054E,BS16PA,BS16
England,Bristol 012A,BS161UR,BS16
England,Bristol 054E,BS16PG,BS16
England,Bristol 013C,BS160ED,BS16
England,South Gloucestershire 025E,BS165LR,BS16
England,Bristol 054C,BS16JZ,BS16
England,South Gloucestershire 023D,BS166UU,BS16
England,South Gloucestershire 026D,BS164SR,BS16
England,Bristol 012B,BS161DU,BS16
England,Bristol 032G,BS16TZ,BS16
England,South Gloucestershire 023B,BS169EX,BS16
England,Bristol 012A,BS161DF,BS16
England,South Gloucestershire 026E,BS164LU,BS16
England,Bristol 054C,BS16HW,BS16
England,South Gloucestershire 022D,BS165EE,BS16
England,Bristol 054C,BS16BF,BS16
England,South Gloucestershire 022C,BS166BU,BS16
England,South Gloucestershire 017E,BS161GU,BS16
England,South Gloucestershire 022A,BS166HD,BS16
England,South Gloucestershire 022C,BS165TF,BS16
England,Bristol 021B,BS163NP,BS16
England,Bristol 032G,BS16XN,BS16
England,South Gloucestershire 023D,BS169BW,BS16
England,Bristol 012D,BS161XS,BS16
England,Bristol 019B,BS163DZ,BS16
England,Bristol 013C,BS163TP,BS16
England,South Gloucestershire 020C,BS166QN,BS16
England,South Gloucestershire 022C,BS166FE,BS16
England,Bristol 012C,BS161JJ,BS16
England,South Gloucestershire 019B,BS169SQ,BS16
England,Bristol 054C,BS16BA,BS16
England,South Gloucestershire 025E,BS165JA,BS16
England,South Gloucestershire 021C,BS167DS,BS16
England,Bristol 019A,BS163BA,BS16
England,Bristol 018E,BS164JU,BS16
England,South Gloucestershire 026E,BS164NT,BS16
England,Bristol 013C,BS160DQ,BS16
England,South Gloucestershire 022B,BS165RG,BS16
England,Bristol 012B,BS161AZ,BS16
England,South Gloucestershire 020A,BS166JG,BS16
England,South Gloucestershire 019A,BS169RW,BS16
England,South Gloucestershire 020A,BS166PE,BS16
England,South Gloucestershire 022B,BS166AB,BS16
England,Bristol 054C,BS16BU,BS16
England,South Gloucestershire 026E,BS164PY,BS16
England,South Gloucestershire 019F,BS169LX,BS16
England,Bristol 018D,BS163ST,BS16
England,South Gloucestershire 026F,BS164PB,BS16
England,Bristol 018E,BS164BQ,BS16
England,Bristol 054B,BS16DG,BS16
England,Bristol 012C,BS162JH,BS16
England,South Gloucestershire 021D,BS169DB,BS16
England,Bristol 012D,BS161UG,BS16
England,Bristol 021B,BS163JP,BS16
England,Bristol 018F,BS164AE,BS16
England,Bristol 021B,BS163NH,BS16
England,Bristol 054B,BS16EW,BS16
England,Bristol 018F,BS164AP,BS16
England,South Gloucestershire 022D,BS165EG,BS16
England,South Gloucestershire 021A,BS167FN,BS16
England,South Gloucestershire 021B,BS167GZ,BS16
England,Bristol 019B,BS162AE,BS16
England,South Gloucestershire 023B,BS169EL,BS16
England,South Gloucestershire 017E,BS161WN,BS16
England,Bristol 021A,BS163NB,BS16
England,South Gloucestershire 025D,BS165LY,BS16
England,South Gloucestershire 023D,BS166RA,BS16
England,South Gloucestershire 022C,BS165UJ,BS16
England,Bristol 013C,BS167WP,BS16
England,Bristol 013C,BS160BA,BS16
England,South Gloucestershire 021D,BS169BY,BS16
England,Bristol 018E,BS164JE,BS16
England,Bristol 018E,BS164LF,BS16
England,South Gloucestershire 021C,BS167DB,BS16
England,South Gloucestershire 019F,BS169LT,BS16
England,South Gloucestershire 021G,BS167DZ,BS16
England,Bristol 013B,BS162FF,BS16
England,Bristol 054C,BS16NP,BS16
England,South Gloucestershire 021A,BS166XG,BS16
England,Bristol 012C,BS162JG,BS16
England,Bristol 054C,BS16JJ,BS16
England,South Gloucestershire 023B,BS169HS,BS16
England,South Gloucestershire 026E,BS164NF,BS16
England,Bristol 013D,BS162UB,BS16
England,South Gloucestershire 026B,BS164RR,BS16
England,South Gloucestershire 021D,BS169BE,BS16
England,Bristol 014A,BS161QB,BS16
England,South Gloucestershire 017F,BS161FJ,BS16
England,Bristol 012A,BS161XA,BS16
England,Bristol 054C,BS16DQ,BS16
