Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Carlisle 007E,CA49SZ,CA49
England,Carlisle 007A,CA49RD,CA49
England,Eden 002A,CA49PL,CA49
England,Eden 001C,CA49RH,CA49
England,Carlisle 007A,CA49QZ,CA49
England,Eden 001C,CA49RQ,CA49
England,Eden 001C,CA49RB,CA49
England,Carlisle 007E,CA49SX,CA49
England,Eden 002A,CA49TH,CA49
England,Eden 002A,CA49PD,CA49
England,Eden 001C,CA49SQ,CA49
England,Eden 001C,CA49QP,CA49
England,Eden 002C,CA49TW,CA49
England,Eden 001C,CA49QJ,CA49
England,Carlisle 007E,CA49SY,CA49
England,Eden 001C,CA49QG,CA49
England,Eden 002C,CA49TR,CA49
England,Eden 001C,CA49SH,CA49
England,Eden 002A,CA49PA,CA49
England,Eden 002C,CA49TN,CA49
England,Eden 001C,CA49PY,CA49
England,Eden 002A,CA49SL,CA49
England,Carlisle 007A,CA49RA,CA49
England,Eden 002C,CA49TS,CA49
England,Eden 002A,CA49PF,CA49
England,Eden 001C,CA49QN,CA49
England,Carlisle 007E,CA49TA,CA49
England,Eden 001C,CA49RN,CA49
England,Eden 001C,CA49RE,CA49
England,Eden 001C,CA49QR,CA49
England,Eden 002A,CA49PN,CA49
England,Eden 001C,CA49RG,CA49
England,Carlisle 007E,CA49SR,CA49
England,Eden 001C,CA49QA,CA49
England,Eden 001C,CA49RL,CA49
England,Eden 002C,CA49PQ,CA49
England,Eden 001C,CA49QT,CA49
England,Carlisle 007E,CA49SN,CA49
England,Eden 001C,CA49SE,CA49
England,Eden 002A,CA49TQ,CA49
England,Eden 002A,CA49TG,CA49
England,Eden 001C,CA49RJ,CA49
England,Eden 001C,CA49RF,CA49
England,Eden 002C,CA49TU,CA49
England,Eden 002A,CA49PG,CA49
England,Eden 002A,CA49PJ,CA49
England,Eden 001C,CA49QD,CA49
England,Carlisle 007A,CA49RW,CA49
England,Eden 001C,CA49RX,CA49
England,Eden 002A,CA49PB,CA49
England,Eden 001C,CA49RS,CA49
England,Eden 001C,CA49QH,CA49
England,Eden 001C,CA49RZ,CA49
England,Carlisle 007E,CA49TF,CA49
England,Eden 002A,CA49PP,CA49
England,Eden 001C,CA49QB,CA49
England,Eden 001C,CA49QS,CA49
England,Eden 002A,CA49PX,CA49
England,Eden 001C,CA49SF,CA49
England,Eden 001C,CA49RR,CA49
England,Eden 002A,CA49PR,CA49
England,Carlisle 007E,CA49TB,CA49
England,Eden 001C,CA49QQ,CA49
England,Eden 001C,CA49RY,CA49
England,Carlisle 007A,CA49RP,CA49
England,Eden 001C,CA49QF,CA49
England,Eden 001C,CA49QY,CA49
England,Carlisle 007E,CA49ST,CA49
England,Eden 002A,CA49TJ,CA49
England,Eden 001C,CA49RT,CA49
England,Eden 001C,CA49PZ,CA49
England,Eden 001C,CA49SJ,CA49
England,Eden 002A,CA49PH,CA49
England,Eden 001C,CA49SG,CA49
England,Eden 002A,CA49PS,CA49
England,Eden 001C,CA49QW,CA49
England,Carlisle 007E,CA49SP,CA49
England,Eden 002A,CA49PW,CA49
England,Eden 001C,CA49RU,CA49
England,Eden 002A,CA49PE,CA49
England,Eden 001C,CA49QE,CA49
England,Eden 002C,CA49TP,CA49
