Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Cambridge 013B,CB20SN,CB20
England,Cambridge 013B,CB20SG,CB20
England,Cambridge 013D,CB20GG,CB20
England,Cambridge 013D,CB20DA,CB20
England,Cambridge 013B,CB20QZ,CB20
England,Cambridge 013D,CB20AP,CB20
England,Cambridge 013B,CB20SA,CB20
England,Cambridge 013D,CB20SL,CB20
England,Cambridge 013B,CB20SZ,CB20
England,Cambridge 013D,CB20RA,CB20
England,Cambridge 013B,CB20RE,CB20
England,Cambridge 013B,CB20AB,CB20
England,Cambridge 010B,CB20NT,CB20
England,Cambridge 013D,CB20AG,CB20
England,Cambridge 013D,CB20QJ,CB20
England,Cambridge 013D,CB20QX,CB20
England,Cambridge 013B,CB20QP,CB20
England,Cambridge 013B,CB20SB,CB20
England,Cambridge 013D,CB20QH,CB20
England,Cambridge 010B,CB20NU,CB20
England,Cambridge 013B,CB20AE,CB20
England,Cambridge 013B,CB20SQ,CB20
England,Cambridge 013D,CB20QD,CB20
England,Cambridge 013B,CB20QG,CB20
England,Cambridge 013B,CB20QS,CB20
England,Cambridge 013B,CB20AD,CB20
England,Cambridge 013D,CB20QQ,CB20
England,Cambridge 013D,CB20QN,CB20
England,Cambridge 013B,CB20QT,CB20
England,Cambridge 013B,CB20SD,CB20
England,Cambridge 013B,CB20PT,CB20
England,Cambridge 013D,CB20AT,CB20
England,Cambridge 013D,CB20AA,CB20
England,Cambridge 013D,CB20XZ,CB20
England,Cambridge 013D,CB20RB,CB20
England,Cambridge 013D,CB20AH,CB20
England,Cambridge 013D,CB20XX,CB20
England,Cambridge 013B,CB20SE,CB20
England,Cambridge 013B,CB20SF,CB20
England,Cambridge 013D,CB20AN,CB20
England,Cambridge 013D,CB20QU,CB20
England,Cambridge 013D,CB20SR,CB20
England,Cambridge 013B,CB20AF,CB20
England,Cambridge 013D,CB20SP,CB20
England,Cambridge 013B,CB20SJ,CB20
England,Cambridge 013D,CB20PY,CB20
England,Cambridge 013D,CB20QW,CB20
England,Cambridge 013D,CB20XY,CB20
England,Cambridge 013D,CB20QR,CB20
England,Cambridge 013D,CB20QY,CB20
England,Cambridge 013D,CB20SW,CB20
England,Cambridge 013D,CB20ST,CB20
