Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
Wales,The Vale of Glamorgan 008E,CF645TB,CF64
Wales,The Vale of Glamorgan 005A,CF643DD,CF64
Wales,The Vale of Glamorgan 005E,CF641SP,CF64
Wales,The Vale of Glamorgan 006B,CF644NL,CF64
Wales,The Vale of Glamorgan 008D,CF645TS,CF64
Wales,The Vale of Glamorgan 005D,CF641JR,CF64
Wales,The Vale of Glamorgan 006A,CF644HS,CF64
Wales,The Vale of Glamorgan 008D,CF645UW,CF64
Wales,The Vale of Glamorgan 005A,CF643EB,CF64
Wales,The Vale of Glamorgan 005F,CF643UD,CF64
Wales,The Vale of Glamorgan 005F,CF643XE,CF64
Wales,The Vale of Glamorgan 005A,CF643DS,CF64
Wales,The Vale of Glamorgan 005D,CF642AG,CF64
Wales,The Vale of Glamorgan 005E,CF641NJ,CF64
Wales,The Vale of Glamorgan 005A,CF643AU,CF64
Wales,The Vale of Glamorgan 008A,CF643QH,CF64
Wales,The Vale of Glamorgan 006A,CF644AE,CF64
Wales,The Vale of Glamorgan 005A,CF643BL,CF64
Wales,The Vale of Glamorgan 004B,CF642JR,CF64
Wales,The Vale of Glamorgan 004E,CF642LU,CF64
Wales,The Vale of Glamorgan 006C,CF644PS,CF64
Wales,The Vale of Glamorgan 005C,CF641HR,CF64
Wales,The Vale of Glamorgan 005B,CF641BN,CF64
Wales,The Vale of Glamorgan 006A,CF644AZ,CF64
Wales,The Vale of Glamorgan 005B,CF641DL,CF64
Wales,The Vale of Glamorgan 005E,CF641TH,CF64
Wales,The Vale of Glamorgan 006E,CF644HG,CF64
Wales,The Vale of Glamorgan 008C,CF643PS,CF64
Wales,The Vale of Glamorgan 004E,CF642PR,CF64
Wales,The Vale of Glamorgan 004C,CF642QF,CF64
Wales,The Vale of Glamorgan 008F,CF645FD,CF64
Wales,The Vale of Glamorgan 005B,CF643AY,CF64
Wales,The Vale of Glamorgan 008B,CF643RD,CF64
Wales,The Vale of Glamorgan 004D,CF642TH,CF64
Wales,The Vale of Glamorgan 004D,CF642SW,CF64
Wales,The Vale of Glamorgan 005E,CF641SL,CF64
Wales,The Vale of Glamorgan 004B,CF641JN,CF64
Wales,The Vale of Glamorgan 005D,CF641JF,CF64
Wales,The Vale of Glamorgan 008A,CF643QY,CF64
Wales,The Vale of Glamorgan 004B,CF642JB,CF64
Wales,The Vale of Glamorgan 008F,CF645FS,CF64
Wales,The Vale of Glamorgan 005C,CF641EX,CF64
Wales,The Vale of Glamorgan 006B,CF644TY,CF64
Wales,The Vale of Glamorgan 008B,CF643HU,CF64
Wales,The Vale of Glamorgan 006E,CF644JN,CF64
Wales,The Vale of Glamorgan 005D,CF641EY,CF64
Wales,The Vale of Glamorgan 008B,CF643QR,CF64
Wales,The Vale of Glamorgan 008A,CF643HD,CF64
Wales,The Vale of Glamorgan 005E,CF641DH,CF64
Wales,The Vale of Glamorgan 008C,CF643HR,CF64
Wales,The Vale of Glamorgan 008D,CF645HU,CF64
Wales,The Vale of Glamorgan 005F,CF643UG,CF64
Wales,The Vale of Glamorgan 005A,CF643HQ,CF64
Wales,The Vale of Glamorgan 004C,CF642BH,CF64
Wales,The Vale of Glamorgan 006A,CF644AG,CF64
Wales,The Vale of Glamorgan 004E,CF642PS,CF64
Wales,The Vale of Glamorgan 005C,CF641YR,CF64
Wales,The Vale of Glamorgan 004E,CF642PX,CF64
Wales,The Vale of Glamorgan 006B,CF644AB,CF64
Wales,The Vale of Glamorgan 005A,CF643DU,CF64
Wales,The Vale of Glamorgan 008B,CF643QT,CF64
Wales,The Vale of Glamorgan 008F,CF645UP,CF64
Wales,The Vale of Glamorgan 005F,CF643UP,CF64
Wales,The Vale of Glamorgan 005E,CF641TB,CF64
