Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Cheshire West and Chester 013B,CH662QS,CH66
England,Cheshire West and Chester 016A,CH662JN,CH66
England,Cheshire West and Chester 008D,CH663QE,CH66
England,Cheshire West and Chester 009D,CH664QB,CH66
England,Cheshire West and Chester 009A,CH664TH,CH66
England,Cheshire West and Chester 009B,CH664NA,CH66
England,Cheshire West and Chester 009D,CH665NJ,CH66
England,Cheshire West and Chester 005D,CH661PE,CH66
England,Cheshire West and Chester 016D,CH662TQ,CH66
England,Cheshire West and Chester 013A,CH662NJ,CH66
England,Cheshire West and Chester 008E,CH661PT,CH66
England,Cheshire West and Chester 009D,CH664PZ,CH66
England,Cheshire West and Chester 005D,CH661PF,CH66
England,Cheshire West and Chester 004C,CH661NG,CH66
England,Cheshire West and Chester 009C,CH664JU,CH66
England,Cheshire West and Chester 013C,CH662SJ,CH66
England,Cheshire West and Chester 016C,CH662YB,CH66
Wales,Flintshire 003B,CH66HE,CH66
England,Cheshire West and Chester 009E,CH662HD,CH66
England,Cheshire West and Chester 016C,CH662YU,CH66
England,Cheshire West and Chester 013D,CH664TZ,CH66
England,Cheshire West and Chester 009B,CH664UT,CH66
Wales,Flintshire 003A,CH66DE,CH66
England,Cheshire West and Chester 005D,CH661RF,CH66
England,Cheshire West and Chester 009B,CH664UY,CH66
England,Cheshire West and Chester 009A,CH664TG,CH66
England,Cheshire West and Chester 009F,CH662ES,CH66
England,Cheshire West and Chester 008A,CH663NH,CH66
Wales,Flintshire 003A,CH66BE,CH66
England,Cheshire West and Chester 010D,CH662TR,CH66
England,Cheshire West and Chester 009F,CH662ET,CH66
England,Cheshire West and Chester 016C,CH662YF,CH66
England,Cheshire West and Chester 008C,CH664JA,CH66
England,Cheshire West and Chester 013A,CH664RF,CH66
England,Cheshire West and Chester 005B,CH661HU,CH66
England,Cheshire West and Chester 013A,CH662NE,CH66
Wales,Flintshire 003A,CH66AS,CH66
England,Cheshire West and Chester 009A,CH664NR,CH66
England,Cheshire West and Chester 009G,CH662LX,CH66
England,Cheshire West and Chester 016D,CH662QY,CH66
England,Cheshire West and Chester 009A,CH664TL,CH66
England,Cheshire West and Chester 005D,CH661HT,CH66
England,Cheshire West and Chester 016A,CH662PA,CH66
England,Cheshire West and Chester 013A,CH664SE,CH66
England,Cheshire West and Chester 010C,CH662JB,CH66
England,Cheshire West and Chester 005A,CH661JZ,CH66
England,Cheshire West and Chester 009C,CH664JZ,CH66
England,Cheshire West and Chester 004C,CH667NY,CH66
England,Cheshire West and Chester 008A,CH663NJ,CH66
England,Cheshire West and Chester 016C,CH662YG,CH66
England,Cheshire West and Chester 009D,CH665NW,CH66
England,Cheshire West and Chester 005D,CH661HD,CH66
England,Cheshire West and Chester 004C,CH665NB,CH66
England,Cheshire West and Chester 016B,CH662RS,CH66
England,Cheshire West and Chester 009F,CH662ER,CH66
England,Cheshire West and Chester 025C,CH668PH,CH66
England,Cheshire West and Chester 016A,CH662PB,CH66
England,Cheshire West and Chester 016C,CH662XN,CH66
England,Cheshire West and Chester 009F,CH662HU,CH66
England,Cheshire West and Chester 004C,CH661QZ,CH66
Wales,Flintshire 003B,CH66EY,CH66
England,Cheshire West and Chester 005C,CH661SH,CH66
England,Cheshire West and Chester 009D,CH664PU,CH66
England,Cheshire West and Chester 008E,CH663QN,CH66
England,Cheshire West and Chester 016D,CH662TD,CH66
England,Cheshire West and Chester 004C,CH668PE,CH66
England,Cheshire West and Chester 016D,CH662SA,CH66
England,Cheshire West and Chester 005C,CH661TZ,CH66
England,Cheshire West and Chester 008A,CH663JR,CH66
England,Cheshire West and Chester 009D,CH665NP,CH66
England,Cheshire West and Chester 016B,CH662JH,CH66
England,Cheshire West and Chester 016A,CH662PE,CH66
England,Cheshire West and Chester 009G,CH662HW,CH66
England,Cheshire West and Chester 009A,CH664NN,CH66
England,Cheshire West and Chester 013B,CH662QL,CH66
England,Cheshire West and Chester 013B,CH663LB,CH66
England,Cheshire West and Chester 008D,CH663QQ,CH66
England,Cheshire West and Chester 016B,CH662UT,CH66
England,Cheshire West and Chester 025A,CH669PA,CH66
Wales,Flintshire 003A,CH66DT,CH66
England,Cheshire West and Chester 008A,CH663LL,CH66
England,Cheshire West and Chester 013A,CH664RE,CH66
England,Cheshire West and Chester 004C,CH664QP,CH66
Wales,Flintshire 003B,CH66EX,CH66
England,Cheshire West and Chester 008C,CH664SD,CH66
England,Cheshire West and Chester 009B,CH664ST,CH66
England,Cheshire West and Chester 016A,CH662PH,CH66
England,Cheshire West and Chester 009B,CH664NH,CH66
England,Cheshire West and Chester 013B,CH664QT,CH66
England,Cheshire West and Chester 004C,CH661QH,CH66
England,Cheshire West and Chester 013D,CH664SW,CH66
England,Cheshire West and Chester 009B,CH664UW,CH66
England,Cheshire West and Chester 007D,CH661TL,CH66
England,Cheshire West and Chester 016A,CH662PU,CH66
England,Cheshire West and Chester 013D,CH664TU,CH66
England,Cheshire West and Chester 016A,CH662PD,CH66
England,Cheshire West and Chester 008D,CH663QG,CH66
England,Cheshire West and Chester 009D,CH663RA,CH66
England,Cheshire West and Chester 016B,CH662RG,CH66
England,Cheshire West and Chester 008C,CH663QA,CH66
England,Cheshire West and Chester 013D,CH664SJ,CH66
England,Cheshire West and Chester 009F,CH662BY,CH66
England,Cheshire West and Chester 005D,CH661PJ,CH66
England,Cheshire West and Chester 008E,CH663RU,CH66
England,Cheshire West and Chester 004C,CH665NU,CH66
England,Cheshire West and Chester 005B,CH661HY,CH66
England,Cheshire West and Chester 009E,CH664LX,CH66
England,Cheshire West and Chester 004C,CH664AB,CH66
Wales,Flintshire 003A,CH66EE,CH66
England,Cheshire West and Chester 008E,CH663RT,CH66
England,Cheshire West and Chester 008E,CH663SU,CH66
England,Cheshire West and Chester 005A,CH661RU,CH66
