Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Babergh 008B,CO100DH,CO10
England,Babergh 006D,CO100AZ,CO10
England,Babergh 009A,CO105PF,CO10
England,Babergh 006D,CO100AN,CO10
England,St Edmundsbury 010B,CO108PX,CO10
England,Babergh 008E,CO100NA,CO10
England,St Edmundsbury 010A,CO108NR,CO10
England,Babergh 008B,CO100EJ,CO10
England,Babergh 001B,CO109PF,CO10
England,Babergh 001B,CO109GN,CO10
England,St Edmundsbury 010B,CO108HY,CO10
England,Babergh 007H,CO101HZ,CO10
England,Babergh 008A,CO100EA,CO10
England,Babergh 007G,CO102HA,CO10
England,Babergh 006D,CO100XJ,CO10
England,Babergh 003C,CO101ZJ,CO10
England,St Edmundsbury 011A,CO108HD,CO10
England,Babergh 003C,CO101LD,CO10
England,Babergh 006D,CO100BT,CO10
England,Braintree 002B,CO107AH,CO10
England,Babergh 007H,CO101NA,CO10
England,Babergh 007H,CO101GL,CO10
England,Babergh 009B,CO105NF,CO10
England,Babergh 009A,CO105ET,CO10
England,Braintree 002B,CO107JF,CO10
England,Babergh 007H,CO102EB,CO10
England,St Edmundsbury 011A,CO108EA,CO10
England,Babergh 006B,CO100WP,CO10
England,Babergh 007C,CO101QD,CO10
England,Babergh 007C,CO101QF,CO10
England,Babergh 007G,CO102AU,CO10
England,St Edmundsbury 011A,CO108UE,CO10
England,Babergh 006A,CO100QN,CO10
England,Babergh 007H,CO101HQ,CO10
England,Babergh 003B,CO109HG,CO10
England,Babergh 006B,CO100PZ,CO10
England,Babergh 008E,CO100JX,CO10
England,Babergh 003B,CO109JR,CO10
England,Babergh 003C,CO101YS,CO10
England,St Edmundsbury 010A,CO108LN,CO10
England,Babergh 007E,CO101YX,CO10
England,Babergh 001B,CO109QP,CO10
England,Babergh 007D,CO101LS,CO10
England,Braintree 002C,CO107LP,CO10
England,St Edmundsbury 010A,CO108RA,CO10
England,Braintree 002B,CO107AY,CO10
