Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Croydon 037F,CR81AS,CR81
England,Croydon 037D,CR81DZ,CR81
England,Croydon 042D,CR81EU,CR81
England,Croydon 037F,CR81AJ,CR81
England,Croydon 042D,CR81DN,CR81
England,Croydon 037F,CR81HL,CR81
England,Croydon 037F,CR81AL,CR81
England,Croydon 042D,CR81EH,CR81
England,Croydon 037E,CR81AE,CR81
England,Croydon 037F,CR81AR,CR81
England,Croydon 031D,CR81HA,CR81
England,Croydon 037F,CR81AD,CR81
England,Croydon 037F,CR81AG,CR81
England,Croydon 037F,CR81JG,CR81
England,Croydon 042D,CR81EN,CR81
England,Croydon 042D,CR81HN,CR81
England,Croydon 037F,CR81HH,CR81
England,Croydon 040D,CR81BR,CR81
England,Croydon 042D,CR81JN,CR81
England,Croydon 040D,CR81DE,CR81
England,Croydon 037D,CR81AX,CR81
England,Croydon 037F,CR81DD,CR81
England,Croydon 037F,CR81AN,CR81
England,Croydon 031D,CR81WD,CR81
England,Croydon 037F,CR81BB,CR81
England,Croydon 042D,CR81EJ,CR81
England,Croydon 042D,CR81EY,CR81
England,Croydon 037F,CR81JL,CR81
England,Croydon 042D,CR81XL,CR81
England,Croydon 037D,CR81JF,CR81
England,Croydon 042D,CR81EE,CR81
England,Croydon 040D,CR81BH,CR81
England,Croydon 042D,CR81EZ,CR81
England,Croydon 040D,CR81BJ,CR81
England,Croydon 037E,CR81AU,CR81
England,Croydon 040D,CR81AY,CR81
England,Croydon 037D,CR81HJ,CR81
England,Croydon 040D,CR81BT,CR81
England,Croydon 037F,CR81BP,CR81
England,Croydon 042D,CR81EG,CR81
England,Croydon 042D,CR81JP,CR81
England,Croydon 037D,CR81DA,CR81
England,Croydon 031D,CR81DG,CR81
England,Croydon 037D,CR81DY,CR81
England,Croydon 037D,CR81HU,CR81
England,Croydon 042D,CR81ET,CR81
England,Croydon 042D,CR81EX,CR81
England,Croydon 042D,CR81EF,CR81
England,Croydon 037D,CR81DW,CR81
England,Croydon 042D,CR81HQ,CR81
England,Croydon 042D,CR81DL,CR81
England,Croydon 040D,CR81AZ,CR81
England,Croydon 037D,CR81DB,CR81
England,Croydon 037F,CR81AB,CR81
England,Croydon 037F,CR81JH,CR81
England,Croydon 040D,CR81BX,CR81
England,Croydon 037D,CR81HG,CR81
England,Croydon 037F,CR81AF,CR81
England,Croydon 037F,CR81JJ,CR81
England,Croydon 042D,CR81HZ,CR81
England,Croydon 037D,CR81JA,CR81
England,Croydon 042D,CR81ED,CR81
England,Croydon 037D,CR81JD,CR81
England,Croydon 042D,CR81EW,CR81
England,Croydon 040D,CR81BD,CR81
England,Croydon 040D,CR81DF,CR81
England,Croydon 042D,CR81HR,CR81
England,Croydon 040D,CR81BW,CR81
England,Croydon 037E,CR81BA,CR81
England,Croydon 042D,CR81EA,CR81
England,Croydon 040D,CR81BU,CR81
England,Croydon 037D,CR81HW,CR81
England,Croydon 037F,CR81AP,CR81
England,Croydon 042D,CR81EB,CR81
England,Croydon 042D,CR81HP,CR81
England,Croydon 042D,CR81EL,CR81
England,Croydon 037D,CR81JE,CR81
England,Croydon 037F,CR81AW,CR81
England,Croydon 037E,CR81BE,CR81
England,Croydon 040D,CR81BG,CR81
England,Croydon 042D,CR81HX,CR81
England,Croydon 037F,CR81BN,CR81
England,Croydon 031D,CR81ZS,CR81
England,Croydon 042D,CR81DT,CR81
England,Croydon 031D,CR81WB,CR81
England,Croydon 037D,CR81HD,CR81
England,Croydon 042D,CR81JR,CR81
England,Croydon 037F,CR81AH,CR81
England,Croydon 037D,CR81DU,CR81
England,Croydon 037F,CR81DH,CR81
England,Croydon 040D,CR81BS,CR81
England,Croydon 037E,CR81AA,CR81
England,Croydon 037F,CR81AT,CR81
England,Croydon 040D,CR81BQ,CR81
England,Croydon 037F,CR81AQ,CR81
England,Croydon 042D,CR81EP,CR81
England,Croydon 037D,CR81HF,CR81
England,Croydon 042D,CR81HY,CR81
England,Croydon 037D,CR81DS,CR81
England,Croydon 037F,CR81BL,CR81
England,Croydon 037D,CR81HB,CR81
England,Croydon 042D,CR81ER,CR81
England,Croydon 037D,CR81DJ,CR81
England,Croydon 037D,CR81JB,CR81
England,Croydon 042D,CR81ES,CR81
England,Croydon 037D,CR81HE,CR81
England,Croydon 042D,CR81EQ,CR81
England,Croydon 042D,CR81JQ,CR81
England,Croydon 042D,CR81BZ,CR81
England,Croydon 037F,CR81DP,CR81
England,Croydon 037F,CR81BF,CR81
