Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Canterbury 005C,CT53HS,CT53
England,Canterbury 005C,CT53HL,CT53
England,Canterbury 005B,CT53LN,CT53
England,Canterbury 005C,CT53QW,CT53
England,Canterbury 007A,CT53DY,CT53
England,Canterbury 005A,CT53JP,CT53
England,Canterbury 009C,CT53FD,CT53
England,Canterbury 005C,CT53HW,CT53
England,Canterbury 005A,CT53QE,CT53
England,Canterbury 009E,CT53BX,CT53
England,Canterbury 009C,CT53RJ,CT53
England,Canterbury 009E,CT53AP,CT53
England,Canterbury 005A,CT53PB,CT53
England,Canterbury 009A,CT53EF,CT53
England,Canterbury 009A,CT53EH,CT53
England,Canterbury 005A,CT53QR,CT53
England,Canterbury 007A,CT53EA,CT53
England,Canterbury 005A,CT53NF,CT53
England,Canterbury 005A,CT53LY,CT53
England,Canterbury 005A,CT53PW,CT53
England,Canterbury 009E,CT53AH,CT53
England,Canterbury 009A,CT53FP,CT53
England,Canterbury 009E,CT53AQ,CT53
England,Canterbury 005B,CT53LW,CT53
England,Canterbury 005A,CT53EN,CT53
England,Canterbury 009E,CT53AE,CT53
England,Canterbury 005B,CT53LG,CT53
England,Canterbury 009A,CT53PS,CT53
England,Canterbury 005A,CT53NB,CT53
England,Canterbury 005A,CT53ND,CT53
England,Canterbury 005C,CT53HT,CT53
England,Canterbury 005A,CT53NN,CT53
England,Canterbury 005A,CT53LX,CT53
England,Canterbury 009A,CT53EE,CT53
England,Canterbury 005C,CT53QS,CT53
England,Canterbury 005A,CT53PJ,CT53
England,Canterbury 009E,CT53RH,CT53
England,Canterbury 005C,CT53JQ,CT53
England,Canterbury 005A,CT53NX,CT53
England,Canterbury 005A,CT53PY,CT53
England,Canterbury 009A,CT53DF,CT53
England,Canterbury 005C,CT53RA,CT53
England,Canterbury 005C,CT53JF,CT53
England,Canterbury 005A,CT53PP,CT53
England,Canterbury 009A,CT53FH,CT53
England,Canterbury 005A,CT53LP,CT53
England,Canterbury 007A,CT53PU,CT53
England,Canterbury 005A,CT53NJ,CT53
England,Canterbury 005A,CT53LT,CT53
England,Canterbury 005B,CT53JZ,CT53
England,Canterbury 009A,CT53RN,CT53
England,Canterbury 005C,CT53HN,CT53
England,Canterbury 005B,CT53LE,CT53
England,Canterbury 009E,CT53BA,CT53
England,Canterbury 005C,CT53HF,CT53
England,Canterbury 009E,CT53AU,CT53
England,Canterbury 009E,CT53BD,CT53
England,Canterbury 005A,CT53JW,CT53
England,Canterbury 005A,CT53NE,CT53
England,Canterbury 005A,CT53PD,CT53
England,Canterbury 005C,CT53SS,CT53
England,Canterbury 005A,CT53QQ,CT53
England,Canterbury 009A,CT53AY,CT53
England,Canterbury 005B,CT53JR,CT53
England,Canterbury 007A,CT53DS,CT53
England,Canterbury 009C,CT53TR,CT53
England,Canterbury 005C,CT53FB,CT53
England,Canterbury 009E,CT53BT,CT53
England,Canterbury 005B,CT53LD,CT53
England,Canterbury 005B,CT53QU,CT53
England,Canterbury 009A,CT53AT,CT53
England,Canterbury 005B,CT53PG,CT53
England,Canterbury 007A,CT53EL,CT53
England,Canterbury 005C,CT53RB,CT53
England,Canterbury 005A,CT53QD,CT53
England,Canterbury 005C,CT53HA,CT53
England,Canterbury 009E,CT53AX,CT53
England,Canterbury 005C,CT53HB,CT53
England,Canterbury 005C,CT53QZ,CT53
England,Canterbury 005C,CT53ET,CT53
England,Canterbury 005C,CT53EX,CT53
England,Canterbury 005B,CT53JL,CT53
England,Canterbury 005A,CT53JT,CT53
England,Canterbury 005A,CT53NZ,CT53
England,Canterbury 005C,CT53QN,CT53
England,Canterbury 009A,CT53QH,CT53
England,Canterbury 005C,CT53ED,CT53
England,Canterbury 009A,CT53DU,CT53
England,Canterbury 009E,CT53BE,CT53
England,Canterbury 005A,CT53JJ,CT53
England,Canterbury 007A,CT53QA,CT53
England,Canterbury 009A,CT53DG,CT53
England,Canterbury 005A,CT53JN,CT53
England,Canterbury 005A,CT53ER,CT53
England,Canterbury 005A,CT53QG,CT53
England,Canterbury 005C,CT53SB,CT53
England,Canterbury 005C,CT53QT,CT53
England,Canterbury 005B,CT53LJ,CT53
England,Canterbury 005A,CT53EP,CT53
England,Canterbury 005B,CT53JY,CT53
England,Canterbury 009E,CT53RE,CT53
England,Canterbury 005A,CT53NU,CT53
England,Canterbury 005C,CT53PL,CT53
England,Canterbury 005C,CT53PH,CT53
England,Canterbury 005C,CT53HG,CT53
England,Canterbury 008B,CT53GH,CT53
England,Canterbury 009A,CT53AS,CT53
England,Canterbury 005C,CT53JE,CT53
England,Canterbury 009E,CT53AN,CT53
England,Canterbury 009C,CT53DB,CT53
England,Canterbury 005A,CT53NT,CT53
England,Canterbury 005C,CT53HX,CT53
England,Canterbury 005A,CT53NA,CT53
England,Canterbury 005A,CT53NW,CT53
England,Canterbury 012F,CT53BP,CT53
England,Canterbury 005C,CT53QY,CT53
England,Canterbury 005C,CT53EU,CT53
England,Canterbury 005C,CT53EY,CT53
England,Canterbury 009A,CT53FG,CT53
England,Canterbury 005C,CT53HJ,CT53
England,Canterbury 005B,CT53LF,CT53
England,Canterbury 009A,CT53DQ,CT53
England,Canterbury 005A,CT53PX,CT53
England,Canterbury 005B,CT53PF,CT53
England,Canterbury 005A,CT53JU,CT53
England,Canterbury 007A,CT53HY,CT53
England,Canterbury 005B,CT53LL,CT53
England,Canterbury 007A,CT53EJ,CT53
England,Canterbury 005C,CT53HU,CT53
England,Canterbury 005C,CT53HE,CT53
England,Canterbury 005C,CT53EZ,CT53
England,Canterbury 009A,CT53RP,CT53
England,Canterbury 009C,CT53BY,CT53
England,Canterbury 009E,CT53AB,CT53
England,Canterbury 005A,CT53NG,CT53
England,Canterbury 005B,CT53PZ,CT53
England,Canterbury 012F,CT53BW,CT53
England,Canterbury 005A,CT53NH,CT53
England,Canterbury 005A,CT53ES,CT53
England,Canterbury 009A,CT53FN,CT53
England,Canterbury 008B,CT53WF,CT53
England,Canterbury 005C,CT53HR,CT53
England,Canterbury 005A,CT53JH,CT53
England,Canterbury 009A,CT53BH,CT53
England,Canterbury 005A,CT53LA,CT53
