Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Coventry 039C,CV39ER,CV39
England,Coventry 039C,CV39ZD,CV39
England,Coventry 039C,CV39LN,CV39
England,Coventry 039C,CV39FP,CV39
England,Coventry 039C,CV39GN,CV39
England,Coventry 039C,CV39JD,CV39
England,Coventry 039C,CV39LZ,CV39
England,Coventry 039C,CV39YX,CV39
England,Coventry 039C,CV39GR,CV39
England,Coventry 039C,CV39WW,CV39
England,Coventry 039C,CV39HU,CV39
England,Coventry 039C,CV39EA,CV39
England,Coventry 039C,CV39NA,CV39
England,Coventry 039C,CV39EP,CV39
England,Coventry 039C,CV39XY,CV39
England,Coventry 039C,CV39FH,CV39
England,Coventry 039C,CV39WN,CV39
England,Coventry 039C,CV39HN,CV39
England,Coventry 039C,CV39GS,CV39
England,Coventry 039C,CV39FJ,CV39
England,Coventry 039C,CV39HP,CV39
England,Coventry 039C,CV39JZ,CV39
England,Coventry 039C,CV39EY,CV39
England,Coventry 039C,CV39HR,CV39
England,Coventry 039C,CV39NE,CV39
England,Coventry 039C,CV39NB,CV39
England,Coventry 039C,CV39FT,CV39
England,Coventry 039C,CV39HW,CV39
England,Coventry 039C,CV39JS,CV39
England,Coventry 039C,CV39HE,CV39
England,Coventry 039C,CV39BQ,CV39
England,Coventry 039C,CV39HS,CV39
England,Coventry 039C,CV39WX,CV39
England,Coventry 039C,CV39LG,CV39
England,Coventry 039C,CV39LT,CV39
England,Coventry 039C,CV39FR,CV39
England,Coventry 039C,CV39AD,CV39
England,Coventry 039C,CV39WU,CV39
England,Coventry 039C,CV39GG,CV39
England,Coventry 039C,CV39HZ,CV39
England,Coventry 039C,CV39LS,CV39
England,Coventry 039C,CV39EU,CV39
England,Coventry 039C,CV39FL,CV39
England,Coventry 039C,CV39LP,CV39
England,Coventry 039C,CV39EZ,CV39
England,Coventry 039C,CV39LL,CV39
England,Coventry 039C,CV39JG,CV39
England,Coventry 039C,CV39HF,CV39
England,Coventry 039C,CV39HL,CV39
England,Coventry 039C,CV39GW,CV39
England,Coventry 039C,CV39JW,CV39
England,Coventry 039C,CV39EQ,CV39
England,Coventry 039C,CV39LY,CV39
England,Coventry 039C,CV39ET,CV39
England,Coventry 039C,CV39FB,CV39
England,Coventry 039C,CV39LB,CV39
England,Coventry 039C,CV39BZ,CV39
England,Coventry 039C,CV39YP,CV39
England,Coventry 039C,CV39NF,CV39
England,Coventry 039C,CV39WY,CV39
England,Coventry 039C,CV39LU,CV39
England,Coventry 039C,CV39HX,CV39
England,Coventry 039C,CV39YR,CV39
England,Coventry 039C,CV39JQ,CV39
England,Coventry 039C,CV39DU,CV39
England,Coventry 039C,CV39JY,CV39
England,Coventry 039C,CV39LJ,CV39
England,Coventry 039C,CV39ES,CV39
England,Coventry 039C,CV39FW,CV39
England,Coventry 039C,CV39LR,CV39
England,Coventry 039C,CV39HQ,CV39
England,Coventry 039C,CV39FD,CV39
England,Coventry 039C,CV39FU,CV39
England,Coventry 039C,CV39NG,CV39
England,Coventry 039C,CV39FA,CV39
England,Coventry 039C,CV39LW,CV39
England,Coventry 039C,CV39GU,CV39
England,Coventry 039C,CV39FQ,CV39
England,Coventry 039C,CV39JU,CV39
England,Coventry 039C,CV39ZE,CV39
England,Coventry 039C,CV39ED,CV39
