Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Cheshire West and Chester 024E,CW82DD,CW82
England,Cheshire West and Chester 024A,CW82SW,CW82
England,Cheshire West and Chester 024D,CW82ZF,CW82
England,Cheshire West and Chester 024B,CW82EJ,CW82
England,Cheshire West and Chester 024A,CW82UP,CW82
England,Cheshire West and Chester 024D,CW82PE,CW82
England,Cheshire West and Chester 024A,CW82FH,CW82
England,Cheshire West and Chester 019B,CW82SG,CW82
England,Cheshire West and Chester 003B,CW82RF,CW82
England,Cheshire West and Chester 024E,CW82BW,CW82
England,Cheshire West and Chester 024B,CW82UJ,CW82
England,Cheshire West and Chester 024B,CW82GZ,CW82
England,Cheshire West and Chester 024A,CW82QA,CW82
England,Cheshire West and Chester 024E,CW82AR,CW82
England,Cheshire West and Chester 024C,CW82NH,CW82
England,Cheshire West and Chester 024C,CW82JY,CW82
England,Cheshire West and Chester 024A,CW82EH,CW82
England,Cheshire West and Chester 003B,CW82TP,CW82
England,Cheshire West and Chester 024E,CW82ZJ,CW82
England,Cheshire West and Chester 003B,CW82DH,CW82
England,Cheshire West and Chester 024B,CW82EW,CW82
England,Cheshire West and Chester 024D,CW82NY,CW82
England,Cheshire West and Chester 024C,CW82JZ,CW82
England,Cheshire West and Chester 024E,CW82ZP,CW82
England,Cheshire West and Chester 024D,CW82NP,CW82
England,Cheshire West and Chester 024E,CW82BL,CW82
England,Cheshire West and Chester 024B,CW82XE,CW82
England,Cheshire West and Chester 024D,CW82QY,CW82
England,Cheshire West and Chester 045A,CW82JD,CW82
England,Cheshire West and Chester 019B,CW82SR,CW82
England,Cheshire West and Chester 045A,CW82HZ,CW82
England,Cheshire West and Chester 024B,CW82XH,CW82
England,Cheshire West and Chester 024E,CW82AE,CW82
England,Cheshire West and Chester 024A,CW82PZ,CW82
England,Cheshire West and Chester 024C,CW82ND,CW82
England,Cheshire West and Chester 024A,CW82UN,CW82
England,Cheshire West and Chester 024B,CW82JL,CW82
England,Cheshire West and Chester 024A,CW82LA,CW82
England,Cheshire West and Chester 024A,CW82LQ,CW82
England,Cheshire West and Chester 024E,CW82AJ,CW82
England,Cheshire West and Chester 018B,CW82GE,CW82
England,Cheshire West and Chester 003B,CW82RY,CW82
England,Cheshire West and Chester 003B,CW82RZ,CW82
England,Cheshire West and Chester 024B,CW82TZ,CW82
