Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Bexley 028C,DA145JF,DA14
England,Bexley 028C,DA145JS,DA14
England,Bexley 027D,DA146ND,DA14
England,Bexley 028D,DA145DE,DA14
England,Bexley 027F,DA146HH,DA14
England,Bexley 027A,DA144RH,DA14
England,Bexley 026C,DA146TB,DA14
England,Bexley 027D,DA146GU,DA14
England,Bexley 010D,DA14FB,DA14
England,Bexley 019B,DA14LU,DA14
England,Bexley 028B,DA145NF,DA14
England,Bexley 027F,DA144AD,DA14
England,Bexley 010D,DA14RD,DA14
England,Bexley 027D,DA146TP,DA14
England,Bexley 026D,DA146ET,DA14
England,Bexley 027D,DA146DQ,DA14
England,Bexley 019D,DA14JL,DA14
England,Bexley 019C,DA14LQ,DA14
England,Bexley 028C,DA145BH,DA14
England,Bexley 010D,DA14FE,DA14
England,Bexley 027E,DA144HB,DA14
England,Bexley 019D,DA14DY,DA14
England,Bexley 027D,DA146NJ,DA14
England,Bexley 019A,DA14PL,DA14
England,Bexley 019E,DA14BZ,DA14
England,Bexley 028C,DA145JH,DA14
England,Bromley 019E,DA145AF,DA14
England,Bexley 019E,DA14BX,DA14
England,Bexley 028D,DA146SG,DA14
England,Bexley 028C,DA145HX,DA14
England,Bexley 028C,DA145DA,DA14
England,Bexley 027A,DA144LG,DA14
England,Bexley 019A,DA14LT,DA14
England,Bexley 028B,DA145LQ,DA14
England,Bexley 027F,DA146HG,DA14
England,Bexley 028A,DA144RR,DA14
England,Bexley 010D,DA14SB,DA14
England,Bexley 019E,DA14HH,DA14
England,Bexley 027E,DA144HP,DA14
England,Bexley 027D,DA146BB,DA14
England,Bexley 028C,DA145LB,DA14
England,Dartford 010B,DA145FB,DA14
England,Bexley 026D,DA144BN,DA14
England,Bexley 027C,DA144PP,DA14
England,Bexley 027F,DA144AE,DA14
England,Bexley 024E,DA144JX,DA14
England,Bexley 010D,DA14QL,DA14
England,Bexley 026D,DA144AY,DA14
England,Bexley 027C,DA144PA,DA14
England,Bexley 019A,DA14QG,DA14
England,Bexley 027C,DA144NT,DA14
England,Bexley 027B,DA146LW,DA14
England,Bexley 017B,DA14DL,DA14
England,Bexley 014B,DA14RA,DA14
England,Bexley 028A,DA144QD,DA14
England,Bexley 027D,DA146NS,DA14
England,Bexley 019E,DA14BU,DA14
England,Bexley 027C,DA144NX,DA14
England,Bexley 028D,DA146JS,DA14
England,Bexley 019C,DA14PG,DA14
England,Bexley 028A,DA144SA,DA14
England,Bexley 026D,DA146EH,DA14
England,Bexley 019A,DA14GA,DA14
England,Bexley 019B,DA14FX,DA14
England,Bromley 019E,DA145AJ,DA14
England,Bexley 027F,DA144HA,DA14
England,Bexley 019E,DA14DG,DA14
England,Bexley 019A,DA14PT,DA14
England,Bexley 027D,DA146AW,DA14
England,Bexley 028A,DA145EU,DA14
England,Bexley 027F,DA146ES,DA14
England,Bexley 027D,DA146DB,DA14
England,Bexley 019D,DA14TG,DA14
England,Bexley 019C,DA14PE,DA14
England,Bexley 028B,DA145NE,DA14
England,Bexley 019B,DA14FA,DA14
England,Bexley 027D,DA146AL,DA14
England,Bexley 027F,DA146ER,DA14
England,Bexley 026C,DA146PZ,DA14
England,Bexley 027F,DA144ES,DA14
England,Bexley 027A,DA144JW,DA14
England,Bexley 027D,DA146TU,DA14
