Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,North West Leicestershire 001A,DE738HG,DE73
England,North West Leicestershire 001A,DE738FW,DE73
England,South Derbyshire 005B,DE737GL,DE73
England,Derby 031C,DE736NB,DE73
England,South Derbyshire 006C,DE738GH,DE73
England,North West Leicestershire 001A,DE738AJ,DE73
England,Derby 030G,DE735SY,DE73
England,South Derbyshire 006B,DE737HX,DE73
England,South Derbyshire 006D,DE738BJ,DE73
England,South Derbyshire 006C,DE738DS,DE73
England,South Derbyshire 006D,DE738GT,DE73
England,Derby 031D,DE736SD,DE73
England,South Derbyshire 006B,DE738JP,DE73
England,Derby 031A,DE736XF,DE73
England,South Derbyshire 004C,DE737GU,DE73
England,Derby 031A,DE736WL,DE73
England,Derby 030G,DE735QL,DE73
England,Derby 030G,DE735AX,DE73
England,Derby 031C,DE736NN,DE73
England,Derby 031B,DE735NX,DE73
England,South Derbyshire 006A,DE737LN,DE73
England,South Derbyshire 004C,DE737HB,DE73
England,South Derbyshire 006D,DE738EZ,DE73
England,South Derbyshire 004C,DE737NA,DE73
England,South Derbyshire 006D,DE738HU,DE73
England,Derby 031C,DE736NQ,DE73
England,South Derbyshire 006D,DE738GB,DE73
England,North West Leicestershire 001A,DE738BE,DE73
England,North West Leicestershire 001A,DE738AP,DE73
England,South Derbyshire 006B,DE738FJ,DE73
England,Derby 030F,DE735AN,DE73
England,South Derbyshire 006B,DE738HE,DE73
England,South Derbyshire 006A,DE737GY,DE73
England,Derby 031C,DE736PQ,DE73
England,South Derbyshire 006C,DE738HR,DE73
England,Derby 031D,DE736XQ,DE73
England,South Derbyshire 006C,DE738DW,DE73
England,Derby 031D,DE736RQ,DE73
England,South Derbyshire 006D,DE738BR,DE73
England,Derby 031A,DE736UT,DE73
England,South Derbyshire 006C,DE738GD,DE73
England,South Derbyshire 006C,DE738JF,DE73
England,Derby 031B,DE736UF,DE73
England,South Derbyshire 006B,DE738EG,DE73
England,North West Leicestershire 001A,DE738AF,DE73
England,Derby 030E,DE735SL,DE73
England,South Derbyshire 006B,DE738BX,DE73
England,North West Leicestershire 001A,DE738BG,DE73
England,Derby 031C,DE736PG,DE73
England,Derby 030F,DE735YJ,DE73
England,North West Leicestershire 001A,DE738AD,DE73
England,Derby 030G,DE735PY,DE73
England,South Derbyshire 006C,DE738ET,DE73
England,Derby 030F,DE735WE,DE73
England,North West Leicestershire 001A,DE738AZ,DE73
England,Derby 031B,DE735NW,DE73
England,Derby 031D,DE736RR,DE73
England,Derby 031A,DE736TF,DE73
England,Derby 030F,DE735WZ,DE73
England,Derby 031A,DE736UU,DE73
England,South Derbyshire 006D,DE738ES,DE73
England,Derby 030F,DE735LB,DE73
England,Derby 031B,DE735NR,DE73
England,Derby 030E,DE735AS,DE73
England,Derby 031A,DE736TR,DE73
England,South Derbyshire 004C,DE737HE,DE73
England,Derby 030G,DE735QE,DE73
England,South Derbyshire 006A,DE737JX,DE73
England,South Derbyshire 006D,DE738FS,DE73
England,South Derbyshire 006C,DE738HX,DE73
England,South Derbyshire 006A,DE737LA,DE73
England,South Derbyshire 006D,DE738FZ,DE73
England,South Derbyshire 006B,DE738LZ,DE73
England,Derby 031B,DE736PY,DE73
England,Derby 031A,DE736TA,DE73
England,Derby 030C,DE736RS,DE73
England,South Derbyshire 006A,DE737NZ,DE73
England,South Derbyshire 006C,DE738FX,DE73
England,Derby 031D,DE736RL,DE73
England,South Derbyshire 006B,DE738HP,DE73
England,Derby 030E,DE735SN,DE73
England,South Derbyshire 006C,DE738GL,DE73
England,Derby 031B,DE736UJ,DE73
England,South Derbyshire 006C,DE738BF,DE73
England,South Derbyshire 006C,DE738EW,DE73
England,South Derbyshire 006C,DE738GG,DE73
England,South Derbyshire 006B,DE738FP,DE73
England,North West Leicestershire 001A,DE738BP,DE73
England,Derby 031B,DE736UD,DE73
England,Derby 031D,DE736ST,DE73
England,South Derbyshire 004C,DE737HD,DE73
England,Derby 031B,DE736UA,DE73
England,South Derbyshire 006A,DE737LF,DE73
England,South Derbyshire 006B,DE738FN,DE73
England,Derby 030E,DE735AT,DE73
England,Derby 031B,DE735UB,DE73
England,Derby 031C,DE736QU,DE73
England,North West Leicestershire 001A,DE738HQ,DE73
England,Derby 031B,DE736UR,DE73
England,South Derbyshire 006D,DE738GY,DE73
England,Derby 030E,DE735BA,DE73
England,South Derbyshire 006A,DE737LG,DE73
England,Derby 031A,DE736XH,DE73
England,Derby 030F,DE735NY,DE73
England,South Derbyshire 004C,DE737GP,DE73
England,Derby 030E,DE735SJ,DE73
England,North West Leicestershire 001A,DE738BN,DE73
England,South Derbyshire 006D,DE738LT,DE73
England,South Derbyshire 006C,DE738DY,DE73
England,South Derbyshire 006D,DE738FQ,DE73
England,Derby 030F,DE735AJ,DE73
England,North West Leicestershire 001A,DE738LU,DE73
England,Derby 030G,DE735TA,DE73
England,Derby 031B,DE736UQ,DE73
England,South Derbyshire 005B,DE737HU,DE73
England,South Derbyshire 005B,DE737GJ,DE73
England,Derby 030E,DE735XA,DE73
England,Derby 031C,DE736QY,DE73
England,Derby 031C,DE736PL,DE73
England,South Derbyshire 006A,DE737JP,DE73
England,Derby 031D,DE736RP,DE73
England,South Derbyshire 006C,DE738JJ,DE73
England,Derby 030G,DE735AP,DE73
England,South Derbyshire 006B,DE738DA,DE73
England,South Derbyshire 005B,DE737HY,DE73
England,Derby 030F,DE735WU,DE73
