Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,County Durham 028E,DH12LL,DH12
England,County Durham 029A,DH12HD,DH12
England,County Durham 029C,DH12JH,DH12
England,County Durham 029D,DH12FY,DH12
England,County Durham 041B,DH12TJ,DH12
England,County Durham 041D,DH12QE,DH12
England,County Durham 028A,DH12LR,DH12
England,County Durham 029A,DH12WP,DH12
England,County Durham 041D,DH12PT,DH12
England,County Durham 029A,DH12JD,DH12
England,County Durham 028A,DH12AX,DH12
England,County Durham 029C,DH12XA,DH12
England,County Durham 028B,DH12UQ,DH12
England,County Durham 041D,DH12YH,DH12
England,County Durham 029A,DH12XL,DH12
England,County Durham 029A,DH12DU,DH12
England,County Durham 028B,DH12BA,DH12
England,County Durham 029D,DH12ES,DH12
England,County Durham 041D,DH12TY,DH12
England,County Durham 029D,DH12RZ,DH12
England,County Durham 029C,DH12JY,DH12
England,County Durham 028B,DH12AD,DH12
England,County Durham 029A,DH12XH,DH12
England,County Durham 041D,DH12NR,DH12
England,County Durham 041D,DH12PY,DH12
England,County Durham 029D,DH12LJ,DH12
England,County Durham 041D,DH12SF,DH12
England,County Durham 029A,DH12RN,DH12
England,County Durham 028A,DH12DD,DH12
England,County Durham 029A,DH12HY,DH12
England,County Durham 029D,DH12JN,DH12
England,County Durham 028B,DH12QN,DH12
England,County Durham 029D,DH12EA,DH12
England,County Durham 029A,DH12RS,DH12
England,County Durham 041D,DH12NJ,DH12
England,County Durham 028A,DH12SA,DH12
England,County Durham 041D,DH12NN,DH12
England,County Durham 028A,DH12AH,DH12
England,County Durham 041D,DH12PU,DH12
England,County Durham 029C,DH12JQ,DH12
England,County Durham 028A,DH12DP,DH12
England,County Durham 041D,DH12TZ,DH12
England,County Durham 041D,DH12PB,DH12
England,County Durham 041D,DH12QB,DH12
England,County Durham 028B,DH12UH,DH12
England,County Durham 028A,DH12DQ,DH12
England,County Durham 029B,DH12QG,DH12
England,County Durham 029B,DH12QQ,DH12
England,County Durham 028D,DH12QR,DH12
England,County Durham 029A,DH12XQ,DH12
England,County Durham 028B,DH12BU,DH12
England,County Durham 029A,DH12XJ,DH12
England,County Durham 028A,DH12LT,DH12
England,County Durham 028A,DH12DW,DH12
England,County Durham 028B,DH12QP,DH12
England,County Durham 029C,DH12LG,DH12
England,County Durham 041D,DH12NT,DH12
England,County Durham 028A,DH12BG,DH12
England,County Durham 041D,DH12SG,DH12
England,County Durham 028B,DH12AW,DH12
England,County Durham 041D,DH12PA,DH12
England,County Durham 028B,DH12TX,DH12
England,County Durham 041D,DH12SU,DH12
England,County Durham 041D,DH12NH,DH12
England,County Durham 041D,DH12NW,DH12
England,County Durham 029C,DH12LN,DH12
England,County Durham 029D,DH12TW,DH12
England,County Durham 029A,DH12XU,DH12
England,County Durham 028B,DH12AA,DH12
England,County Durham 028A,DH12AF,DH12
England,County Durham 028B,DH12DR,DH12
England,County Durham 028A,DH12DH,DH12
England,County Durham 029D,DH12TN,DH12
England,County Durham 029A,DH12RE,DH12
England,County Durham 029D,DH12EH,DH12
England,County Durham 041D,DH12FD,DH12
England,County Durham 027F,DH12SP,DH12
England,County Durham 028A,DH12DG,DH12
England,County Durham 041D,DH12NA,DH12
England,County Durham 041D,DH12SW,DH12
England,County Durham 041D,DH12NB,DH12
England,County Durham 029D,DH12EN,DH12
England,County Durham 028A,DH12BH,DH12
England,County Durham 041D,DH12NX,DH12
England,County Durham 041D,DH12UB,DH12
England,County Durham 041D,DH12NL,DH12
England,County Durham 029A,DH12QX,DH12
England,County Durham 029A,DH12LZ,DH12
England,County Durham 029C,DH12JX,DH12
England,County Durham 028A,DH12BP,DH12
England,County Durham 028A,DH12BJ,DH12
England,County Durham 041D,DH12SX,DH12
England,County Durham 029A,DH12HQ,DH12
England,County Durham 041D,DH12PN,DH12
England,County Durham 029A,DH12DX,DH12
England,County Durham 041D,DH12NQ,DH12
England,County Durham 029A,DH12HN,DH12
England,County Durham 028B,DH12UG,DH12
England,County Durham 041D,DH12QF,DH12
England,County Durham 027F,DH12SD,DH12
England,County Durham 028B,DH12UF,DH12
England,County Durham 029D,DH12EY,DH12
England,County Durham 029A,DH12HU,DH12
England,County Durham 028A,DH12AQ,DH12
England,County Durham 028A,DH12DE,DH12
England,County Durham 028A,DH12BQ,DH12
England,County Durham 041D,DH12PF,DH12
England,County Durham 029A,DH12HR,DH12
England,County Durham 029D,DH12EB,DH12
England,County Durham 041D,DH12NP,DH12
England,County Durham 028A,DH12AZ,DH12
England,County Durham 029D,DH12EZ,DH12
England,County Durham 028A,DH12DF,DH12
England,County Durham 029D,DH12JW,DH12
England,County Durham 029A,DH12HJ,DH12
England,County Durham 029A,DH12GZ,DH12
England,County Durham 029A,DH12HF,DH12
England,County Durham 028A,DH12AY,DH12
England,County Durham 029D,DH12DS,DH12
England,County Durham 041D,DH12PR,DH12
England,County Durham 029D,DH12EE,DH12
England,County Durham 041D,DH12PG,DH12
England,County Durham 029C,DH12LH,DH12
England,County Durham 041D,DH12UD,DH12
England,County Durham 029D,DH12TP,DH12
England,County Durham 029C,DH12JP,DH12
England,County Durham 029C,DH12LB,DH12
England,County Durham 029A,DH12LQ,DH12
England,County Durham 029A,DH12JG,DH12
England,County Durham 041D,DH12PQ,DH12
England,County Durham 028A,DH12LU,DH12
England,County Durham 028B,DH12QW,DH12
England,County Durham 027D,DH12SR,DH12
England,County Durham 041D,DH12ST,DH12
England,County Durham 028D,DH12QU,DH12
England,County Durham 028A,DH12LS,DH12
England,County Durham 029C,DH12LD,DH12
England,County Durham 041D,DH12TG,DH12
England,County Durham 028D,DH12QS,DH12
England,County Durham 029A,DH12HZ,DH12
England,County Durham 029D,DH12FT,DH12
England,County Durham 029A,DH12YB,DH12
England,County Durham 029C,DH12JT,DH12
England,County Durham 027F,DH12SN,DH12
England,County Durham 028A,DH12DL,DH12
England,County Durham 029D,DH12EX,DH12
England,County Durham 029C,DH12DY,DH12
England,County Durham 028B,DH12TU,DH12
England,County Durham 041D,DH12PL,DH12
England,County Durham 028A,DH12DN,DH12
England,County Durham 029A,DH12EP,DH12
England,County Durham 028A,DH12DA,DH12
England,County Durham 028A,DH12DJ,DH12
England,County Durham 028B,DH12AP,DH12
England,County Durham 029D,DH12HA,DH12
England,County Durham 029C,DH12JS,DH12
England,County Durham 028A,DH12BE,DH12
England,County Durham 041D,DH12NG,DH12
England,County Durham 028A,DH12BL,DH12
England,County Durham 029A,DH12XW,DH12
England,County Durham 041D,DH12SL,DH12
England,County Durham 029D,DH12RY,DH12
England,County Durham 029C,DH12QJ,DH12
England,County Durham 041D,DH12PZ,DH12
England,County Durham 041D,DH12LY,DH12
