Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Hambleton 003A,DL62PY,DL62
England,Hambleton 003A,DL62RE,DL62
England,Hambleton 003C,DL62DW,DL62
England,Hambleton 003B,DL62SJ,DL62
England,Hambleton 003D,DL62AL,DL62
England,Hambleton 003B,DL62SN,DL62
England,Hambleton 003D,DL62AF,DL62
England,Hambleton 004F,DL62TS,DL62
England,Hambleton 004F,DL62NR,DL62
England,Hambleton 003C,DL62TA,DL62
England,Hambleton 003A,DL62RN,DL62
England,Hambleton 003C,DL62DB,DL62
England,Hambleton 003C,DL62TG,DL62
England,Hambleton 003B,DL62HA,DL62
England,Hambleton 003C,DL62BL,DL62
England,Hambleton 003C,DL62AW,DL62
England,Hambleton 003D,DL62AE,DL62
England,Hambleton 003B,DL62HR,DL62
England,Hambleton 004F,DL62PH,DL62
England,Hambleton 005B,DL62PR,DL62
England,Hambleton 003D,DL62LQ,DL62
England,Hambleton 003C,DL62DF,DL62
England,Hambleton 003A,DL62RW,DL62
England,Hambleton 003C,DL62SA,DL62
England,Hambleton 003B,DL62HH,DL62
England,Hambleton 003B,DL62HF,DL62
England,Hambleton 003A,DL62RH,DL62
England,Hambleton 003B,DL62EP,DL62
England,Hambleton 003D,DL62LH,DL62
England,Hambleton 003A,DL62UG,DL62
England,Hambleton 003C,DL62EA,DL62
England,Hambleton 003D,DL62AR,DL62
England,Hambleton 003D,DL62LA,DL62
England,Hambleton 003A,DL62QX,DL62
England,Hambleton 004F,DL62NA,DL62
England,Hambleton 003A,DL62PE,DL62
England,Hambleton 003D,DL62BE,DL62
England,Hambleton 004F,DL62BF,DL62
England,Hambleton 003A,DL62RP,DL62
England,Hambleton 005B,DL62PT,DL62
England,Hambleton 003D,DL62LX,DL62
England,Hambleton 004F,DL62NP,DL62
England,Hambleton 003B,DL62JP,DL62
England,Hambleton 003D,DL62LG,DL62
England,Hambleton 003A,DL62PG,DL62
England,Hambleton 004F,DL62NL,DL62
England,Hambleton 003D,DL62LW,DL62
England,Hambleton 004F,DL62NB,DL62
England,Hambleton 003D,DL62LL,DL62
England,Hambleton 003C,DL62TE,DL62
England,Hambleton 004F,DL62PJ,DL62
England,Hambleton 003C,DL62EB,DL62
England,Hambleton 004F,DL62ND,DL62
England,Hambleton 003B,DL62EX,DL62
England,Hambleton 003C,DL62DJ,DL62
England,Hambleton 003A,DL62TU,DL62
England,Hambleton 003B,DL62HU,DL62
England,Hambleton 004F,DL62YE,DL62
England,Hambleton 003A,DL62QG,DL62
England,Hambleton 003A,DL62QR,DL62
England,Hambleton 003D,DL62AN,DL62
England,Hambleton 003A,DL62QS,DL62
England,Hambleton 003D,DL62LE,DL62
England,Hambleton 003C,DL62BW,DL62
England,Hambleton 004A,DL62YG,DL62
England,Hambleton 004F,DL62NJ,DL62
England,Hambleton 003A,DL62RF,DL62
England,Hambleton 003D,DL62LP,DL62
England,Hambleton 004F,DL62NX,DL62
England,Hambleton 003B,DL62ET,DL62
England,Hambleton 003D,DL62AG,DL62
England,Hambleton 003C,DL62TB,DL62
England,Hambleton 004F,DL62XA,DL62
England,Hambleton 003B,DL62JB,DL62
England,Hambleton 003B,DL62HS,DL62
England,Hambleton 003B,DL62EL,DL62
England,Hambleton 003D,DL62AT,DL62
England,Hambleton 003A,DL62RQ,DL62
England,Hambleton 003B,DL62JH,DL62
England,Hambleton 004F,DL62UW,DL62
England,Hambleton 003A,DL62QE,DL62
England,Hambleton 003A,DL62RB,DL62
England,Hambleton 003A,DL62TJ,DL62
England,Hambleton 005B,DL62PP,DL62
England,Hambleton 003D,DL62LT,DL62
England,Hambleton 003C,DL62DN,DL62
England,Hambleton 003D,DL62AP,DL62
England,Hambleton 004F,DL62NT,DL62
England,Hambleton 003D,DL62LY,DL62
England,Hambleton 003D,DL62AD,DL62
England,Hambleton 004F,DL62TT,DL62
England,Hambleton 003C,DL62ED,DL62
England,Hambleton 003A,DL62QU,DL62
England,Hambleton 003C,DL62EE,DL62
England,Hambleton 003B,DL62NE,DL62
England,Hambleton 003B,DL62EJ,DL62
England,Hambleton 003A,DL62RJ,DL62
England,Hambleton 003D,DL62LR,DL62
England,Hambleton 003C,DL62DZ,DL62
England,Hambleton 004F,DL62PZ,DL62
England,Hambleton 003A,DL62UA,DL62
England,Hambleton 003B,DL62JD,DL62
England,Hambleton 003B,DL62SW,DL62
England,Hambleton 003A,DL62UD,DL62
England,Hambleton 003C,DL62DU,DL62
England,Hambleton 003A,DL62RU,DL62
England,Hambleton 003C,DL62DQ,DL62
England,Hambleton 004A,DL62WX,DL62
England,Hambleton 003A,DL62QA,DL62
England,Hambleton 003C,DL62DX,DL62
England,Hambleton 003B,DL62HJ,DL62
England,Hambleton 003A,DL62UE,DL62
England,Hambleton 003C,DL62BN,DL62
England,Hambleton 003B,DL62HE,DL62
England,Hambleton 003A,DL62TZ,DL62
England,Hambleton 004F,DL62TR,DL62
England,Hambleton 003B,DL62EY,DL62
England,Hambleton 003C,DL62SS,DL62
England,Hambleton 003D,DL62AY,DL62
England,Hambleton 003A,DL62PD,DL62
England,Hambleton 004F,DL62NG,DL62
England,Hambleton 003A,DL62UT,DL62
England,Hambleton 003A,DL62PF,DL62
England,Hambleton 004F,DL62XL,DL62
England,Hambleton 003B,DL62EN,DL62
England,Hambleton 003D,DL62LD,DL62
England,Hambleton 005B,DL62PB,DL62
England,Hambleton 003C,DL62SE,DL62
England,Hambleton 003B,DL62JL,DL62
England,Hambleton 003C,DL62DH,DL62
England,Hambleton 004F,DL62NU,DL62
England,Hambleton 003C,DL62TD,DL62
England,Hambleton 003C,DL62DE,DL62
England,Hambleton 003A,DL62QZ,DL62
England,Hambleton 003D,DL62LU,DL62
England,Hambleton 003C,DL62RZ,DL62
England,Hambleton 004F,DL62BG,DL62
England,Hambleton 003A,DL62QQ,DL62
England,Hambleton 003B,DL62JR,DL62
England,Hambleton 003B,DL62JA,DL62
England,Hambleton 003A,DL62UB,DL62
England,Hambleton 003B,DL62HX,DL62
England,Hambleton 003A,DL62TY,DL62
England,Hambleton 003A,DL62QP,DL62
England,Hambleton 003A,DL62QJ,DL62
England,Hambleton 003A,DL62RG,DL62
England,Hambleton 003A,DL62RR,DL62
England,Hambleton 003B,DL62HL,DL62
England,Hambleton 003B,DL62JN,DL62
England,Hambleton 003B,DL62JQ,DL62
England,Hambleton 003B,DL62ER,DL62
England,Hambleton 003A,DL62PU,DL62
England,Hambleton 003B,DL62HB,DL62
England,Hambleton 004A,DL62YP,DL62
England,Hambleton 003A,DL62QB,DL62
England,Hambleton 003A,DL62QT,DL62
England,Hambleton 003A,DL62RA,DL62
England,Hambleton 003D,DL62AB,DL62
England,Hambleton 003C,DL62SG,DL62
England,Hambleton 003A,DL62NS,DL62
England,Hambleton 003C,DL62TF,DL62
England,Hambleton 003A,DL62RS,DL62
England,Hambleton 003B,DL62SR,DL62
England,Hambleton 003D,DL62AH,DL62
England,Hambleton 003C,DL62DP,DL62
England,Hambleton 003C,DL62DD,DL62
England,Hambleton 003D,DL62AS,DL62
England,Hambleton 004F,DL62NN,DL62
England,Hambleton 004F,DL62PW,DL62
England,Hambleton 003B,DL62HN,DL62
England,Hambleton 003D,DL62LF,DL62
England,Hambleton 003D,DL62LJ,DL62
England,Hambleton 003A,DL62PA,DL62
England,Hambleton 003B,DL62HW,DL62
England,Hambleton 003A,DL62ST,DL62
England,Hambleton 004F,DL62XE,DL62
England,Hambleton 003C,DL62DY,DL62
England,Hambleton 004F,DL62XQ,DL62
England,Hambleton 003B,DL62HQ,DL62
England,Hambleton 004F,DL62YB,DL62
England,Hambleton 003C,DL62DS,DL62
England,Hambleton 003D,DL62BB,DL62
England,Hambleton 004F,DL62NQ,DL62
England,Hambleton 003B,DL62HG,DL62
England,Hambleton 003B,DL62ES,DL62
England,Hambleton 003D,DL62LS,DL62
England,Hambleton 003D,DL62AX,DL62
England,Hambleton 003B,DL62EW,DL62
England,Richmondshire 001B,DL62HY,DL62
England,Hambleton 003D,DL62BD,DL62
England,Hambleton 003A,DL62RD,DL62
England,Hambleton 003D,DL62LB,DL62
England,Hambleton 003C,DL62SF,DL62
England,Hambleton 003C,DL62SD,DL62
England,Hambleton 003B,DL62JJ,DL62
England,Hambleton 003D,DL62AA,DL62
England,Hambleton 004F,DL62NH,DL62
