Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,North Lincolnshire 004A,DN386DF,DN38
England,North Lincolnshire 004A,DN386HG,DN38
England,North Lincolnshire 011C,DN386DN,DN38
England,North Lincolnshire 004A,DN386JD,DN38
England,North Lincolnshire 004A,DN386HP,DN38
England,North Lincolnshire 004A,DN386HJ,DN38
England,West Lindsey 001C,DN386EW,DN38
England,West Lindsey 001C,DN386EP,DN38
England,North Lincolnshire 004A,DN386DL,DN38
England,North Lincolnshire 004A,DN386DY,DN38
England,North Lincolnshire 004A,DN386JS,DN38
England,North Lincolnshire 004A,DN386JB,DN38
England,North Lincolnshire 004A,DN386JG,DN38
England,North Lincolnshire 004A,DN386HH,DN38
England,North Lincolnshire 004A,DN386HY,DN38
England,West Lindsey 001C,DN386AY,DN38
England,West Lindsey 001C,DN386AQ,DN38
England,North Lincolnshire 004A,DN386FE,DN38
England,West Lindsey 001C,DN386EX,DN38
England,West Lindsey 001C,DN386EN,DN38
England,North Lincolnshire 004A,DN386JF,DN38
England,West Lindsey 001C,DN386BD,DN38
England,North Lincolnshire 004A,DN386DJ,DN38
England,North Lincolnshire 004A,DN386LB,DN38
England,West Lindsey 001C,DN386AH,DN38
England,West Lindsey 001C,DN386BG,DN38
England,North Lincolnshire 004A,DN386HT,DN38
England,West Lindsey 001C,DN386FB,DN38
England,North Lincolnshire 004A,DN386HQ,DN38
England,North Lincolnshire 004A,DN386HL,DN38
England,North Lincolnshire 004A,DN386DW,DN38
England,West Lindsey 001C,DN386EE,DN38
England,North Lincolnshire 004A,DN386HS,DN38
England,North Lincolnshire 004A,DN386HX,DN38
England,West Lindsey 001C,DN386AG,DN38
England,North Lincolnshire 004A,DN386JW,DN38
England,North Lincolnshire 004A,DN386HW,DN38
England,North Lincolnshire 004A,DN386AA,DN38
England,North Lincolnshire 004A,DN386AF,DN38
England,West Lindsey 001C,DN386AP,DN38
England,North Lincolnshire 004A,DN386EB,DN38
England,North Lincolnshire 004A,DN386JN,DN38
England,West Lindsey 001C,DN386BL,DN38
England,West Lindsey 001C,DN386ES,DN38
England,West Lindsey 001C,DN386AJ,DN38
England,West Lindsey 001C,DN386AL,DN38
England,West Lindsey 001C,DN386BH,DN38
England,North Lincolnshire 004A,DN386DU,DN38
England,West Lindsey 001C,DN386BX,DN38
England,West Lindsey 001C,DN386BB,DN38
England,West Lindsey 001C,DN386AU,DN38
England,West Lindsey 001C,DN386DE,DN38
England,North Lincolnshire 004A,DN386JH,DN38
England,North Lincolnshire 004A,DN386AE,DN38
England,North Lincolnshire 004A,DN386DQ,DN38
England,West Lindsey 001C,DN386BW,DN38
England,North Lincolnshire 004A,DN386DT,DN38
England,West Lindsey 001C,DN386EH,DN38
England,West Lindsey 001C,DN386AT,DN38
England,West Lindsey 001C,DN386BN,DN38
England,West Lindsey 001C,DN386ER,DN38
England,North Lincolnshire 004A,DN386HR,DN38
England,West Lindsey 001C,DN386AS,DN38
England,West Lindsey 001C,DN386AZ,DN38
England,North Lincolnshire 004A,DN386EL,DN38
England,North Lincolnshire 004A,DN386JQ,DN38
England,North Lincolnshire 004A,DN386HZ,DN38
England,West Lindsey 001C,DN386EU,DN38
England,West Lindsey 001C,DN386AW,DN38
England,West Lindsey 001C,DN386BP,DN38
England,West Lindsey 001C,DN386AX,DN38
England,North Lincolnshire 004A,DN386LA,DN38
England,North Lincolnshire 004A,DN386DB,DN38
England,North Lincolnshire 004A,DN386DR,DN38
England,West Lindsey 001C,DN386DA,DN38
England,North Lincolnshire 004A,DN386DD,DN38
England,North Lincolnshire 004A,DN386LG,DN38
England,North Lincolnshire 004A,DN386DZ,DN38
England,West Lindsey 001C,DN386FH,DN38
England,North Lincolnshire 004A,DN386DX,DN38
England,North Lincolnshire 004A,DN386JE,DN38
England,North Lincolnshire 004A,DN386HU,DN38
England,West Lindsey 001C,DN386AN,DN38
England,North Lincolnshire 004A,DN386FG,DN38
England,North Lincolnshire 004A,DN386HF,DN38
England,North Lincolnshire 004A,DN386DG,DN38
England,North Lincolnshire 004A,DN386DH,DN38
England,North Lincolnshire 004A,DN386JP,DN38
England,North Lincolnshire 004A,DN386JA,DN38
England,West Lindsey 001C,DN386EY,DN38
England,North Lincolnshire 004A,DN386HN,DN38
England,North Lincolnshire 004A,DN386JL,DN38
England,West Lindsey 001C,DN386AR,DN38
England,North Lincolnshire 004A,DN386DS,DN38
England,North Lincolnshire 004A,DN386FF,DN38
England,West Lindsey 001C,DN386BQ,DN38
England,West Lindsey 001C,DN386ET,DN38
England,North Lincolnshire 004A,DN386AB,DN38
England,North Lincolnshire 004A,DN386FD,DN38
England,North Lincolnshire 004A,DN386JJ,DN38
England,North Lincolnshire 004A,DN386EA,DN38
England,West Lindsey 001C,DN386BA,DN38
