Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Weymouth and Portland 002E,DT35EB,DT35
England,Weymouth and Portland 001D,DT35QN,DT35
England,Weymouth and Portland 003D,DT35BP,DT35
England,Weymouth and Portland 001C,DT35QG,DT35
England,Weymouth and Portland 002E,DT35EJ,DT35
England,Weymouth and Portland 001C,DT35DN,DT35
England,Weymouth and Portland 003D,DT35AL,DT35
England,Weymouth and Portland 003E,DT35RL,DT35
England,Weymouth and Portland 001C,DT35NH,DT35
England,Weymouth and Portland 001A,DT35QY,DT35
England,West Dorset 011D,DT35SG,DT35
England,Weymouth and Portland 003D,DT35AJ,DT35
England,Weymouth and Portland 003D,DT35BA,DT35
England,Weymouth and Portland 001C,DT35LD,DT35
England,Weymouth and Portland 003D,DT35DH,DT35
England,Weymouth and Portland 003D,DT35HP,DT35
England,Weymouth and Portland 002D,DT35HY,DT35
England,Weymouth and Portland 001D,DT35FR,DT35
England,Weymouth and Portland 001D,DT35NF,DT35
England,West Dorset 011D,DT35PZ,DT35
England,Weymouth and Portland 002D,DT35JU,DT35
England,Weymouth and Portland 001A,DT35RS,DT35
England,Weymouth and Portland 003E,DT35HX,DT35
England,Weymouth and Portland 001C,DT35LT,DT35
England,Weymouth and Portland 001C,DT35PA,DT35
England,Weymouth and Portland 003D,DT35FD,DT35
England,Weymouth and Portland 002E,DT35HU,DT35
England,West Dorset 011D,DT35ST,DT35
England,Weymouth and Portland 001C,DT35LA,DT35
England,Weymouth and Portland 003E,DT35HR,DT35
England,Weymouth and Portland 001C,DT35DZ,DT35
England,Weymouth and Portland 003D,DT35BG,DT35
England,Weymouth and Portland 003D,DT35BB,DT35
England,Weymouth and Portland 003E,DT35RW,DT35
England,Weymouth and Portland 003D,DT35BN,DT35
England,Weymouth and Portland 001C,DT35EA,DT35
England,Weymouth and Portland 001D,DT35QL,DT35
England,Weymouth and Portland 001C,DT35LE,DT35
England,Weymouth and Portland 001D,DT35RB,DT35
England,Weymouth and Portland 003E,DT35EU,DT35
England,Weymouth and Portland 003D,DT35FE,DT35
England,Weymouth and Portland 003D,DT35QH,DT35
England,West Dorset 011D,DT35SE,DT35
England,Weymouth and Portland 001C,DT35DT,DT35
England,Weymouth and Portland 003D,DT35BW,DT35
England,Weymouth and Portland 001D,DT35FL,DT35
England,Weymouth and Portland 001C,DT35QE,DT35
England,Weymouth and Portland 001D,DT35RP,DT35
England,Weymouth and Portland 001C,DT35BZ,DT35
England,Weymouth and Portland 003E,DT35HA,DT35
England,Weymouth and Portland 002E,DT35HL,DT35
England,Weymouth and Portland 003E,DT35HH,DT35
England,Weymouth and Portland 001D,DT35SY,DT35
England,Weymouth and Portland 003E,DT35JY,DT35
England,Weymouth and Portland 003E,DT35HD,DT35
England,Weymouth and Portland 001C,DT35LS,DT35
England,Weymouth and Portland 001D,DT35NA,DT35
England,Weymouth and Portland 003D,DT35AU,DT35
England,Weymouth and Portland 002E,DT35EF,DT35
England,Weymouth and Portland 001D,DT35SB,DT35
England,Weymouth and Portland 002E,DT35JW,DT35
England,Weymouth and Portland 001C,DT35QJ,DT35
England,Weymouth and Portland 001D,DT35PJ,DT35
England,Weymouth and Portland 001D,DT35FN,DT35
England,Weymouth and Portland 003E,DT35JA,DT35
England,Weymouth and Portland 003E,DT35HB,DT35
England,Weymouth and Portland 003D,DT35AY,DT35
England,Weymouth and Portland 001D,DT35QS,DT35
England,Weymouth and Portland 003D,DT35AS,DT35
England,Weymouth and Portland 001D,DT35DY,DT35
England,Weymouth and Portland 003D,DT35AR,DT35
England,Weymouth and Portland 003D,DT35QP,DT35
England,Weymouth and Portland 001D,DT35QT,DT35
England,Weymouth and Portland 001C,DT35DX,DT35
England,Weymouth and Portland 001C,DT35LF,DT35
England,West Dorset 011D,DT35PB,DT35
England,Weymouth and Portland 003E,DT35JE,DT35
England,Weymouth and Portland 003E,DT35RE,DT35
England,Weymouth and Portland 001C,DT35QA,DT35
England,Weymouth and Portland 003D,DT35FG,DT35
England,Weymouth and Portland 003E,DT35HQ,DT35
England,Weymouth and Portland 002E,DT35EQ,DT35
England,Weymouth and Portland 001D,DT35NN,DT35
England,Weymouth and Portland 003D,DT35FA,DT35
England,Weymouth and Portland 001C,DT35NP,DT35
England,Weymouth and Portland 001D,DT35RA,DT35
England,Weymouth and Portland 001C,DT35LQ,DT35
England,Weymouth and Portland 001A,DT35QZ,DT35
England,Weymouth and Portland 001D,DT35LG,DT35
England,Weymouth and Portland 003D,DT35BD,DT35
England,Weymouth and Portland 003E,DT35EX,DT35
England,Weymouth and Portland 002D,DT35AF,DT35
England,Weymouth and Portland 003E,DT35JH,DT35
England,West Dorset 011D,DT35SD,DT35
England,Weymouth and Portland 001C,DT35LH,DT35
England,Weymouth and Portland 003E,DT35RH,DT35
England,Weymouth and Portland 003D,DT35JQ,DT35
England,Weymouth and Portland 003E,DT35JB,DT35
England,Weymouth and Portland 003D,DT35DQ,DT35
England,Weymouth and Portland 003E,DT35EN,DT35
England,Weymouth and Portland 001C,DT35LX,DT35
England,West Dorset 011D,DT35PY,DT35
England,Weymouth and Portland 003D,DT35HE,DT35
England,Weymouth and Portland 003E,DT35JG,DT35
England,Weymouth and Portland 003E,DT35HG,DT35
England,Weymouth and Portland 003D,DT35DG,DT35
England,Weymouth and Portland 003D,DT35JD,DT35
England,Weymouth and Portland 002D,DT35JR,DT35
England,Weymouth and Portland 003D,DT35EZ,DT35
England,Weymouth and Portland 001C,DT35LR,DT35
England,Weymouth and Portland 001D,DT35RX,DT35
England,Weymouth and Portland 001C,DT35QF,DT35
England,Weymouth and Portland 003E,DT35RF,DT35
England,Weymouth and Portland 003D,DT35DF,DT35
England,Weymouth and Portland 001D,DT35PN,DT35
England,Weymouth and Portland 002D,DT35AE,DT35
England,Weymouth and Portland 003E,DT35HW,DT35
England,Weymouth and Portland 003E,DT35ER,DT35
England,Weymouth and Portland 001C,DT35LY,DT35
England,Weymouth and Portland 002E,DT35EE,DT35
England,Weymouth and Portland 001C,DT35JZ,DT35
England,Weymouth and Portland 001D,DT35PQ,DT35
England,Weymouth and Portland 003D,DT35EY,DT35
England,Weymouth and Portland 001C,DT35QQ,DT35
England,Weymouth and Portland 001D,DT35RZ,DT35
England,Weymouth and Portland 001C,DT35PW,DT35
England,Weymouth and Portland 003D,DT35EW,DT35
England,Weymouth and Portland 003E,DT35HF,DT35
England,Weymouth and Portland 001C,DT35LB,DT35
England,West Dorset 011D,DT35PX,DT35
England,Weymouth and Portland 003E,DT35JL,DT35
England,Weymouth and Portland 003E,DT35RJ,DT35
England,Weymouth and Portland 001C,DT35DE,DT35
England,Weymouth and Portland 003D,DT35BL,DT35
England,Weymouth and Portland 001D,DT35NL,DT35
England,Weymouth and Portland 003D,DT35AT,DT35
England,Weymouth and Portland 002D,DT35AB,DT35
England,Weymouth and Portland 001C,DT35DP,DT35
England,Weymouth and Portland 001D,DT35RR,DT35
England,Weymouth and Portland 002D,DT35JP,DT35
England,Weymouth and Portland 001D,DT35SX,DT35
England,West Dorset 011D,DT35SU,DT35
England,Weymouth and Portland 001C,DT35LW,DT35
England,Weymouth and Portland 001C,DT35NR,DT35
England,Weymouth and Portland 002D,DT35JT,DT35
England,Weymouth and Portland 002E,DT35ED,DT35
England,Weymouth and Portland 001C,DT35AQ,DT35
England,Weymouth and Portland 001A,DT35SQ,DT35
England,Weymouth and Portland 001D,DT35PH,DT35
England,Weymouth and Portland 003D,DT35DA,DT35
England,Weymouth and Portland 001C,DT35LU,DT35
England,Weymouth and Portland 001D,DT35QR,DT35
England,Weymouth and Portland 001C,DT35QD,DT35
England,West Dorset 011D,DT35PU,DT35
England,Weymouth and Portland 001C,DT35DU,DT35
England,West Dorset 011D,DT35RY,DT35
England,Weymouth and Portland 003D,DT35AW,DT35
England,Weymouth and Portland 004B,DT35YS,DT35
England,Weymouth and Portland 003E,DT35HS,DT35
England,Weymouth and Portland 001D,DT35LP,DT35
England,Weymouth and Portland 003D,DT35BE,DT35
England,Weymouth and Portland 002D,DT35HZ,DT35
England,Weymouth and Portland 003D,DT35AX,DT35
England,Weymouth and Portland 001C,DT35DS,DT35
England,Weymouth and Portland 001C,DT35RD,DT35
England,Weymouth and Portland 001D,DT35NX,DT35
England,Weymouth and Portland 001C,DT35DB,DT35
England,Weymouth and Portland 001A,DT35SJ,DT35
England,Weymouth and Portland 003D,DT35EP,DT35
England,West Dorset 011D,DT35SF,DT35
England,Weymouth and Portland 002D,DT35AD,DT35
England,Weymouth and Portland 001C,DT35DW,DT35
England,Weymouth and Portland 003E,DT35RG,DT35
England,Weymouth and Portland 001A,DT35PL,DT35
England,Weymouth and Portland 002D,DT35AA,DT35
England,Weymouth and Portland 001D,DT35NQ,DT35
England,West Dorset 011D,DT35ND,DT35
England,Weymouth and Portland 001C,DT35BX,DT35
England,Weymouth and Portland 001C,DT35LN,DT35
