Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,South Staffordshire 014B,DY76EE,DY76
England,South Staffordshire 014A,DY76JB,DY76
England,South Staffordshire 014E,DY76AJ,DY76
England,South Staffordshire 014B,DY76QA,DY76
England,South Staffordshire 014D,DY76PS,DY76
England,South Staffordshire 014B,DY76DB,DY76
England,South Staffordshire 014D,DY76RR,DY76
England,South Staffordshire 014C,DY76AF,DY76
England,South Staffordshire 014B,DY76NW,DY76
England,South Staffordshire 014C,DY76BJ,DY76
England,South Staffordshire 014B,DY76HR,DY76
England,South Staffordshire 014A,DY76EL,DY76
England,South Staffordshire 014E,DY76BP,DY76
England,South Staffordshire 014C,DY76BW,DY76
England,South Staffordshire 014A,DY76JQ,DY76
England,South Staffordshire 014E,DY76DD,DY76
England,South Staffordshire 014C,DY76BT,DY76
England,South Staffordshire 014D,DY76RL,DY76
England,South Staffordshire 014E,DY76AX,DY76
England,South Staffordshire 014A,DY76HB,DY76
England,South Staffordshire 014C,DY76BF,DY76
England,South Staffordshire 014E,DY76BN,DY76
England,South Staffordshire 014E,DY76AD,DY76
England,South Staffordshire 014E,DY76AH,DY76
England,South Staffordshire 014B,DY76NS,DY76
England,South Staffordshire 014D,DY76PQ,DY76
England,South Staffordshire 014E,DY76AG,DY76
England,South Staffordshire 014D,DY76LU,DY76
England,South Staffordshire 014E,DY76AR,DY76
England,South Staffordshire 014D,DY76RY,DY76
England,South Staffordshire 014C,DY76LH,DY76
England,South Staffordshire 014E,DY76DL,DY76
England,South Staffordshire 014A,DY76HH,DY76
England,South Staffordshire 014B,DY76DR,DY76
England,South Staffordshire 014D,DY76PF,DY76
England,South Staffordshire 014D,DY76PG,DY76
England,South Staffordshire 014D,DY76LY,DY76
England,South Staffordshire 014B,DY76DN,DY76
England,South Staffordshire 014E,DY76BG,DY76
England,South Staffordshire 014C,DY76NB,DY76
England,South Staffordshire 014B,DY76BY,DY76
England,South Staffordshire 014B,DY76EY,DY76
England,South Staffordshire 014A,DY76ET,DY76
England,South Staffordshire 014B,DY76DU,DY76
England,South Staffordshire 014C,DY76BX,DY76
England,South Staffordshire 014B,DY76AB,DY76
England,South Staffordshire 014D,DY76RX,DY76
England,South Staffordshire 014D,DY76PH,DY76
England,South Staffordshire 014D,DY76QY,DY76
England,South Staffordshire 014B,DY76NX,DY76
England,South Staffordshire 014D,DY76PB,DY76
England,South Staffordshire 014C,DY76LB,DY76
England,South Staffordshire 014C,DY76LF,DY76
England,South Staffordshire 014D,DY76QZ,DY76
England,South Staffordshire 014A,DY76JA,DY76
England,South Staffordshire 014C,DY76AU,DY76
England,South Staffordshire 014E,DY76AQ,DY76
England,South Staffordshire 014D,DY76NZ,DY76
England,South Staffordshire 014B,DY76BZ,DY76
England,South Staffordshire 014B,DY76DX,DY76
England,South Staffordshire 014B,DY76EF,DY76
England,South Staffordshire 014C,DY76AP,DY76
England,South Staffordshire 014D,DY76SL,DY76
England,South Staffordshire 014E,DY76AW,DY76
England,South Staffordshire 014A,DY76HG,DY76
England,Dudley 035A,DY76YN,DY76
England,South Staffordshire 014D,DY76PJ,DY76
England,South Staffordshire 014B,DY76HS,DY76
England,South Staffordshire 014E,DY76BA,DY76
England,South Staffordshire 014B,DY76DT,DY76
England,South Staffordshire 014B,DY76DG,DY76
