Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 013A,E15ED,E15E
England,Tower Hamlets 013A,E15EF,E15E
England,Tower Hamlets 015D,E15EN,E15E
England,Tower Hamlets 013A,E15EA,E15E
England,Tower Hamlets 015A,E15EJ,E15E
England,Tower Hamlets 015A,E15EU,E15E
England,Tower Hamlets 015C,E15EQ,E15E
England,Tower Hamlets 013A,E15EY,E15E
England,Tower Hamlets 015A,E15EZ,E15E
England,Tower Hamlets 009D,E15EH,E15E
England,Tower Hamlets 013A,E15EL,E15E
England,Tower Hamlets 009D,E15ER,E15E
England,Tower Hamlets 013A,E15EE,E15E
England,Tower Hamlets 009D,E15ES,E15E
England,Tower Hamlets 009D,E15EG,E15E
