Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 005C,E20BD,E20B
England,Tower Hamlets 005C,E20BN,E20B
England,Tower Hamlets 005C,E20BQ,E20B
England,Tower Hamlets 013D,E20BS,E20B
England,Tower Hamlets 013D,E20BY,E20B
England,Tower Hamlets 013D,E20BT,E20B
England,Tower Hamlets 005C,E20BW,E20B
England,Tower Hamlets 005C,E20BA,E20B
England,Tower Hamlets 005C,E20BG,E20B
England,Tower Hamlets 005C,E20BE,E20B
England,Tower Hamlets 013D,E20BP,E20B
England,Tower Hamlets 005C,E20BL,E20B
England,Tower Hamlets 013D,E20BZ,E20B
England,Tower Hamlets 013D,E20BU,E20B
England,Tower Hamlets 005C,E20BF,E20B
England,Tower Hamlets 013D,E20BB,E20B
England,Tower Hamlets 005C,E20BJ,E20B
