Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 007B,E20PL,E20P
England,Tower Hamlets 007A,E20PH,E20P
England,Tower Hamlets 007A,E20PA,E20P
England,Tower Hamlets 007B,E20PG,E20P
England,Tower Hamlets 007B,E20PJ,E20P
England,Tower Hamlets 007B,E20PT,E20P
England,Tower Hamlets 007A,E20PX,E20P
England,Tower Hamlets 007B,E20PN,E20P
England,Tower Hamlets 007A,E20PB,E20P
England,Tower Hamlets 007B,E20PS,E20P
England,Tower Hamlets 010F,E20PW,E20P
England,Tower Hamlets 007D,E20PF,E20P
England,Tower Hamlets 007B,E20PZ,E20P
England,Tower Hamlets 007B,E20PU,E20P
England,Tower Hamlets 007B,E20PP,E20P
England,Tower Hamlets 007D,E20PD,E20P
England,Tower Hamlets 007B,E20PY,E20P
England,Tower Hamlets 007B,E20PR,E20P
England,Tower Hamlets 007D,E20PE,E20P
