Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 005B,E29AH,E29A
England,Tower Hamlets 005B,E29AP,E29A
England,Tower Hamlets 005B,E29AD,E29A
England,Tower Hamlets 005B,E29AE,E29A
England,Tower Hamlets 002B,E29AN,E29A
England,Hackney 024C,E29AW,E29A
England,Tower Hamlets 002D,E29AT,E29A
England,Tower Hamlets 005B,E29AL,E29A
England,Tower Hamlets 002B,E29AF,E29A
England,Hackney 024C,E29AA,E29A
England,Hackney 024C,E29AS,E29A
England,Tower Hamlets 005B,E29AQ,E29A
England,Tower Hamlets 005B,E29AX,E29A
England,Tower Hamlets 002B,E29AR,E29A
England,Tower Hamlets 005B,E29AG,E29A
