Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 004G,E32FR,E32F
England,Tower Hamlets 004E,E32FX,E32F
England,Tower Hamlets 004F,E32FJ,E32F
England,Tower Hamlets 001D,E32FU,E32F
England,Tower Hamlets 004G,E32FQ,E32F
England,Tower Hamlets 004E,E32FD,E32F
England,Tower Hamlets 004G,E32FP,E32F
England,Tower Hamlets 001C,E32FF,E32F
England,Tower Hamlets 001A,E32FS,E32F
England,Tower Hamlets 001A,E32FA,E32F
England,Tower Hamlets 004F,E32FH,E32F
England,Tower Hamlets 004E,E32FB,E32F
England,Tower Hamlets 004F,E32FE,E32F
England,Tower Hamlets 004F,E32FG,E32F
England,Tower Hamlets 004G,E32FN,E32F
