Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 012D,E34XN,E34X
England,Tower Hamlets 012D,E34XW,E34X
England,Tower Hamlets 012D,E34XQ,E34X
England,Tower Hamlets 012D,E34XB,E34X
England,Tower Hamlets 012D,E34XJ,E34X
England,Tower Hamlets 012D,E34XS,E34X
England,Tower Hamlets 012D,E34XT,E34X
England,Tower Hamlets 012D,E34XR,E34X
England,Tower Hamlets 012D,E34XA,E34X
England,Tower Hamlets 012D,E34XE,E34X
England,Tower Hamlets 012D,E34XH,E34X
England,Tower Hamlets 012D,E34XL,E34X
England,Tower Hamlets 012D,E34XG,E34X
England,Tower Hamlets 012D,E34XP,E34X
England,Tower Hamlets 012D,E34XF,E34X
England,Tower Hamlets 012D,E34XD,E34X
