Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 001D,E35GQ,E35G
England,Tower Hamlets 001D,E35GS,E35G
England,Tower Hamlets 001D,E35GL,E35G
England,Tower Hamlets 001D,E35GH,E35G
England,Tower Hamlets 003C,E35GW,E35G
England,Tower Hamlets 003A,E35GJ,E35G
England,Tower Hamlets 003D,E35GG,E35G
England,Tower Hamlets 003D,E35GF,E35G
England,Tower Hamlets 001B,E35GN,E35G
England,Tower Hamlets 003C,E35GY,E35G
England,Tower Hamlets 003D,E35GU,E35G
England,Tower Hamlets 001D,E35GR,E35G
England,Tower Hamlets 001B,E35GP,E35G
England,Tower Hamlets 001D,E35GT,E35G
England,Tower Hamlets 003A,E35GB,E35G
England,Tower Hamlets 001A,E35GX,E35G
