Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Tower Hamlets 003D,E35NN,E35N
England,Tower Hamlets 004G,E35NG,E35N
England,Tower Hamlets 003E,E35NA,E35N
England,Tower Hamlets 003D,E35ND,E35N
England,Tower Hamlets 003E,E35NP,E35N
England,Tower Hamlets 003D,E35NY,E35N
England,Tower Hamlets 003D,E35NQ,E35N
England,Tower Hamlets 003D,E35NX,E35N
England,Tower Hamlets 003E,E35NF,E35N
England,Tower Hamlets 003D,E35NB,E35N
England,Tower Hamlets 003E,E35NH,E35N
England,Tower Hamlets 003D,E35NU,E35N
England,Tower Hamlets 003E,E35NE,E35N
England,Tower Hamlets 003D,E35NR,E35N
England,Tower Hamlets 003E,E35NS,E35N
England,Tower Hamlets 001B,E35NT,E35N
England,Tower Hamlets 003D,E35NZ,E35N
England,Tower Hamlets 003D,E35NW,E35N
England,Tower Hamlets 003D,E35NJ,E35N
England,Tower Hamlets 003D,E35NL,E35N
