Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Waltham Forest 002D,E46TY,E46T
England,Waltham Forest 002D,E46TS,E46T
England,Waltham Forest 002E,E46TG,E46T
England,Waltham Forest 002D,E46TU,E46T
England,Waltham Forest 002D,E46TW,E46T
England,Waltham Forest 004D,E46TE,E46T
England,Waltham Forest 005B,E46TD,E46T
England,Waltham Forest 002D,E46TR,E46T
England,Waltham Forest 005B,E46TA,E46T
England,Waltham Forest 005B,E46TB,E46T
England,Waltham Forest 002D,E46TP,E46T
England,Waltham Forest 002D,E46TT,E46T
England,Waltham Forest 002D,E46TN,E46T
England,Waltham Forest 002D,E46TL,E46T
England,Waltham Forest 002D,E46TX,E46T
