Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Waltham Forest 001E,E47LP,E47L
England,Waltham Forest 001E,E47LW,E47L
England,Waltham Forest 001E,E47LN,E47L
England,Waltham Forest 001C,E47LZ,E47L
England,Waltham Forest 001E,E47LA,E47L
England,Waltham Forest 001C,E47LY,E47L
England,Waltham Forest 001E,E47LQ,E47L
England,Waltham Forest 001E,E47LL,E47L
England,Waltham Forest 002D,E47LJ,E47L
England,Waltham Forest 001E,E47LB,E47L
England,Waltham Forest 001E,E47LG,E47L
England,Waltham Forest 002D,E47LH,E47L
England,Waltham Forest 001E,E47LT,E47L
England,Waltham Forest 001E,E47LS,E47L
England,Waltham Forest 001E,E47LD,E47L
England,Waltham Forest 001E,E47LR,E47L
