Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Waltham Forest 005E,E48DB,E48D
England,Waltham Forest 005E,E48DT,E48D
England,Waltham Forest 005D,E48DZ,E48D
England,Waltham Forest 005E,E48DF,E48D
England,Waltham Forest 005E,E48DR,E48D
England,Waltham Forest 005E,E48DP,E48D
England,Waltham Forest 005D,E48DY,E48D
England,Waltham Forest 005E,E48DD,E48D
England,Waltham Forest 005D,E48DU,E48D
England,Waltham Forest 005D,E48DA,E48D
England,Waltham Forest 005D,E48DN,E48D
England,Waltham Forest 005D,E48DW,E48D
England,Waltham Forest 005E,E48DG,E48D
England,Waltham Forest 005D,E48DX,E48D
England,Waltham Forest 005D,E48DL,E48D
England,Waltham Forest 006B,E48DJ,E48D
