Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Waltham Forest 022A,E59QG,E59Q
England,Hackney 011A,E59QH,E59Q
England,Hackney 011B,E59QR,E59Q
England,Hackney 028D,E59QT,E59Q
England,Hackney 010D,E59QU,E59Q
England,Hackney 028D,E59QX,E59Q
England,Hackney 011B,E59QN,E59Q
England,Hackney 028C,E59QF,E59Q
England,Waltham Forest 022A,E59QQ,E59Q
England,Hackney 011A,E59QD,E59Q
England,Hackney 011A,E59QJ,E59Q
England,Hackney 011C,E59QP,E59Q
England,Hackney 011A,E59QL,E59Q
England,Hackney 028D,E59QY,E59Q
England,Hackney 011A,E59QB,E59Q
