Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Hackney 028E,E59RQ,E59R
England,Hackney 028D,E59RY,E59R
England,Hackney 013B,E59RH,E59R
England,Hackney 028D,E59RA,E59R
England,Hackney 028E,E59RR,E59R
England,Hackney 028E,E59RP,E59R
England,Hackney 028E,E59RE,E59R
England,Waltham Forest 022A,E59RZ,E59R
England,Hackney 028E,E59RN,E59R
England,Hackney 028E,E59RW,E59R
England,Hackney 028A,E59RD,E59R
England,Hackney 028D,E59RB,E59R
England,Hackney 028D,E59RG,E59R
England,Hackney 028A,E59RT,E59R
