Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Newham 018C,E61JW,E61J
England,Newham 018A,E61JJ,E61J
England,Newham 018A,E61JB,E61J
England,Newham 018C,E61JT,E61J
England,Newham 018A,E61JD,E61J
England,Newham 010C,E61JG,E61J
England,Newham 018B,E61JA,E61J
England,Newham 018A,E61JN,E61J
England,Newham 018A,E61JS,E61J
England,Newham 018A,E61JH,E61J
England,Newham 018A,E61JE,E61J
England,Newham 018A,E61JL,E61J
England,Newham 018C,E61JP,E61J
England,Newham 018C,E61JR,E61J
England,Newham 018A,E61JY,E61J
England,Newham 018A,E61JZ,E61J
