Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Newham 009A,E79HG,E79H
England,Newham 009A,E79HF,E79H
England,Newham 009A,E79HY,E79H
England,Newham 009A,E79HP,E79H
England,Newham 008B,E79HH,E79H
England,Newham 009A,E79HL,E79H
England,Newham 008B,E79HD,E79H
England,Newham 009A,E79HQ,E79H
England,Newham 016A,E79HS,E79H
England,Newham 009A,E79HU,E79H
England,Newham 008B,E79HA,E79H
England,Newham 008B,E79HJ,E79H
England,Newham 009A,E79HX,E79H
England,Newham 009A,E79HT,E79H
England,Newham 009A,E79HB,E79H
England,Newham 009A,E79HR,E79H
England,Newham 009A,E79HW,E79H
England,Newham 009A,E79HN,E79H
England,Newham 008B,E79HZ,E79H
