Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,City of London 001F,EC2N1DX,EC2N
England,City of London 001F,EC2N2AD,EC2N
England,City of London 001F,EC2N4DA,EC2N
England,City of London 001F,EC2N1PB,EC2N
England,City of London 001F,EC2N2BH,EC2N
England,City of London 001F,EC2N1HQ,EC2N
England,City of London 001F,EC2N1HW,EC2N
England,City of London 001F,EC2N2JJ,EC2N
England,City of London 001F,EC2N4AH,EC2N
England,City of London 001F,EC2N2DQ,EC2N
England,City of London 001F,EC2N2AT,EC2N
England,Islington 022F,EC2N4ED,EC2N
England,City of London 001F,EC2N4AY,EC2N
England,City of London 001F,EC2N2QP,EC2N
England,City of London 001F,EC2N2SF,EC2N
England,City of London 001F,EC2N4AJ,EC2N
England,City of London 001F,EC2N4AG,EC2N
England,City of London 001F,EC2N1HN,EC2N
England,City of London 001F,EC2N2HE,EC2N
England,City of London 001F,EC2N1AR,EC2N
England,City of London 001F,EC2N1ER,EC2N
England,City of London 001F,EC2N2BY,EC2N
England,City of London 001F,EC2N1DP,EC2N
England,City of London 001F,EC2N1DW,EC2N
England,City of London 001F,EC2N2QQ,EC2N
England,City of London 001F,EC2N2DG,EC2N
England,City of London 001F,EC2N2HG,EC2N
England,City of London 001F,EC2N1AP,EC2N
England,City of London 001F,EC2N2AN,EC2N
England,City of London 001F,EC2N1DS,EC2N
England,City of London 001F,EC2N2BB,EC2N
England,City of London 001F,EC2N1EX,EC2N
England,City of London 001F,EC2N4AD,EC2N
England,City of London 001F,EC2N2EQ,EC2N
England,City of London 001F,EC2N1BG,EC2N
England,City of London 001F,EC2N4AW,EC2N
England,City of London 001F,EC2N1AD,EC2N
England,City of London 001F,EC2N1BR,EC2N
England,City of London 001F,EC2N2DL,EC2N
England,City of London 001F,EC2N2HA,EC2N
England,City of London 001F,EC2N3AQ,EC2N
England,Islington 022F,EC2N3HY,EC2N
England,City of London 001F,EC2N1HT,EC2N
England,City of London 001F,EC2N1HZ,EC2N
England,City of London 001F,EC2N2AE,EC2N
England,City of London 001F,EC2N2AX,EC2N
England,City of London 001F,EC2N2HD,EC2N
England,City of London 001F,EC2N1HU,EC2N
England,City of London 001F,EC2N2AQ,EC2N
England,City of London 001F,EC2N3AR,EC2N
England,City of London 001F,EC2N1FP,EC2N
England,City of London 001F,EC2N3AH,EC2N
England,City of London 001F,EC2N2PT,EC2N
England,Islington 022F,EC2N1JL,EC2N
England,City of London 001F,EC2N2JA,EC2N
England,City of London 001F,EC2N2DB,EC2N
England,City of London 001F,EC2N4BQ,EC2N
England,Islington 022F,EC2N1JJ,EC2N
England,City of London 001F,EC2N3BA,EC2N
England,City of London 001F,EC2N3AS,EC2N
