Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Islington 022F,EC3P3WR,EC3P
England,Islington 022F,EC3P3BJ,EC3P
England,Islington 022F,EC3P3DF,EC3P
England,City of London 001F,EC3P3DQ,EC3P
England,Islington 022F,EC3P3AS,EC3P
England,Islington 022F,EC3P3FW,EC3P
England,Islington 022F,EC3P3HX,EC3P
England,Islington 022F,EC3P3AW,EC3P
England,Islington 022F,EC3P3AT,EC3P
England,Islington 022F,EC3P3FN,EC3P
England,Islington 022F,EC3P3BH,EC3P
England,Islington 022F,EC3P3DD,EC3P
England,Islington 022F,EC3P3BX,EC3P
England,Islington 022F,EC3P3DJ,EC3P
England,Islington 022F,EC3P3HY,EC3P
England,Islington 022F,EC3P3FL,EC3P
England,Islington 022F,EC3P3BP,EC3P
England,Islington 022F,EC3P3BE,EC3P
England,Islington 022F,EC3P3DA,EC3P
England,Islington 022F,EC3P3AY,EC3P
England,Islington 022F,EC3P3DN,EC3P
England,Islington 022F,EC3P3DL,EC3P
England,Islington 022F,EC3P3DG,EC3P
England,Islington 022F,EC3P3WY,EC3P
England,Islington 022F,EC3P3DH,EC3P
