Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,City of London 001F,EC4M9DN,EC4M
England,City of London 001G,EC4M7AW,EC4M
England,City of London 001G,EC4M7NB,EC4M
England,City of London 001F,EC4M9AH,EC4M
England,City of London 001G,EC4M7RB,EC4M
England,City of London 001F,EC4M8AQ,EC4M
England,City of London 001G,EC4M7LH,EC4M
England,City of London 001F,EC4M9DQ,EC4M
England,City of London 001F,EC4M7BY,EC4M
England,Islington 022F,EC4M7RR,EC4M
England,City of London 001F,EC4M8EN,EC4M
England,City of London 001F,EC4M9JA,EC4M
England,City of London 001F,EC4M7AE,EC4M
England,City of London 001F,EC4M9BP,EC4M
England,City of London 001F,EC4M9BX,EC4M
England,City of London 001F,EC4M9DL,EC4M
England,City of London 001F,EC4M7BP,EC4M
England,City of London 001F,EC4M7DQ,EC4M
England,City of London 001G,EC4M7LW,EC4M
England,City of London 001F,EC4M9BE,EC4M
England,City of London 001F,EC4M8AB,EC4M
England,City of London 001F,EC4M9BB,EC4M
England,City of London 001F,EC4M8AD,EC4M
England,City of London 001G,EC4M7JH,EC4M
England,City of London 001F,EC4M7DZ,EC4M
England,City of London 001G,EC4M7EH,EC4M
England,City of London 001F,EC4M7DX,EC4M
England,City of London 001F,EC4M7AL,EC4M
England,City of London 001F,EC4M7DA,EC4M
England,City of London 001F,EC4M9AF,EC4M
England,City of London 001F,EC4M7AS,EC4M
England,City of London 001G,EC4M7LG,EC4M
England,City of London 001G,EC4M7EF,EC4M
England,City of London 001G,EC4M7BG,EC4M
England,City of London 001F,EC4M9EE,EC4M
England,City of London 001F,EC4M7DD,EC4M
England,City of London 001F,EC4M6XH,EC4M
England,City of London 001G,EC4M7RE,EC4M
England,City of London 001F,EC4M9EB,EC4M
England,City of London 001G,EC4M7RD,EC4M
England,City of London 001G,EC4M7BA,EC4M
England,City of London 001G,EC4M7RA,EC4M
England,Islington 022F,EC4M7WS,EC4M
England,City of London 001F,EC4M9AG,EC4M
England,City of London 001F,EC4M8AE,EC4M
England,City of London 001F,EC4M7AG,EC4M
England,City of London 001G,EC4M7NG,EC4M
England,City of London 001F,EC4M7EJ,EC4M
England,City of London 001F,EC4M9BR,EC4M
England,City of London 001F,EC4M7BB,EC4M
England,City of London 001F,EC4M5TA,EC4M
England,City of London 001F,EC4M9AL,EC4M
England,City of London 001F,EC4M7JN,EC4M
England,City of London 001F,EC4M7JR,EC4M
England,City of London 001F,EC4M7AQ,EC4M
England,City of London 001F,EC4M9DT,EC4M
England,City of London 001F,EC4M9EH,EC4M
England,City of London 001F,EC4M9DD,EC4M
England,City of London 001F,EC4M7HP,EC4M
England,City of London 001F,EC4M5SB,EC4M
England,City of London 001G,EC4M7AZ,EC4M
England,City of London 001G,EC4M7RF,EC4M
England,City of London 001F,EC4M7LS,EC4M
England,City of London 001F,EC4M7BE,EC4M
England,City of London 001F,EC4M9BT,EC4M
England,City of London 001F,EC4M7BR,EC4M
England,City of London 001G,EC4M7EP,EC4M
England,City of London 001F,EC4M7DE,EC4M
England,City of London 001F,EC4M7DW,EC4M
England,City of London 001F,EC4M9BJ,EC4M
England,City of London 001G,EC4M7LQ,EC4M
England,City of London 001G,EC4M7QS,EC4M
England,City of London 001F,EC4M9HH,EC4M
England,City of London 001F,EC4M7LT,EC4M
England,City of London 001F,EC4M8BU,EC4M
England,City of London 001F,EC4M8AP,EC4M
England,City of London 001G,EC4M7JU,EC4M
England,City of London 001F,EC4M8AL,EC4M
England,City of London 001G,EC4M7LF,EC4M
England,City of London 001F,EC4M7DY,EC4M
England,City of London 001F,EC4M9AY,EC4M
England,City of London 001F,EC4M8AY,EC4M
England,City of London 001G,EC4M7AN,EC4M
England,City of London 001F,EC4M9AD,EC4M
England,City of London 001F,EC4M9ET,EC4M
England,City of London 001G,EC4M7EG,EC4M
England,City of London 001F,EC4M7BU,EC4M
England,City of London 001F,EC4M9DJ,EC4M
England,City of London 001F,EC4M6XD,EC4M
England,City of London 001F,EC4M9EF,EC4M
England,City of London 001G,EC4M7JW,EC4M
England,City of London 001F,EC4M6YJ,EC4M
England,City of London 001G,EC4M7AX,EC4M
England,City of London 001G,EC4M7AU,EC4M
England,City of London 001F,EC4M7AA,EC4M
England,City of London 001F,EC4M9AJ,EC4M
England,City of London 001G,EC4M7JZ,EC4M
England,City of London 001F,EC4M9BW,EC4M
England,City of London 001F,EC4M8BX,EC4M
England,City of London 001G,EC4M7LD,EC4M
England,City of London 001F,EC4M7DR,EC4M
