Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Broxbourne 001D,EN119JG,EN11
England,Broxbourne 002C,EN119HY,EN11
England,Epping Forest 002E,EN110BE,EN11
England,Broxbourne 003A,EN118TA,EN11
England,Broxbourne 003C,EN118JL,EN11
England,Broxbourne 003B,EN111LQ,EN11
England,Broxbourne 002D,EN110GL,EN11
England,Enfield 012F,EN11TR,EN11
England,Broxbourne 002A,EN118JB,EN11
England,Broxbourne 003B,EN111HH,EN11
England,Broxbourne 002D,EN110GJ,EN11
England,Enfield 015B,EN11BT,EN11
England,Broxbourne 002D,EN110GD,EN11
England,Broxbourne 003B,EN111FZ,EN11
England,Broxbourne 003D,EN118HN,EN11
England,Enfield 015D,EN11NL,EN11
England,Broxbourne 003B,EN111HU,EN11
England,Enfield 024D,EN11HQ,EN11
England,Broxbourne 003B,EN111HX,EN11
England,Enfield 016E,EN11LF,EN11
England,Broxbourne 003B,EN111HB,EN11
England,Enfield 016E,EN11LB,EN11
England,Broxbourne 002A,EN119DZ,EN11
England,Broxbourne 001D,EN119JP,EN11
England,Enfield 015B,EN11BG,EN11
England,Enfield 012F,EN11RQ,EN11
England,Broxbourne 003C,EN118QU,EN11
England,Enfield 016F,EN11QY,EN11
England,Broxbourne 001D,EN119AS,EN11
England,Enfield 015D,EN11NY,EN11
England,Broxbourne 003C,EN118JQ,EN11
England,Broxbourne 003A,EN118FD,EN11
England,Broxbourne 003B,EN111LS,EN11
England,Broxbourne 003A,EN110NT,EN11
England,Enfield 015E,EN11XT,EN11
England,Enfield 015D,EN11SX,EN11
England,Enfield 015D,EN11GU,EN11
England,Broxbourne 002D,EN110EZ,EN11
England,Broxbourne 003A,EN118EF,EN11
England,Broxbourne 001B,EN119QR,EN11
England,Broxbourne 001C,EN119LZ,EN11
England,Broxbourne 002E,EN110PQ,EN11
England,Broxbourne 002C,EN119EP,EN11
England,Broxbourne 001B,EN119PY,EN11
England,Enfield 016F,EN11NH,EN11
England,Broxbourne 003A,EN118DH,EN11
England,Enfield 015D,EN11QE,EN11
England,Broxbourne 003A,EN118LY,EN11
England,East Hertfordshire 018E,EN110EQ,EN11
England,Broxbourne 001B,EN119NJ,EN11
England,Broxbourne 002C,EN119EN,EN11
England,Broxbourne 003B,EN118DT,EN11
England,Broxbourne 003B,EN111JJ,EN11
England,Enfield 012F,EN11DZ,EN11
England,Enfield 015E,EN11XU,EN11
England,Enfield 015E,EN11EG,EN11
England,Broxbourne 001B,EN119NE,EN11
England,Broxbourne 003B,EN111JF,EN11
England,Broxbourne 003A,EN118UG,EN11
England,Broxbourne 002B,EN110EF,EN11
England,Enfield 016D,EN11RE,EN11
England,Broxbourne 003B,EN118AQ,EN11
England,Broxbourne 003B,EN111FB,EN11
England,Broxbourne 003A,EN118PF,EN11
England,Broxbourne 002A,EN118LB,EN11
England,Broxbourne 003B,EN110DT,EN11
England,Enfield 016E,EN11FH,EN11
England,Enfield 016A,EN11XG,EN11
England,Broxbourne 003B,EN111LJ,EN11
England,Broxbourne 003D,EN118FL,EN11
England,Broxbourne 001D,EN119DP,EN11
England,Broxbourne 003C,EN118JJ,EN11
England,Enfield 015E,EN11DH,EN11
England,Enfield 016B,EN11ET,EN11
England,Broxbourne 003C,EN118RE,EN11
