Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Exeter 009A,EX11SE,EX11
England,Exeter 008C,EX11HX,EX11
England,East Devon 008D,EX111QH,EX11
England,East Devon 008C,EX111FU,EX11
England,East Devon 013A,EX111SE,EX11
England,Exeter 008C,EX11NS,EX11
England,Exeter 008C,EX11WF,EX11
England,East Devon 008B,EX111RL,EX11
England,Exeter 008C,EX11HU,EX11
England,Exeter 008C,EX11NX,EX11
England,East Devon 004G,EX111TR,EX11
England,East Devon 008C,EX111AF,EX11
England,East Devon 008D,EX111QN,EX11
England,Exeter 008C,EX11BH,EX11
England,East Devon 008E,EX111DX,EX11
England,East Devon 004G,EX111QU,EX11
England,East Devon 008B,EX111XG,EX11
England,East Devon 004F,EX111LF,EX11
England,East Devon 008C,EX111BN,EX11
England,East Devon 004G,EX111LH,EX11
England,Exeter 008C,EX11BU,EX11
England,East Devon 008C,EX111QP,EX11
England,East Devon 008E,EX111EL,EX11
England,East Devon 008E,EX111BU,EX11
England,East Devon 008B,EX111QF,EX11
England,East Devon 008D,EX111QQ,EX11
England,East Devon 008C,EX111AE,EX11
England,Exeter 008C,EX11UG,EX11
England,East Devon 008C,EX111BG,EX11
England,Exeter 008C,EX11AE,EX11
England,Exeter 008C,EX11PE,EX11
England,Exeter 008B,EX11SR,EX11
England,East Devon 008C,EX111XY,EX11
England,Exeter 008B,EX11ZW,EX11
England,East Devon 008A,EX111TU,EX11
England,Exeter 008C,EX11RQ,EX11
England,Exeter 008C,EX11DN,EX11
England,East Devon 008A,EX111UA,EX11
England,Exeter 008C,EX11GA,EX11
England,East Devon 008D,EX111JL,EX11
England,East Devon 008E,EX111EH,EX11
England,East Devon 008D,EX111SZ,EX11
England,East Devon 008E,EX111DA,EX11
England,East Devon 008C,EX111RG,EX11
England,Exeter 008B,EX11TG,EX11
England,East Devon 004G,EX111NQ,EX11
England,East Devon 008E,EX111WZ,EX11
England,East Devon 004G,EX111LQ,EX11
England,Exeter 008C,EX11HY,EX11
England,East Devon 008B,EX111XL,EX11
England,East Devon 008A,EX111UB,EX11
England,Exeter 008C,EX11AT,EX11
England,Exeter 008B,EX11XP,EX11
England,East Devon 008C,EX111AQ,EX11
England,Exeter 008B,EX11BX,EX11
England,East Devon 008D,EX111TG,EX11
England,East Devon 008B,EX111FG,EX11
England,East Devon 008B,EX111UG,EX11
England,East Devon 008B,EX111SW,EX11
England,East Devon 008E,EX111DS,EX11
England,Exeter 008C,EX11BD,EX11
England,Exeter 008C,EX11QJ,EX11
England,East Devon 008B,EX111PT,EX11
England,East Devon 008E,EX111WB,EX11
England,East Devon 013A,EX111SG,EX11
England,Exeter 008C,EX11GN,EX11
England,East Devon 008E,EX111HQ,EX11
England,East Devon 008D,EX111TH,EX11
England,East Devon 004G,EX111RD,EX11
England,East Devon 008C,EX111BA,EX11
England,East Devon 008C,EX111AS,EX11
England,East Devon 004G,EX111NZ,EX11
England,East Devon 008B,EX111XQ,EX11
England,East Devon 004G,EX111UR,EX11
England,East Devon 008B,EX111RS,EX11
England,East Devon 004G,EX111LW,EX11
England,East Devon 008B,EX111RW,EX11
England,East Devon 013A,EX111RZ,EX11
England,East Devon 013A,EX111SB,EX11
England,East Devon 008C,EX111GU,EX11
England,East Devon 008D,EX111JB,EX11
England,Exeter 008C,EX11DX,EX11
England,East Devon 008C,EX111AU,EX11
England,East Devon 008C,EX111YB,EX11
England,East Devon 008E,EX111EU,EX11
England,East Devon 008D,EX111PP,EX11
England,East Devon 008A,EX111XX,EX11
England,East Devon 004G,EX111TP,EX11
England,East Devon 008B,EX111XD,EX11
England,Exeter 008C,EX11QD,EX11
England,Exeter 008C,EX11DU,EX11
England,East Devon 008A,EX111TZ,EX11
England,East Devon 008A,EX111UY,EX11
England,Exeter 008C,EX11DT,EX11
England,Exeter 008C,EX11LF,EX11
England,East Devon 008B,EX111QB,EX11
England,East Devon 008A,EX111UJ,EX11
England,East Devon 004F,EX111LR,EX11
England,East Devon 008D,EX111TF,EX11
England,East Devon 008E,EX111FD,EX11
England,East Devon 008D,EX111PL,EX11
England,East Devon 004G,EX111QX,EX11
England,East Devon 008E,EX111JF,EX11
England,Exeter 008C,EX11JD,EX11
England,East Devon 008B,EX111PX,EX11
England,East Devon 008E,EX111EG,EX11
England,East Devon 008E,EX111EA,EX11
England,Exeter 008B,EX11TU,EX11
England,East Devon 008C,EX111AR,EX11
England,East Devon 008A,EX111NT,EX11
England,East Devon 008B,EX111UD,EX11
England,East Devon 008D,EX111GA,EX11
England,East Devon 004G,EX111QT,EX11
England,Exeter 008C,EX11GG,EX11
England,Exeter 008C,EX11BN,EX11
England,Exeter 008C,EX11QU,EX11
England,East Devon 008E,EX111FJ,EX11
England,East Devon 008B,EX111SR,EX11
England,East Devon 004G,EX111JS,EX11
England,East Devon 008C,EX111GZ,EX11
England,Exeter 008C,EX11AL,EX11
England,Exeter 009A,EX11TA,EX11
England,East Devon 004G,EX111NE,EX11
England,East Devon 008C,EX111AP,EX11
England,East Devon 008E,EX111BP,EX11
England,East Devon 008D,EX111TB,EX11
England,Exeter 008C,EX11LT,EX11
England,East Devon 008E,EX111ZH,EX11
England,East Devon 008D,EX111HW,EX11
England,Exeter 009A,EX11TQ,EX11
England,East Devon 008D,EX111HL,EX11
England,Exeter 008C,EX11NT,EX11
England,East Devon 013A,EX111SD,EX11
England,Exeter 008C,EX11PG,EX11
England,Exeter 008C,EX11LX,EX11
England,East Devon 004G,EX111PF,EX11
England,East Devon 008B,EX111ST,EX11
England,East Devon 008E,EX111DU,EX11
England,Exeter 008C,EX11JL,EX11
England,East Devon 008C,EX111AW,EX11
England,Exeter 008C,EX11LR,EX11
England,East Devon 004G,EX111LY,EX11
England,Exeter 008B,EX11WB,EX11
England,East Devon 008D,EX111PH,EX11
England,East Devon 008A,EX111JY,EX11
England,East Devon 008E,EX111HD,EX11
England,East Devon 008A,EX111JU,EX11
England,East Devon 008D,EX111TJ,EX11
England,Exeter 008C,EX11HJ,EX11
England,Exeter 009A,EX11SH,EX11
England,Exeter 008C,EX11DB,EX11
England,Exeter 008C,EX11ED,EX11
England,East Devon 004G,EX111LN,EX11
England,Exeter 008B,EX11YZ,EX11
England,East Devon 008A,EX111XW,EX11
England,Exeter 008C,EX11EQ,EX11
England,Exeter 009A,EX11TE,EX11
England,East Devon 004G,EX111FE,EX11
England,East Devon 004G,EX111NJ,EX11
England,East Devon 008B,EX111QD,EX11
England,East Devon 008C,EX111BH,EX11
England,East Devon 008C,EX111HE,EX11
England,Exeter 008C,EX11HA,EX11
England,Exeter 008C,EX11SN,EX11
England,East Devon 008E,EX111JW,EX11
England,Exeter 008C,EX11BG,EX11
England,Exeter 008B,EX11WN,EX11
England,East Devon 004F,EX111LT,EX11
England,East Devon 008D,EX111SY,EX11
England,East Devon 008C,EX111DL,EX11
England,Exeter 008C,EX11FD,EX11
England,East Devon 008B,EX111TY,EX11
England,Exeter 008B,EX11SJ,EX11
England,East Devon 008C,EX111AL,EX11
England,Exeter 008C,EX11DJ,EX11
England,East Devon 008E,EX111HF,EX11
England,East Devon 004G,EX111JT,EX11
England,Exeter 008C,EX11EY,EX11
England,East Devon 008B,EX111QA,EX11
England,East Devon 008C,EX111HX,EX11
England,East Devon 008C,EX111YD,EX11
England,Exeter 009A,EX11SQ,EX11
England,Exeter 008C,EX11DL,EX11
England,East Devon 008B,EX111SP,EX11
England,East Devon 008D,EX111FN,EX11
England,East Devon 004G,EX111LL,EX11
England,East Devon 004F,EX111LU,EX11
England,East Devon 008A,EX111GF,EX11
England,Exeter 009A,EX11SB,EX11
