Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Blackpool 010E,FY19JB,FY19
England,Blackpool 010E,FY19HW,FY19
England,Blackpool 010E,FY19JE,FY19
England,Blackpool 010E,FY19JG,FY19
England,Blackpool 010E,FY19SX,FY19
England,Blackpool 010E,FY19DP,FY19
England,Blackpool 010E,FY19TB,FY19
England,Blackpool 010E,FY19SQ,FY19
England,Blackpool 010E,FY19JL,FY19
England,Blackpool 010E,FY19SF,FY19
England,Blackpool 010E,FY19HT,FY19
England,Blackpool 010E,FY19SR,FY19
England,Blackpool 010E,FY19DZ,FY19
England,Blackpool 010E,FY19ES,FY19
England,Blackpool 010E,FY19HN,FY19
England,Blackpool 010E,FY19JH,FY19
England,Blackpool 010E,FY19JA,FY19
England,Blackpool 010E,FY19EU,FY19
England,Blackpool 010E,FY19HX,FY19
England,Blackpool 010E,FY19SH,FY19
England,Blackpool 010E,FY19GA,FY19
England,Blackpool 010E,FY19GW,FY19
England,Blackpool 010E,FY19SJ,FY19
England,Blackpool 010E,FY19HU,FY19
England,Blackpool 010E,FY19EG,FY19
England,Blackpool 010E,FY19SZ,FY19
England,Blackpool 010E,FY19SY,FY19
England,Blackpool 010E,FY19FX,FY19
England,Blackpool 010E,FY19SA,FY19
England,Blackpool 010E,FY19ST,FY19
England,Blackpool 010E,FY19SS,FY19
England,Blackpool 010E,FY19HY,FY19
England,Blackpool 010E,FY19ET,FY19
England,Blackpool 010E,FY19JJ,FY19
England,Blackpool 010E,FY19HP,FY19
England,Blackpool 010E,FY19SG,FY19
England,Blackpool 010E,FY19EE,FY19
England,Blackpool 010E,FY19DB,FY19
England,Blackpool 010E,FY19SU,FY19
England,Blackpool 010E,FY19HZ,FY19
England,Blackpool 010E,FY19SN,FY19
England,Blackpool 010E,FY19JP,FY19
England,Blackpool 010E,FY19SP,FY19
England,Blackpool 010E,FY19HF,FY19
England,Blackpool 010E,FY19ZZ,FY19
England,Blackpool 010E,FY19JF,FY19
England,Blackpool 010E,FY19SD,FY19
England,Blackpool 010E,FY19FJ,FY19
England,Blackpool 010E,FY19SW,FY19
England,Blackpool 010E,FY19TD,FY19
England,Blackpool 010E,FY19GJ,FY19
England,Blackpool 010E,FY19JN,FY19
England,Blackpool 010E,FY19TE,FY19
England,Blackpool 010E,FY19GU,FY19
England,Blackpool 010E,FY19GY,FY19
England,Blackpool 010E,FY19FS,FY19
England,Blackpool 010E,FY19GN,FY19
England,Blackpool 010E,FY19TA,FY19
England,Blackpool 010E,FY19SL,FY19
England,Blackpool 010E,FY19HS,FY19
England,Blackpool 010E,FY19SB,FY19
England,Blackpool 010E,FY19SE,FY19
