Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Waverley 012A,GU84AF,GU84
England,Waverley 012A,GU84AP,GU84
England,Waverley 015B,GU84NB,GU84
England,Waverley 012A,GU84JP,GU84
England,Waverley 015B,GU84NW,GU84
England,Waverley 015B,GU84UT,GU84
England,Waverley 015D,GU84XN,GU84
England,Waverley 012D,GU84DR,GU84
England,Waverley 015D,GU84SR,GU84
England,Waverley 015B,GU84LL,GU84
England,Waverley 015D,GU84SW,GU84
England,Waverley 015C,GU84RX,GU84
England,Waverley 015C,GU84XL,GU84
England,Waverley 015B,GU84UP,GU84
England,Waverley 015B,GU84XU,GU84
England,Waverley 012D,GU84DW,GU84
England,Waverley 015B,GU84NY,GU84
England,Waverley 012D,GU84DN,GU84
England,Waverley 007A,GU84ZR,GU84
England,Waverley 015B,GU84TB,GU84
England,Waverley 007A,GU84FF,GU84
England,Waverley 015B,GU84NX,GU84
England,Waverley 015D,GU84TL,GU84
England,Chichester 002B,GU84SZ,GU84
England,Waverley 015B,GU84ND,GU84
England,Waverley 015D,GU84GH,GU84
England,Waverley 015D,GU84TT,GU84
England,Waverley 015D,GU84QE,GU84
England,Waverley 012D,GU84HH,GU84
England,Waverley 012D,GU84EP,GU84
England,Waverley 015C,GU84XJ,GU84
England,Waverley 015D,GU84QF,GU84
England,Waverley 007A,GU84FH,GU84
England,Waverley 012D,GU84HD,GU84
England,Waverley 015D,GU84PY,GU84
England,Waverley 012A,GU84JT,GU84
England,Waverley 015D,GU84TZ,GU84
England,Waverley 015D,GU84UB,GU84
England,Waverley 015D,GU84SP,GU84
England,Waverley 015B,GU84LB,GU84
England,Waverley 015C,GU84SG,GU84
England,Waverley 012A,GU84BA,GU84
England,Waverley 015B,GU84XX,GU84
England,Waverley 015D,GU84TP,GU84
England,Chichester 002B,GU84TA,GU84
England,Waverley 015B,GU84LJ,GU84
England,Waverley 015D,GU84QA,GU84
England,Waverley 015C,GU84RA,GU84
England,Waverley 012A,GU84BL,GU84
England,Waverley 015B,GU84PF,GU84
England,Waverley 012A,GU84BT,GU84
England,Waverley 015B,GU84LW,GU84
England,Waverley 015C,GU84QP,GU84
England,Waverley 015D,GU84UD,GU84
England,Waverley 015B,GU84LS,GU84
England,Waverley 015C,GU84RG,GU84
England,Waverley 015D,GU84QQ,GU84
England,Waverley 015C,GU84QT,GU84
England,Waverley 015B,GU84LG,GU84
England,Waverley 015C,GU84SB,GU84
England,Waverley 015B,GU84BW,GU84
England,Waverley 015B,GU84NZ,GU84
England,Waverley 015B,GU84PJ,GU84
