Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Harrow 002D,HA79HS,HA79
England,Harrow 002D,HA79FF,HA79
England,Harrow 002D,HA79AF,HA79
England,Harrow 002D,HA79FQ,HA79
England,Harrow 002D,HA79HW,HA79
England,Harrow 002D,HA79FY,HA79
England,Harrow 002D,HA79ER,HA79
England,Harrow 002D,HA79FB,HA79
England,Harrow 002D,HA79FA,HA79
England,Harrow 002D,HA79FG,HA79
England,Harrow 002D,HA79FH,HA79
England,Harrow 002D,HA79HT,HA79
England,Harrow 002D,HA79FD,HA79
England,Harrow 002D,HA79DP,HA79
England,Harrow 002D,HA79EY,HA79
England,Harrow 002D,HA79BE,HA79
England,Harrow 002D,HA79JA,HA79
England,Harrow 002D,HA79GT,HA79
England,Harrow 002D,HA79HL,HA79
England,Harrow 002D,HA79HP,HA79
England,Harrow 002D,HA79HA,HA79
England,Harrow 002D,HA79GL,HA79
England,Harrow 002D,HA79GG,HA79
England,Harrow 002D,HA79DT,HA79
England,Harrow 002D,HA79HH,HA79
England,Harrow 002D,HA79HZ,HA79
England,Harrow 002D,HA79FE,HA79
