Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Calderdale 023A,HD63TJ,HD63
England,Calderdale 024D,HD63HL,HD63
England,Calderdale 023A,HD63SA,HD63
England,Calderdale 023D,HD63DF,HD63
England,Calderdale 024A,HD63LP,HD63
England,Calderdale 024C,HD63PG,HD63
England,Calderdale 024E,HD63UZ,HD63
England,Calderdale 024E,HD63QT,HD63
England,Calderdale 024E,HD63LY,HD63
England,Calderdale 024E,HD63QQ,HD63
England,Calderdale 024A,HD63QX,HD63
England,Calderdale 024A,HD63QY,HD63
England,Calderdale 023B,HD63TY,HD63
England,Calderdale 023B,HD63TX,HD63
England,Kirklees 022A,HD63QP,HD63
England,Calderdale 023D,HD63DX,HD63
England,Calderdale 024A,HD63JT,HD63
England,Calderdale 023C,HD63DQ,HD63
England,Calderdale 023A,HD63SE,HD63
England,Calderdale 024D,HD63UT,HD63
England,Calderdale 024C,HD63NT,HD63
England,Calderdale 023A,HD63RL,HD63
England,Calderdale 019E,HD63WF,HD63
England,Calderdale 024A,HD63LB,HD63
England,Calderdale 024D,HD63XF,HD63
England,Calderdale 024D,HD63PB,HD63
England,Calderdale 024D,HD63EU,HD63
England,Calderdale 019E,HD63RD,HD63
England,Calderdale 024D,HD63NR,HD63
England,Calderdale 023B,HD63RQ,HD63
England,Calderdale 023A,HD63RT,HD63
England,Calderdale 023A,HD63RH,HD63
England,Calderdale 024A,HD63JU,HD63
England,Calderdale 024A,HD63JP,HD63
England,Calderdale 023A,HD63TN,HD63
England,Calderdale 024C,HD63JQ,HD63
England,Calderdale 024D,HD63NE,HD63
England,Calderdale 024D,HD63UR,HD63
England,Calderdale 024D,HD63HN,HD63
England,Kirklees 022A,HD63QW,HD63
England,Calderdale 023C,HD63BW,HD63
England,Calderdale 024A,HD63PX,HD63
England,Calderdale 023A,HD63SB,HD63
England,Calderdale 024E,HD63XE,HD63
England,Calderdale 023C,HD63EQ,HD63
England,Calderdale 024E,HD63XD,HD63
England,Calderdale 024D,HD63US,HD63
England,Calderdale 023A,HD63SQ,HD63
England,Calderdale 023B,HD63SX,HD63
England,Kirklees 027C,HD63QN,HD63
England,Calderdale 024A,HD63QB,HD63
England,Calderdale 019E,HD63RA,HD63
England,Calderdale 023D,HD63HT,HD63
England,Calderdale 023B,HD63SS,HD63
England,Calderdale 024E,HD63PS,HD63
England,Calderdale 024D,HD63XH,HD63
England,Calderdale 024D,HD63EX,HD63
England,Calderdale 023D,HD63ES,HD63
England,Calderdale 023C,HD63AA,HD63
England,Calderdale 023D,HD63EN,HD63
England,Calderdale 024A,HD63JA,HD63
England,Calderdale 024D,HD63LZ,HD63
England,Calderdale 023D,HD63AL,HD63
England,Calderdale 024D,HD63NW,HD63
England,Calderdale 024C,HD63NX,HD63
England,Calderdale 023B,HD63TD,HD63
England,Calderdale 023B,HD63RF,HD63
England,Calderdale 023A,HD63RU,HD63
England,Calderdale 019E,HD63UL,HD63
England,Calderdale 024C,HD63LA,HD63
England,Calderdale 019E,HD63UD,HD63
England,Calderdale 023B,HD63RG,HD63
England,Calderdale 023C,HD63DT,HD63
England,Calderdale 024A,HD63LG,HD63
England,Calderdale 024E,HD63PP,HD63
England,Calderdale 023B,HD63TA,HD63
England,Calderdale 024C,HD63NS,HD63
England,Calderdale 024C,HD63JB,HD63
England,Calderdale 024D,HD63LW,HD63
England,Calderdale 019E,HD63RB,HD63
England,Calderdale 023C,HD63DN,HD63
England,Calderdale 024A,HD63LE,HD63
England,Calderdale 024C,HD63PH,HD63
England,Calderdale 024E,HD63LS,HD63
England,Calderdale 024E,HD63LX,HD63
