Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Harrogate 007B,HG59JH,HG59
England,Harrogate 007C,HG59AQ,HG59
England,Harrogate 007B,HG59HX,HG59
England,Harrogate 007D,HG59BN,HG59
England,Harrogate 007D,HG59BH,HG59
England,Harrogate 007B,HG59JU,HG59
England,Harrogate 007C,HG59BZ,HG59
England,Harrogate 007B,HG59JN,HG59
England,Harrogate 007B,HG59HH,HG59
England,Harrogate 007D,HG59DS,HG59
England,Harrogate 007D,HG59DR,HG59
England,Harrogate 007D,HG59EB,HG59
England,Harrogate 007D,HG59EQ,HG59
England,Harrogate 007D,HG59EJ,HG59
England,Harrogate 007D,HG59BL,HG59
England,Harrogate 009C,HG59AE,HG59
England,Harrogate 007B,HG59NL,HG59
England,Harrogate 007C,HG59DD,HG59
England,Harrogate 007C,HG59LS,HG59
England,Harrogate 007B,HG59LE,HG59
England,Harrogate 009C,HG59AF,HG59
England,Harrogate 009C,HG59AD,HG59
England,Harrogate 007B,HG59HR,HG59
England,Harrogate 007B,HG59HF,HG59
England,Harrogate 007C,HG59LY,HG59
England,Harrogate 009C,HG59AU,HG59
England,Harrogate 007D,HG59DT,HG59
England,Harrogate 007B,HG59JJ,HG59
England,Harrogate 007B,HG59JP,HG59
England,Harrogate 007B,HG59HW,HG59
England,Harrogate 007C,HG59HA,HG59
England,Harrogate 007B,HG59HZ,HG59
England,Harrogate 009C,HG59AG,HG59
England,Harrogate 007B,HG59JQ,HG59
England,Harrogate 007D,HG59EA,HG59
England,Harrogate 007B,HG59NG,HG59
England,Harrogate 007C,HG59BB,HG59
England,Harrogate 007B,HG59HJ,HG59
England,Harrogate 009C,HG59AZ,HG59
England,Harrogate 007B,HG59JR,HG59
England,Harrogate 007B,HG59HU,HG59
England,Harrogate 007C,HG59BY,HG59
England,Harrogate 007D,HG59DX,HG59
England,Harrogate 007D,HG59ES,HG59
England,Harrogate 007B,HG59HY,HG59
England,Harrogate 007B,HG59JD,HG59
England,Harrogate 007C,HG59AX,HG59
England,Harrogate 007B,HG59JY,HG59
England,Harrogate 007D,HG59EU,HG59
England,Harrogate 007C,HG59BX,HG59
England,Harrogate 007C,HG59HQ,HG59
England,Harrogate 007B,HG59LB,HG59
England,Harrogate 007C,HG59LX,HG59
England,Harrogate 007D,HG59EH,HG59
England,Harrogate 007D,HG59BS,HG59
England,Harrogate 007D,HG59BQ,HG59
England,Harrogate 007B,HG59LW,HG59
England,Harrogate 007B,HG59JZ,HG59
England,Harrogate 007C,HG59HE,HG59
England,Harrogate 007B,HG59LG,HG59
England,Harrogate 007B,HG59LL,HG59
England,Harrogate 007C,HG59AJ,HG59
England,Harrogate 007B,HG59JX,HG59
England,Harrogate 007C,HG59AL,HG59
England,Harrogate 007C,HG59BU,HG59
England,Harrogate 007B,HG59JT,HG59
England,Harrogate 007B,HG59LH,HG59
England,Harrogate 007C,HG59NQ,HG59
England,Harrogate 007D,HG59EL,HG59
England,Harrogate 007D,HG59ET,HG59
England,Harrogate 007B,HG59HL,HG59
England,Harrogate 009C,HG59AW,HG59
England,Harrogate 009C,HG59AA,HG59
England,Harrogate 007C,HG59NE,HG59
England,Harrogate 007C,HG59AP,HG59
England,Harrogate 007B,HG59NH,HG59
