Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Herefordshire 019A,HR82BX,HR82
England,Herefordshire 018C,HR82SF,HR82
England,Herefordshire 019C,HR82DY,HR82
England,Herefordshire 019A,HR82BD,HR82
England,Herefordshire 019D,HR82EJ,HR82
England,Herefordshire 019B,HR82HP,HR82
England,Herefordshire 019B,HR82XD,HR82
England,Herefordshire 018C,HR82RG,HR82
England,Herefordshire 018C,HR82RS,HR82
England,Herefordshire 019E,HR82UW,HR82
England,Herefordshire 018C,HR82LB,HR82
England,Herefordshire 018C,HR82SQ,HR82
England,Herefordshire 018C,HR82UG,HR82
England,Herefordshire 018C,HR82RQ,HR82
England,Herefordshire 018C,HR82RY,HR82
England,Herefordshire 019C,HR82XE,HR82
England,Herefordshire 019C,HR82HJ,HR82
England,Herefordshire 019E,HR82FA,HR82
England,Herefordshire 019E,HR82DU,HR82
England,Herefordshire 018C,HR82RW,HR82
England,Herefordshire 018C,HR82QB,HR82
England,Herefordshire 018C,HR82RH,HR82
England,Herefordshire 019C,HR82HL,HR82
England,Herefordshire 018C,HR82TX,HR82
England,Herefordshire 019F,HR82YZ,HR82
England,Herefordshire 018D,HR82NT,HR82
England,Herefordshire 019B,HR82LD,HR82
England,Herefordshire 018C,HR82QE,HR82
England,Herefordshire 019F,HR82YN,HR82
England,Herefordshire 019A,HR82AG,HR82
England,Herefordshire 019B,HR82JD,HR82
England,Herefordshire 018C,HR82UE,HR82
England,Herefordshire 018C,HR82RJ,HR82
England,Herefordshire 018C,HR82SH,HR82
England,Herefordshire 018C,HR82RL,HR82
England,Herefordshire 019C,HR82XR,HR82
England,Herefordshire 019A,HR82BN,HR82
England,Herefordshire 018C,HR82SD,HR82
England,Herefordshire 019E,HR82UU,HR82
England,Herefordshire 019F,HR82ES,HR82
England,Herefordshire 019E,HR82FD,HR82
England,Herefordshire 019C,HR82HG,HR82
England,Herefordshire 018C,HR82TT,HR82
England,Herefordshire 019C,HR82AL,HR82
England,Herefordshire 019C,HR82BL,HR82
England,Herefordshire 018C,HR82RD,HR82
England,Herefordshire 019B,HR82HX,HR82
England,Herefordshire 018C,HR82JS,HR82
England,Herefordshire 019D,HR82DT,HR82
England,Herefordshire 019A,HR82BY,HR82
England,Herefordshire 018D,HR82NN,HR82
England,Herefordshire 019D,HR82DH,HR82
England,Herefordshire 019A,HR82AP,HR82
England,Herefordshire 018C,HR82TU,HR82
England,Herefordshire 019C,HR82EZ,HR82
England,Herefordshire 018D,HR82ND,HR82
England,Herefordshire 019E,HR82PN,HR82
England,Herefordshire 019C,HR82EX,HR82
England,Herefordshire 019C,HR82ET,HR82
England,Herefordshire 019E,HR82FP,HR82
England,Herefordshire 018D,HR82NU,HR82
England,Herefordshire 019A,HR82AH,HR82
England,Herefordshire 019D,HR82JF,HR82
England,Herefordshire 019E,HR82FE,HR82
England,Herefordshire 018D,HR82PG,HR82
England,Herefordshire 019D,HR82XW,HR82
England,Herefordshire 018D,HR82QS,HR82
England,Herefordshire 019B,HR82HT,HR82
England,Herefordshire 018C,HR82RE,HR82
England,Herefordshire 018C,HR82JR,HR82
England,Herefordshire 019F,HR82ZT,HR82
England,Herefordshire 019F,HR82PR,HR82
England,Herefordshire 018B,HR82RP,HR82
England,Herefordshire 019E,HR82UP,HR82
England,Herefordshire 019C,HR82JH,HR82
England,Herefordshire 019A,HR82FY,HR82
England,Herefordshire 019D,HR82HE,HR82
England,Herefordshire 018D,HR82PB,HR82
England,Herefordshire 018D,HR82NP,HR82
England,Herefordshire 018C,HR82QG,HR82
England,Herefordshire 019A,HR82BP,HR82
England,Herefordshire 005G,HR82UA,HR82
England,Herefordshire 019F,HR82YD,HR82
England,Herefordshire 018C,HR82RA,HR82
England,Herefordshire 018C,HR82QJ,HR82
England,Herefordshire 019F,HR82ZB,HR82
England,Herefordshire 019A,HR82GJ,HR82
