Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Kingston upon Hull 008E,HU68HZ,HU68
England,Kingston upon Hull 008F,HU68EL,HU68
England,Kingston upon Hull 014E,HU68ND,HU68
England,Kingston upon Hull 008E,HU68HS,HU68
England,Kingston upon Hull 008G,HU68JL,HU68
England,Kingston upon Hull 014E,HU68NH,HU68
England,Kingston upon Hull 014E,HU68NB,HU68
England,Kingston upon Hull 008A,HU68AD,HU68
England,East Riding of Yorkshire 023C,HU68TE,HU68
England,Kingston upon Hull 014E,HU68NP,HU68
England,Kingston upon Hull 008A,HU68DQ,HU68
England,Kingston upon Hull 012C,HU68QA,HU68
England,East Riding of Yorkshire 023C,HU68TB,HU68
England,Kingston upon Hull 014E,HU68PP,HU68
England,Kingston upon Hull 008B,HU68ST,HU68
England,Kingston upon Hull 008G,HU68JU,HU68
England,Kingston upon Hull 008G,HU68PA,HU68
England,Kingston upon Hull 008G,HU68JS,HU68
England,East Riding of Yorkshire 023C,HU68SL,HU68
England,Kingston upon Hull 008E,HU68HU,HU68
England,Kingston upon Hull 014E,HU68QX,HU68
England,Kingston upon Hull 008F,HU68BQ,HU68
England,Kingston upon Hull 008G,HU68LF,HU68
England,Kingston upon Hull 008G,HU68AQ,HU68
England,Kingston upon Hull 008A,HU68DA,HU68
England,Kingston upon Hull 008F,HU68EJ,HU68
England,Kingston upon Hull 008F,HU68EE,HU68
England,Kingston upon Hull 008G,HU68PE,HU68
England,Kingston upon Hull 014E,HU68QU,HU68
England,Kingston upon Hull 008E,HU68HP,HU68
England,East Riding of Yorkshire 023C,HU68TQ,HU68
England,Kingston upon Hull 014E,HU68NE,HU68
England,Kingston upon Hull 014E,HU68NJ,HU68
England,Kingston upon Hull 008F,HU68EF,HU68
England,Kingston upon Hull 008G,HU68JF,HU68
England,Kingston upon Hull 008B,HU68TH,HU68
England,Kingston upon Hull 008G,HU68SE,HU68
England,Kingston upon Hull 008E,HU68JB,HU68
England,Kingston upon Hull 008G,HU68AH,HU68
England,Kingston upon Hull 008F,HU68JQ,HU68
England,Kingston upon Hull 008B,HU68BG,HU68
England,Kingston upon Hull 014E,HU68QY,HU68
England,Kingston upon Hull 008B,HU68SZ,HU68
England,East Riding of Yorkshire 023E,HU68RB,HU68
England,Kingston upon Hull 008B,HU68SY,HU68
England,Kingston upon Hull 008A,HU68EX,HU68
England,Kingston upon Hull 008A,HU68DH,HU68
England,Kingston upon Hull 008B,HU68AR,HU68
England,East Riding of Yorkshire 023E,HU68RG,HU68
England,Kingston upon Hull 008E,HU68HR,HU68
England,Kingston upon Hull 014E,HU68JN,HU68
England,Kingston upon Hull 008G,HU68NX,HU68
England,Kingston upon Hull 008F,HU68DZ,HU68
England,East Riding of Yorkshire 023C,HU68TG,HU68
England,Kingston upon Hull 008E,HU68DS,HU68
England,Kingston upon Hull 008G,HU68NY,HU68
England,Kingston upon Hull 008B,HU68SX,HU68
England,Kingston upon Hull 008A,HU68EN,HU68
England,Kingston upon Hull 008G,HU68NT,HU68
England,Kingston upon Hull 008G,HU68PN,HU68
England,Kingston upon Hull 014E,HU68NA,HU68
England,Kingston upon Hull 008B,HU68AY,HU68
England,Kingston upon Hull 008G,HU68LJ,HU68
