Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Calderdale 018A,HX39TZ,HX39
England,Calderdale 018B,HX39SW,HX39
England,Calderdale 018A,HX39HG,HX39
England,Calderdale 018A,HX39AN,HX39
England,Calderdale 018C,HX39PH,HX39
England,Calderdale 018E,HX39DN,HX39
England,Calderdale 018B,HX39RU,HX39
England,Calderdale 018B,HX39TR,HX39
England,Calderdale 018B,HX39DF,HX39
England,Calderdale 018E,HX39JU,HX39
England,Calderdale 018C,HX39QH,HX39
England,Calderdale 019C,HX39SZ,HX39
England,Calderdale 018B,HX39SS,HX39
England,Calderdale 018C,HX39NS,HX39
England,Calderdale 018B,HX39TL,HX39
England,Calderdale 018E,HX39LQ,HX39
England,Calderdale 018B,HX39QT,HX39
England,Calderdale 018D,HX39BW,HX39
England,Calderdale 018D,HX39BH,HX39
England,Calderdale 018A,HX39JB,HX39
England,Calderdale 018A,HX39AP,HX39
England,Calderdale 018D,HX39JR,HX39
England,Calderdale 018C,HX39TQ,HX39
England,Calderdale 018C,HX39QB,HX39
England,Calderdale 018C,HX39PZ,HX39
England,Calderdale 018E,HX39DX,HX39
England,Calderdale 018A,HX39HU,HX39
England,Calderdale 018A,HX39ET,HX39
England,Calderdale 018C,HX39NJ,HX39
England,Calderdale 018A,HX39JQ,HX39
England,Calderdale 018D,HX39DQ,HX39
England,Calderdale 018E,HX39DJ,HX39
England,Calderdale 018C,HX39NN,HX39
England,Calderdale 018C,HX39NH,HX39
England,Calderdale 018D,HX39DA,HX39
England,Calderdale 018D,HX39AR,HX39
England,Calderdale 018B,HX39QU,HX39
England,Calderdale 018B,HX39SN,HX39
England,Calderdale 018E,HX39LB,HX39
England,Calderdale 018A,HX39JG,HX39
England,Calderdale 018B,HX39SG,HX39
England,Calderdale 018E,HX39LR,HX39
England,Calderdale 018A,HX39HT,HX39
England,Calderdale 019C,HX39TA,HX39
England,Calderdale 018B,HX39SD,HX39
England,Calderdale 018B,HX39RE,HX39
England,Calderdale 018B,HX39RH,HX39
England,Calderdale 018D,HX39AJ,HX39
England,Calderdale 018A,HX39AG,HX39
England,Calderdale 018E,HX39DT,HX39
England,Calderdale 018D,HX39AX,HX39
England,Calderdale 018B,HX39RD,HX39
England,Calderdale 018D,HX39AZ,HX39
England,Calderdale 018A,HX39HX,HX39
England,Calderdale 018B,HX39ST,HX39
England,Calderdale 018A,HX39JH,HX39
England,Calderdale 018C,HX39SQ,HX39
England,Calderdale 018C,HX39SF,HX39
England,Calderdale 018D,HX39AH,HX39
England,Calderdale 018C,HX39PA,HX39
England,Calderdale 018B,HX39SP,HX39
England,Calderdale 018D,HX39EU,HX39
England,Calderdale 018B,HX39QP,HX39
England,Calderdale 018A,HX39HY,HX39
England,Calderdale 018C,HX39NP,HX39
England,Calderdale 018C,HX39UD,HX39
England,Calderdale 018E,HX39EE,HX39
England,Calderdale 018E,HX39BT,HX39
England,Calderdale 018C,HX39UF,HX39
England,Calderdale 018D,HX39BG,HX39
England,Calderdale 018E,HX39DU,HX39
England,Calderdale 018B,HX39RX,HX39
England,Calderdale 018C,HX39PB,HX39
England,Calderdale 018D,HX39AT,HX39
England,Calderdale 018C,HX39UB,HX39
England,Calderdale 018C,HX39XB,HX39
England,Calderdale 018C,HX39PQ,HX39
England,Calderdale 019C,HX39TB,HX39
England,Calderdale 018C,HX39TF,HX39
England,Calderdale 018E,HX39EJ,HX39
England,Calderdale 018B,HX39SL,HX39
England,Calderdale 018B,HX39SA,HX39
England,Calderdale 018C,HX39NX,HX39
England,Calderdale 018A,HX39PT,HX39
England,Calderdale 018E,HX39DR,HX39
England,Calderdale 018D,HX39BB,HX39
England,Calderdale 018C,HX39PL,HX39
England,Calderdale 018E,HX39DP,HX39
England,Calderdale 018B,HX39TD,HX39
England,Calderdale 018A,HX39HR,HX39
England,Calderdale 018C,HX39NU,HX39
England,Calderdale 018D,HX39EP,HX39
England,Calderdale 018E,HX39LD,HX39
England,Calderdale 018C,HX39TE,HX39
England,Calderdale 018C,HX39QL,HX39
