Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Ipswich 013B,IP20RJ,IP20
England,South Norfolk 013B,IP209DZ,IP20
England,Ipswich 010B,IP20EE,IP20
England,South Norfolk 014F,IP209LF,IP20
England,Babergh 005B,IP20AZ,IP20
England,South Norfolk 013B,IP209HA,IP20
England,Ipswich 013C,IP20TX,IP20
England,South Norfolk 012C,IP200EL,IP20
England,South Norfolk 013C,IP209ES,IP20
England,South Norfolk 013D,IP209HY,IP20
England,Ipswich 010D,IP20LF,IP20
England,Ipswich 010B,IP20UD,IP20
England,South Norfolk 012C,IP200AX,IP20
England,Mid Suffolk 003A,IP200NN,IP20
England,Ipswich 010D,IP20LJ,IP20
England,Ipswich 010D,IP20LQ,IP20
England,Waveney 013D,IP200PJ,IP20
England,South Norfolk 013A,IP209PH,IP20
England,South Norfolk 013A,IP209NW,IP20
England,South Norfolk 013C,IP209HL,IP20
England,Ipswich 010D,IP20PQ,IP20
England,Ipswich 010D,IP20NW,IP20
England,South Norfolk 014F,IP209LL,IP20
England,South Norfolk 013D,IP209GE,IP20
England,Ipswich 010A,IP20JW,IP20
England,Babergh 005B,IP20DS,IP20
England,South Norfolk 013D,IP209FD,IP20
England,Ipswich 010A,IP20XG,IP20
England,South Norfolk 013A,IP209NQ,IP20
England,South Norfolk 014F,IP209LG,IP20
England,Ipswich 010A,IP20QR,IP20
England,Waveney 013D,IP200PN,IP20
England,Ipswich 013B,IP20QL,IP20
England,Ipswich 010C,IP20LN,IP20
England,Mid Suffolk 003A,IP200PE,IP20
England,Ipswich 010D,IP20PZ,IP20
England,South Norfolk 013C,IP209HP,IP20
England,Ipswich 013B,IP20RQ,IP20
England,Mid Suffolk 003A,IP200LB,IP20
England,South Norfolk 012C,IP200AZ,IP20
England,Waveney 013D,IP200PY,IP20
England,Ipswich 010A,IP20XA,IP20
England,South Norfolk 012C,IP200HH,IP20
England,Ipswich 010C,IP20NA,IP20
England,Ipswich 013C,IP20RS,IP20
England,Ipswich 013C,IP20SE,IP20
England,South Norfolk 012C,IP200AY,IP20
England,Mid Suffolk 003A,IP200JL,IP20
England,South Norfolk 013C,IP209QA,IP20
England,South Norfolk 012C,IP200DG,IP20
England,South Norfolk 013C,IP209QP,IP20
England,South Norfolk 013A,IP209PJ,IP20
England,South Norfolk 012C,IP200AA,IP20
England,South Norfolk 013D,IP209GA,IP20
England,South Norfolk 012C,IP200AT,IP20
England,Babergh 005E,IP20SW,IP20
England,South Norfolk 013B,IP209BT,IP20
England,Ipswich 010A,IP20BS,IP20
England,South Norfolk 012C,IP200DR,IP20
England,South Norfolk 013B,IP209FE,IP20
England,South Norfolk 013B,IP209BJ,IP20
England,Ipswich 010D,IP20LZ,IP20
England,Mid Suffolk 003A,IP200LH,IP20
England,Mid Suffolk 003A,IP200PB,IP20
England,South Norfolk 013D,IP209DT,IP20
England,South Norfolk 013B,IP209AE,IP20
England,South Norfolk 014F,IP209LN,IP20
England,South Norfolk 013D,IP209QD,IP20
England,Ipswich 010A,IP20DP,IP20
England,South Norfolk 012C,IP200DB,IP20
England,South Norfolk 012C,IP200AS,IP20
England,South Norfolk 012C,IP200EF,IP20
England,South Norfolk 013D,IP209HU,IP20
England,South Norfolk 012C,IP200AE,IP20
England,Ipswich 007F,IP20BN,IP20
England,South Norfolk 013D,IP209AW,IP20
England,South Norfolk 013D,IP209AY,IP20
England,Ipswich 013B,IP20RG,IP20
England,South Norfolk 013A,IP209NJ,IP20
England,South Norfolk 013D,IP209AP,IP20
England,South Norfolk 012C,IP200HS,IP20
England,Ipswich 010B,IP20AN,IP20
England,Ipswich 010C,IP20NG,IP20
England,South Norfolk 012C,IP200HQ,IP20
England,Ipswich 010A,IP20BH,IP20
England,Ipswich 013E,IP20RA,IP20
England,South Norfolk 013D,IP209EE,IP20
England,South Norfolk 013C,IP209QW,IP20
England,Waveney 013D,IP200NT,IP20
England,South Norfolk 012C,IP200BZ,IP20
England,Babergh 005B,IP20DU,IP20
England,South Norfolk 013D,IP209EB,IP20
England,South Norfolk 013D,IP209DF,IP20
England,Ipswich 013B,IP20RN,IP20
England,South Norfolk 013C,IP209FF,IP20
England,Ipswich 010A,IP20NY,IP20
England,Ipswich 010D,IP20NL,IP20
England,South Norfolk 013C,IP209HF,IP20
England,South Norfolk 013D,IP209BB,IP20
England,South Norfolk 014F,IP209LQ,IP20
England,Ipswich 010A,IP20DH,IP20
England,Ipswich 010D,IP20PL,IP20
England,South Norfolk 012C,IP200DA,IP20
England,Ipswich 010B,IP20AB,IP20
England,South Norfolk 013C,IP209HS,IP20
England,Ipswich 013B,IP20QW,IP20
England,Babergh 005B,IP20DE,IP20
England,Ipswich 010C,IP20NF,IP20
England,Ipswich 013C,IP20TS,IP20
England,South Norfolk 012C,IP200BL,IP20
England,South Norfolk 013D,IP209GN,IP20
England,Ipswich 007F,IP20EG,IP20
England,Ipswich 010A,IP20AY,IP20
England,South Norfolk 013B,IP209DQ,IP20
England,Ipswich 010A,IP20HH,IP20
England,Ipswich 010C,IP20PB,IP20
England,South Norfolk 013B,IP209JR,IP20
England,Ipswich 010D,IP20LS,IP20
England,South Norfolk 013B,IP209AL,IP20
England,South Norfolk 013C,IP209QE,IP20
England,Ipswich 010D,IP20NP,IP20
England,South Norfolk 013B,IP209DD,IP20
England,Ipswich 010C,IP20LP,IP20
England,South Norfolk 012C,IP200HR,IP20
England,South Norfolk 013C,IP209PS,IP20
England,Ipswich 010C,IP20NQ,IP20
England,Ipswich 010B,IP20AF,IP20
England,Ipswich 010D,IP20PP,IP20
England,South Norfolk 013D,IP209DR,IP20
England,Ipswich 010D,IP20LH,IP20
England,Ipswich 010A,IP20XB,IP20
England,Ipswich 010B,IP20AD,IP20
England,South Norfolk 012C,IP200DL,IP20
England,Ipswich 010B,IP20EP,IP20
England,Ipswich 010B,IP20AP,IP20
England,South Norfolk 013D,IP209BE,IP20
England,South Norfolk 013A,IP209PW,IP20
England,Ipswich 010C,IP20XD,IP20
England,Ipswich 010D,IP20LU,IP20
England,Ipswich 010B,IP20EN,IP20
England,Ipswich 013B,IP20QX,IP20
England,South Norfolk 013C,IP209PB,IP20
England,Ipswich 013C,IP20ST,IP20
England,South Norfolk 013A,IP209NF,IP20
England,Ipswich 013D,IP20RU,IP20
England,Ipswich 010B,IP20EB,IP20
England,Mid Suffolk 003A,IP200JB,IP20
England,Ipswich 010B,IP20JR,IP20
England,Mid Suffolk 003A,IP200LG,IP20
England,South Norfolk 013B,IP209JH,IP20
England,Ipswich 013C,IP20TZ,IP20
England,South Norfolk 012C,IP200AL,IP20
England,Ipswich 010A,IP20AL,IP20
England,South Norfolk 012C,IP200DH,IP20
England,Ipswich 010A,IP20JJ,IP20
England,Ipswich 013A,IP20QE,IP20
England,South Norfolk 013D,IP209HW,IP20
England,Ipswich 010B,IP20SL,IP20
England,South Norfolk 012C,IP200EG,IP20
England,Mid Suffolk 003A,IP209LE,IP20
England,South Norfolk 012C,IP200DT,IP20
England,South Norfolk 013A,IP209NU,IP20
England,South Norfolk 012C,IP200HG,IP20
England,Ipswich 010C,IP20PA,IP20
England,Ipswich 013B,IP20TJ,IP20
England,South Norfolk 013D,IP209AA,IP20
England,Ipswich 010D,IP20PJ,IP20
England,Ipswich 010A,IP20XE,IP20
