Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Liverpool 060E,L22TA,L22T
England,Liverpool 060E,L22TD,L22T
England,Liverpool 060E,L22TZ,L22T
England,Liverpool 060E,L22TW,L22T
England,Liverpool 060E,L22TF,L22T
England,Liverpool 060E,L22TP,L22T
England,Liverpool 060E,L22TU,L22T
England,Liverpool 060E,L22TY,L22T
England,Liverpool 060E,L22TH,L22T
England,Liverpool 060E,L22TE,L22T
England,Liverpool 060E,L22TB,L22T
England,Liverpool 060E,L22TT,L22T
England,Liverpool 060E,L22TL,L22T
England,Liverpool 060E,L22TQ,L22T
England,Liverpool 060E,L22TS,L22T
England,Liverpool 060E,L22TX,L22T
England,Liverpool 060E,L22TG,L22T
England,Liverpool 060E,L22TN,L22T
England,Liverpool 060E,L22TJ,L22T
England,Liverpool 060E,L22TR,L22T
