Country_Name,Lower_Super_Output_Area_Name,pcd_comp,Split_by
England,Sefton 019A,L315LX,L315
England,Sefton 020A,L315JP,L315
England,Sefton 019A,L315PB,L315
England,Sefton 020B,L315JB,L315
England,Sefton 020A,L315JZ,L315
England,Sefton 020B,L315LB,L315
England,Sefton 020B,L315LA,L315
England,Sefton 019A,L315NJ,L315
England,Sefton 020A,L315LN,L315
England,Sefton 020B,L315NZ,L315
England,Sefton 020A,L315JT,L315
England,Sefton 019A,L315LR,L315
England,Sefton 020A,L315JU,L315
England,Sefton 019A,L315LZ,L315
England,Sefton 019A,L315LW,L315
England,Sefton 020B,L315JE,L315
England,Sefton 019A,L315LG,L315
England,Sefton 019A,L315NH,L315
England,Sefton 020A,L315JR,L315
England,Sefton 019A,L315LU,L315
England,Sefton 020A,L315LJ,L315
England,Sefton 019A,L315PN,L315
England,Sefton 020B,L315JQ,L315
England,Sefton 019A,L315PP,L315
England,Sefton 020B,L315NF,L315
England,Sefton 020A,L315JH,L315
England,Sefton 019A,L315PL,L315
England,Sefton 020A,L315JJ,L315
England,Sefton 019A,L315LP,L315
England,Sefton 020A,L315LH,L315
England,Sefton 020A,L315JY,L315
England,Sefton 020B,L315NY,L315
England,Sefton 020B,L315NE,L315
England,Sefton 019A,L315LE,L315
England,Sefton 019A,L315NX,L315
England,Sefton 019A,L315NR,L315
England,Sefton 020A,L315JS,L315
England,Sefton 019A,L315ND,L315
England,Sefton 020B,L315NN,L315
England,Sefton 019A,L315NB,L315
England,Sefton 019A,L315NT,L315
England,Sefton 019A,L315NW,L315
England,Sefton 020B,L315JN,L315
England,Sefton 020A,L315JL,L315
England,Sefton 020A,L315LQ,L315
England,Sefton 019A,L315PA,L315
England,Sefton 020B,L315JG,L315
England,Sefton 019A,L315NP,L315
England,Sefton 020B,L315PD,L315
England,Sefton 019A,L315NL,L315
England,Sefton 020B,L315JX,L315
England,Sefton 020B,L315LD,L315
England,Sefton 020A,L315JF,L315
England,Sefton 019A,L315LF,L315
England,Sefton 020B,L315JA,L315
England,Sefton 020D,L315WB,L315
England,Sefton 019A,L315PW,L315
England,Sefton 019A,L315LY,L315
England,Sefton 020A,L315LT,L315
England,Sefton 020B,L315JW,L315
England,Sefton 020B,L315NQ,L315
England,Sefton 019A,L315NG,L315
England,Sefton 020A,L315LS,L315
England,Sefton 019A,L315NS,L315
